density,f_preload,N_1,N_2,N_3,N_4,N_5,Lc,Lm
114,4,30,35,36,26,46,7.5e-3,                   5e-10 
114,6,35,38,43,32,37,7.7e-3,                   5e-10 
114,16,48,51,45,47,35,8.5e-3,                  5e-10 
361,15,89,82,95,81,83,11e-3,                   5e-10 
361,30,172,157,162,160,171,12.5e-3,            5e-10 
361,25,201,196,146,150,153,12.5e-3,            5e-10 
361,10,51,39,49,49,60,8e-3,                    5e-10 
361,35,180,196,182,171,170,12.5e-3,            5e-10 
361,20,103,104,124,120,125,12.5e-3,            5e-10 
361,7.5,21,20,32,22,33,4.7e-3,                 5e-10 
441,12,90,111,77,119,92,8e-3,                  5e-10 
441,18,163,151,130,123,116,10e-3,              5e-10 
441,6,50,52,16,49,46,4.2e-3,                   5e-10 
441,36,230,221,251,253,256,11.1e-3,            5e-10 
441,30,237,230,240,224,239,11.2e-3,            5e-10 
441,24,168,188,185,186,161,11e-3,              5e-10 
