Point No.,Normal Force [N],Gap [mm],Time [s]
1,-0.001092,17.1731,186.2260
2,-0.000456,17.1781,186.2360
3,-0.000054,17.1838,186.2460
4,0.001143,17.1881,186.2560
5,0.000924,17.1931,186.2660
6,0.001047,17.1981,186.2760
7,0.000185,17.2038,186.2860
8,0.000720,17.2081,186.2960
9,0.000117,17.2131,186.3050
10,0.000580,17.2181,186.3150
11,-0.000931,17.2237,186.3250
12,-0.000720,17.2281,186.3350
13,-0.000456,17.2331,186.3450
14,0.000150,17.2381,186.3550
15,0.001050,17.2438,186.3650
16,0.003014,17.2481,186.3760
17,0.001272,17.2531,186.3860
18,0.000454,17.2581,186.3960
19,-0.000231,17.2637,186.4060
20,-0.000729,17.2681,186.4160
21,-0.000295,17.2731,186.4260
22,-0.000288,17.2781,186.4360
23,-0.001742,17.2837,186.4460
24,0.000026,17.2881,186.4560
25,-0.000157,17.2931,186.4660
26,-0.000051,17.2981,186.4760
27,-0.000977,17.3038,186.4860
28,0.000631,17.3081,186.4960
29,0.000994,17.3131,186.5060
36,-0.000248,17.3481,186.5750
37,-0.001178,17.3531,186.5850
38,-0.000217,17.3581,186.5950
39,-0.000049,17.3638,186.6050
40,-0.000019,17.3681,186.6150
41,-0.000814,17.3731,186.6250
42,-0.000105,17.3781,186.6350
43,0.000407,17.3838,186.6450
44,0.000680,17.3881,186.6550
45,0.000054,17.3931,186.6650
46,0.000166,17.3981,186.6750
47,-0.000058,17.4038,186.6850
48,0.001541,17.4081,186.6950
49,0.001223,17.4138,186.7050
50,0.000587,17.4181,186.7150
51,-0.000281,17.4237,186.7250
52,-0.000129,17.4281,186.7350
53,-0.001127,17.4331,186.7450
54,-0.000213,17.4381,186.7550
55,-0.000353,17.4438,186.7650
56,0.000283,17.4481,186.7750
57,0.000250,17.4531,186.7850
58,-0.000549,17.4581,186.7950
59,-0.001274,17.4637,186.8050
60,0.000351,17.4681,186.8150
61,0.000278,17.4738,186.8250
62,0.000921,17.4781,186.8350
63,-0.000872,17.4837,186.8450
64,-0.000094,17.4881,186.8550
65,-0.000433,17.4937,186.8650
72,0.000185,17.5281,186.9350
73,-0.000437,17.5338,186.9450
74,-0.002118,17.5381,186.9550
75,-0.001747,17.5437,186.9650
76,0.000624,17.5481,186.9750
77,-0.000143,17.5538,186.9850
78,-0.000795,17.5581,186.9950
79,-0.002775,17.5637,187.0050
80,-0.001050,17.5681,187.0150
81,-0.000947,17.5737,187.0250
82,-0.001302,17.5781,187.0350
83,-0.000945,17.5838,187.0450
84,0.001043,17.5881,187.0550
85,0.000290,17.5938,187.0650
86,-0.001386,17.5981,187.0750
87,-0.002656,17.6037,187.0850
88,0.000290,17.6081,187.0950
89,-0.001405,17.6138,187.1050
90,-0.002822,17.6181,187.1150
91,-0.002506,17.6237,187.1250
92,-0.000491,17.6281,187.1350
93,-0.000629,17.6337,187.1450
94,-0.000157,17.6381,187.1550
95,0.000327,17.6438,187.1650
96,0.000797,17.6481,187.1750
97,-0.001263,17.6537,187.1850
98,-0.001623,17.6581,187.1950
99,-0.001237,17.6637,187.2050
100,-0.000991,17.6681,187.2150
108,-0.000397,17.7081,187.2950
109,-0.001693,17.7137,187.3050
110,-0.000788,17.7181,187.3150
111,-0.002934,17.7237,187.3250
112,-0.000783,17.7281,187.3350
113,-0.000732,17.7337,187.3450
114,-0.000856,17.7381,187.3550
115,-0.002549,17.7437,187.3650
116,-0.000926,17.7481,187.3750
117,-0.002174,17.7538,187.3850
118,-0.002502,17.7581,187.3950
119,-0.003068,17.7637,187.4050
120,-0.001087,17.7681,187.4150
121,-0.002656,17.7737,187.4250
122,-0.001931,17.7781,187.4350
123,-0.001263,17.7837,187.4450
124,-0.000748,17.7881,187.4550
125,-0.002761,17.7937,187.4650
