Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,1.111966,0.0019,502.8040
2.0,1.105956,0.0019,503.3040
3.0,1.101458,0.0019,503.8040
4.0,1.099260,0.0019,504.3040
5.0,1.096295,0.0019,504.8040
6.0,1.094293,0.0019,505.3040
7.0,1.091663,0.0019,505.8040
8.0,1.090598,0.0019,506.3040
9.0,1.089504,0.0019,506.8040
10.0,1.088519,0.0019,507.3040
11.0,1.087498,0.0019,507.8040
12.0,1.086227,0.0019,508.3040
13.0,1.085205,0.0019,508.8040
14.0,1.084308,0.0019,509.3040
15.0,1.083516,0.0019,509.8040
16.0,1.082802,0.0019,510.3040
17.0,1.082355,0.0019,510.8040
18.0,1.080764,0.0019,511.3040
19.0,1.081082,0.0019,511.8040
20.0,1.079118,0.0019,512.3040
21.0,1.079818,0.0019,512.8040
22.0,1.079192,0.0019,513.3040
23.0,1.078826,0.0019,513.8040
24.0,1.078828,0.0019,514.3040
25.0,1.077469,0.0019,514.8040
26.0,1.077383,0.0019,515.3040
27.0,1.077630,0.0019,515.8040
28.0,1.077010,0.0019,516.3040
29.0,1.076631,0.0019,516.8040
30.0,1.076730,0.0019,517.3040
31.0,1.076286,0.0019,517.8040
32.0,1.075417,0.0019,518.3040
33.0,1.075142,0.0019,518.8040
34.0,1.075230,0.0019,519.3040
35.0,1.075106,0.0019,519.8040
36.0,1.074561,0.0019,520.3040
37.0,1.074677,0.0019,520.8040
38.0,1.074531,0.0019,521.3040
39.0,1.073545,0.0019,521.8040
40.0,1.073352,0.0019,522.3040
