Point No.,Normal Force [N],Gap [mm],Time [s]
8,0.037512,16.6650,1148.8560
9,0.036441,16.6700,1148.8651
10,0.039275,16.6750,1148.8750
11,0.037190,16.6800,1148.8850
12,0.037178,16.6850,1148.8950
13,0.036729,16.6900,1148.9050
14,0.038476,16.6950,1148.9150
15,0.036963,16.7000,1148.9250
16,0.036542,16.7050,1148.9360
17,0.036603,16.7100,1148.9460
18,0.039268,16.7150,1148.9560
19,0.037952,16.7200,1148.9660
20,0.037737,16.7250,1148.9760
21,0.036591,16.7300,1148.9860
22,0.038695,16.7344,1148.9960
23,0.038186,16.7400,1149.0061
24,0.037292,16.7450,1149.0161
25,0.036222,16.7500,1149.0260
26,0.039537,16.7544,1149.0360
27,0.037851,16.7600,1149.0460
28,0.037498,16.7650,1149.0560
29,0.037863,16.7700,1149.0660
30,0.039899,16.7744,1149.0750
31,0.038260,16.7800,1149.0850
32,0.038492,16.7844,1149.0950
33,0.037851,16.7900,1149.1051
34,0.038195,16.7944,1149.1151
35,0.038506,16.8000,1149.1250
36,0.039184,16.8044,1149.1350
47,0.037416,16.8572,1149.2449
48,0.039390,16.8644,1149.2550
49,0.036785,16.8700,1149.2650
50,0.038801,16.8744,1149.2750
51,0.039004,16.8794,1149.2850
52,0.038094,16.8844,1149.2950
53,0.036500,16.8900,1149.3050
54,0.039815,16.8944,1149.3150
55,0.037400,16.8994,1149.3250
56,0.036474,16.9044,1149.3350
57,0.035827,16.9100,1149.3450
58,0.037625,16.9144,1149.3551
59,0.038181,16.9194,1149.3651
60,0.039427,16.9244,1149.3750
61,0.036970,16.9300,1149.3850
62,0.039163,16.9344,1149.3950
63,0.038960,16.9394,1149.4050
64,0.038969,16.9444,1149.4150
65,0.036250,16.9500,1149.4250
66,0.039444,16.9544,1149.4350
67,0.037765,16.9594,1149.4450
68,0.037606,16.9644,1149.4550
69,0.037706,16.9700,1149.4650
70,0.039467,16.9744,1149.4750
71,0.038022,16.9794,1149.4851
72,0.038896,16.9844,1149.4949
73,0.037269,16.9900,1149.5050
