Point No.,Normal Force [N],Gap [mm],Time [s]
1,6.434123,11.6157,1063.1459
2,6.434328,11.6157,1063.1510
3,6.434753,11.6157,1063.1560
4,6.434753,11.6157,1063.1610
5,6.434099,11.6157,1063.1660
6,6.432738,11.6157,1063.1710
7,6.431705,11.6157,1063.1760
8,6.430614,11.6169,1063.1810
9,6.427687,11.6169,1063.1850
10,6.419678,11.6169,1063.1900
11,6.410522,11.6182,1063.1950
12,6.391419,11.6181,1063.2000
13,6.371097,11.6225,1063.2050
14,6.340604,11.6269,1063.2100
15,6.311583,11.6269,1063.2150
16,6.265836,11.6312,1063.2210
17,6.211218,11.6312,1063.2260
18,6.174627,11.6361,1063.2310
19,6.118607,11.6361,1063.2360
20,6.082564,11.6411,1063.2410
21,6.026238,11.6411,1063.2460
22,5.991228,11.6460,1063.2510
23,5.932640,11.6460,1063.2561
24,5.899117,11.6510,1063.2611
25,5.843671,11.6509,1063.2659
26,5.812631,11.6559,1063.2709
27,5.762717,11.6559,1063.2760
28,5.734412,11.6609,1063.2810
29,5.685695,11.6609,1063.2860
30,5.655605,11.6608,1063.2900
31,5.623802,11.6658,1063.2950
32,5.576185,11.6658,1063.3000
33,5.545158,11.6708,1063.3050
34,5.499023,11.6757,1063.3100
35,5.467688,11.6757,1063.3150
36,5.422109,11.6807,1063.3200
37,5.390545,11.6807,1063.3250
38,5.345772,11.6857,1063.3300
39,5.316371,11.6856,1063.3350
40,5.273468,11.6906,1063.3400
41,5.244681,11.6906,1063.3450
42,5.200235,11.6956,1063.3500
43,5.171349,11.6956,1063.3551
44,5.127318,11.7005,1063.3601
45,5.099018,11.7005,1063.3649
46,5.057320,11.7049,1063.3699
47,5.029236,11.7048,1063.3750
48,4.986168,11.7048,1063.3800
49,4.957466,11.7104,1063.3850
50,4.913903,11.7104,1063.3900
51,4.887103,11.7160,1063.3950
52,4.845814,11.7160,1063.4000
53,4.819088,11.7203,1063.4050
54,4.778966,11.7253,1063.4100
55,4.752883,11.7253,1063.4150
56,4.712135,11.7303,1063.4200
57,4.685779,11.7303,1063.4250
58,4.644671,11.7352,1063.4300
59,4.618172,11.7352,1063.4350
60,4.578340,11.7396,1063.4400
61,4.552505,11.7396,1063.4450
62,4.514482,11.7445,1063.4500
63,4.489526,11.7445,1063.4550
64,4.449675,11.7495,1063.4600
65,4.423544,11.7495,1063.4650
66,4.383274,11.7495,1063.4700
67,4.358635,11.7551,1063.4750
68,4.319702,11.7550,1063.4801
69,4.293987,11.7600,1063.4851
70,4.255249,11.7600,1063.4899
71,4.231186,11.7650,1063.4949
72,4.193618,11.7650,1063.5000
73,4.168403,11.7700,1063.5050
74,4.130110,11.7749,1063.5100
75,4.106631,11.7749,1063.5150
76,4.070392,11.7793,1063.5200
77,4.047866,11.7793,1063.5250
78,4.014735,11.7842,1063.5300
79,3.994052,11.7842,1063.5350
80,3.962978,11.7892,1063.5400
81,3.942652,11.7892,1063.5450
82,3.909881,11.7942,1063.5500
83,3.889329,11.7942,1063.5550
84,3.854436,11.7991,1063.5600
85,3.831111,11.7991,1063.5650
86,3.796423,11.7991,1063.5700
87,3.774851,11.8041,1063.5750
88,3.741342,11.8041,1063.5800
89,3.719056,11.8097,1063.5850
90,3.682708,11.8097,1063.5900
91,3.659851,11.8147,1063.5950
92,3.623138,11.8146,1063.6000
93,3.600561,11.8190,1063.6051
94,3.567370,11.8240,1063.6101
95,3.546533,11.8240,1063.6149
96,3.511536,11.8289,1063.6199
