Point No.,Normal Force [N],Gap [mm],Time [s]
10,-0.008735,16.6719,901.5670
11,-0.008861,16.6797,901.5770
12,-0.008197,16.6844,901.5870
13,-0.008022,16.6894,901.5970
14,-0.008415,16.6944,901.6071
15,-0.009432,16.6994,901.6171
16,-0.007437,16.7044,901.6281
17,-0.007919,16.7094,901.6381
18,-0.006741,16.7144,901.6481
19,-0.007704,16.7197,901.6580
20,-0.008712,16.7250,901.6680
21,-0.009717,16.7297,901.6780
22,-0.007257,16.7344,901.6880
23,-0.009205,16.7394,901.6981
24,-0.009974,16.7444,901.7081
25,-0.010150,16.7494,901.7180
26,-0.008087,16.7544,901.7280
27,-0.009397,16.7594,901.7380
28,-0.010692,16.7644,901.7480
29,-0.010989,16.7694,901.7581
30,-0.008929,16.7744,901.7670
31,-0.008681,16.7794,901.7770
32,-0.008635,16.7844,901.7870
33,-0.010769,16.7894,901.7971
34,-0.007950,16.7944,901.8071
35,-0.008172,16.7991,901.8170
36,-0.008080,16.8041,901.8270
46,-0.007484,16.8519,901.9271
47,-0.007529,16.8587,901.9371
48,-0.006254,16.8613,901.9470
49,-0.008111,16.8662,901.9570
50,-0.007669,16.8744,901.9670
51,-0.008501,16.8794,901.9771
52,-0.009011,16.8841,901.9871
53,-0.009944,16.8887,901.9971
54,-0.006467,16.8938,902.0070
55,-0.006823,16.8987,902.0170
56,-0.007716,16.9037,902.0270
57,-0.009369,16.9062,902.0370
58,-0.008059,16.9112,902.0471
59,-0.008525,16.9169,902.0571
60,-0.007964,16.9241,902.0670
61,-0.009918,16.9287,902.0770
62,-0.008307,16.9337,902.0870
63,-0.008263,16.9387,902.0970
64,-0.008831,16.9437,902.1071
65,-0.009619,16.9487,902.1171
66,-0.008298,16.9537,902.1270
67,-0.008754,16.9562,902.1370
68,-0.009570,16.9612,902.1470
69,-0.011702,16.9669,902.1570
70,-0.009039,16.9741,902.1671
71,-0.008829,16.9787,902.1771
72,-0.009020,16.9837,902.1871
