Point No.,Normal Force [N],Gap [mm],Time [s]
1,6.476330,9.9082,684.0490
2,6.476283,9.9082,684.0540
3,6.476306,9.9082,684.0590
4,6.477213,9.9082,684.0640
5,6.477788,9.9082,684.0690
6,6.477831,9.9082,684.0740
7,6.474446,9.9082,684.0790
8,6.468353,9.9094,684.0840
9,6.461548,9.9094,684.0880
10,6.451592,9.9119,684.0930
11,6.429526,9.9119,684.0980
12,6.407683,9.9150,684.1030
13,6.366229,9.9150,684.1080
14,6.334674,9.9194,684.1130
15,6.273426,9.9193,684.1180
16,6.210340,9.9237,684.1240
17,6.161123,9.9236,684.1290
18,6.093318,9.9286,684.1340
19,6.044017,9.9286,684.1390
20,5.974829,9.9335,684.1440
21,5.927019,9.9335,684.1490
22,5.861529,9.9385,684.1541
23,5.817513,9.9384,684.1591
24,5.757265,9.9440,684.1641
25,5.712459,9.9440,684.1690
26,5.654277,9.9483,684.1740
27,5.611780,9.9483,684.1790
28,5.556053,9.9533,684.1840
29,5.515170,9.9533,684.1890
30,5.479313,9.9582,684.1931
31,5.417386,9.9582,684.1981
32,5.379561,9.9632,684.2030
33,5.319169,9.9631,684.2080
34,5.284045,9.9681,684.2130
35,5.226028,9.9681,684.2180
36,5.192266,9.9731,684.2230
37,5.133729,9.9730,684.2280
38,5.099945,9.9780,684.2330
39,5.041333,9.9780,684.2380
40,5.007908,9.9830,684.2430
41,4.951477,9.9829,684.2480
42,4.919467,9.9879,684.2531
43,4.865074,9.9879,684.2581
44,4.833262,9.9929,684.2631
45,4.780243,9.9928,684.2680
46,4.750550,9.9978,684.2730
47,4.697237,9.9978,684.2780
48,4.666635,10.0028,684.2830
49,4.613692,10.0027,684.2880
50,4.584630,10.0077,684.2930
51,4.533201,10.0077,684.2980
52,4.503942,10.0127,684.3030
53,4.454566,10.0126,684.3080
54,4.426804,10.0176,684.3130
55,4.378228,10.0176,684.3181
56,4.350260,10.0226,684.3231
57,4.302030,10.0225,684.3280
58,4.275488,10.0275,684.3330
59,4.229025,10.0275,684.3380
60,4.203204,10.0325,684.3430
61,4.157555,10.0325,684.3480
62,4.131798,10.0374,684.3530
63,4.085958,10.0374,684.3580
64,4.061090,10.0424,684.3630
65,4.022147,10.0424,684.3680
66,4.001104,10.0474,684.3730
67,3.963956,10.0473,684.3781
68,3.943713,10.0523,684.3831
69,3.905490,10.0523,684.3881
70,3.883026,10.0567,684.3930
71,3.842437,10.0566,684.3980
72,3.820772,10.0623,684.4030
73,3.781913,10.0622,684.4080
74,3.759995,10.0672,684.4130
75,3.718986,10.0672,684.4180
76,3.697036,10.0716,684.4230
77,3.659089,10.0715,684.4280
78,3.638644,10.0765,684.4330
79,3.598233,10.0765,684.4380
80,3.576203,10.0821,684.4431
81,3.539351,10.0821,684.4481
