Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.006409,16.9901,3424.1552
2.0,-0.005918,16.9398,3424.6552
3.0,-0.005152,16.8898,3425.1552
4.0,-0.006220,16.8396,3425.6552
5.0,-0.005662,16.7895,3426.1552
6.0,-0.005771,16.7394,3426.6552
7.0,-0.006243,16.6893,3427.1552
8.0,-0.005940,16.6391,3427.6552
9.0,-0.005543,16.5890,3428.1552
10.0,-0.005819,16.5389,3428.6552
11.0,-0.005825,16.4887,3429.1552
12.0,-0.005929,16.4385,3429.6552
13.0,-0.005719,16.3883,3430.1552
14.0,-0.005914,16.3380,3430.6552
15.0,-0.005654,16.2878,3431.1552
16.0,-0.006465,16.2376,3431.6552
17.0,-0.006368,16.1875,3432.1552
18.0,-0.006250,16.1371,3432.6552
19.0,-0.006676,16.0870,3433.1552
20.0,-0.006048,16.0369,3433.6552
21.0,-0.006403,15.9867,3434.1552
22.0,-0.006168,15.9365,3434.6552
23.0,-0.005779,15.8864,3435.1552
24.0,-0.006328,15.8362,3435.6552
25.0,-0.006345,15.7862,3436.1552
26.0,-0.006623,15.7360,3436.6552
27.0,-0.006260,15.6859,3437.1552
28.0,-0.006133,15.6358,3437.6552
29.0,-0.006044,15.5857,3438.1552
30.0,-0.006133,15.5355,3438.6552
31.0,-0.006384,15.4852,3439.1552
32.0,-0.006302,15.4350,3439.6552
33.0,-0.006277,15.3849,3440.1552
34.0,-0.006602,15.3347,3440.6552
35.0,-0.006568,15.2843,3441.1552
36.0,-0.006721,15.2341,3441.6552
37.0,-0.006700,15.1840,3442.1552
38.0,-0.006207,15.1338,3442.6552
39.0,-0.005953,15.0834,3443.1552
40.0,-0.005822,15.0333,3443.6552
41.0,-0.005648,14.9833,3444.1552
42.0,-0.006316,14.9331,3444.6552
43.0,-0.006117,14.8829,3445.1552
44.0,-0.006191,14.8327,3445.6552
45.0,-0.006458,14.7826,3446.1552
46.0,-0.006314,14.7326,3446.6552
47.0,-0.006248,14.6824,3447.1552
48.0,-0.006348,14.6323,3447.6552
49.0,-0.006231,14.5820,3448.1552
50.0,-0.006887,14.5321,3448.6552
51.0,-0.006239,14.4819,3449.1552
52.0,-0.006545,14.4316,3449.6552
53.0,-0.006802,14.3812,3450.1552
54.0,-0.006310,14.3312,3450.6552
55.0,-0.006703,14.2810,3451.1552
56.0,-0.006947,14.2307,3451.6552
57.0,-0.006344,14.1803,3452.1552
58.0,-0.006891,14.1303,3452.6552
59.0,-0.006323,14.0801,3453.1552
60.0,-0.006939,14.0299,3453.6552
61.0,-0.007167,13.9797,3454.1552
62.0,-0.007703,13.9296,3454.6552
63.0,-0.006523,13.8795,3455.1552
64.0,-0.006388,13.8294,3455.6552
65.0,-0.006868,13.7791,3456.1552
66.0,-0.006955,13.7291,3456.6552
67.0,-0.007397,13.6790,3457.1552
68.0,-0.006773,13.6289,3457.6552
69.0,-0.006792,13.5787,3458.1552
70.0,-0.006851,13.5285,3458.6552
71.0,-0.007056,13.4784,3459.1552
72.0,-0.007058,13.4282,3459.6552
73.0,-0.007767,13.3779,3460.1552
74.0,-0.007078,13.3277,3460.6552
75.0,-0.007407,13.2776,3461.1552
76.0,-0.007127,13.2273,3461.6552
77.0,-0.007271,13.1770,3462.1552
78.0,-0.007392,13.1268,3462.6552
79.0,-0.007305,13.0768,3463.1552
80.0,-0.007680,13.0265,3463.6552
81.0,-0.007340,12.9763,3464.1552
82.0,-0.006781,12.9262,3464.6552
83.0,-0.007368,12.8761,3465.1552
84.0,-0.008054,12.8260,3465.6552
85.0,-0.007233,12.7757,3466.1552
86.0,-0.007735,12.7256,3466.6552
87.0,-0.007401,12.6755,3467.1552
88.0,-0.007928,12.6255,3467.6552
89.0,-0.007829,12.5753,3468.1552
90.0,-0.008034,12.5250,3468.6552
91.0,-0.008074,12.4748,3469.1552
92.0,-0.007801,12.4248,3469.6552
93.0,-0.008069,12.3745,3470.1552
94.0,-0.008438,12.3242,3470.6552
95.0,-0.008288,12.2739,3471.1552
96.0,-0.007738,12.2239,3471.6552
97.0,-0.008384,12.1737,3472.1552
98.0,-0.008581,12.1233,3472.6552
99.0,-0.008365,12.0731,3473.1552
100.0,-0.008494,12.0231,3473.6552
101.0,-0.008284,11.9730,3474.1552
102.0,-0.008655,11.9228,3474.6552
103.0,-0.008464,11.8725,3475.1552
104.0,-0.008790,11.8224,3475.6552
105.0,-0.009036,11.7724,3476.1552
106.0,-0.008916,11.7222,3476.6552
107.0,-0.009367,11.6722,3477.1552
108.0,-0.009306,11.6219,3477.6552
109.0,-0.009382,11.5719,3478.1552
110.0,-0.009704,11.5217,3478.6552
111.0,-0.010089,11.4714,3479.1552
112.0,-0.011013,11.4211,3479.6552
113.0,-0.010701,11.3712,3480.1552
114.0,-0.011132,11.3208,3480.6552
