Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.059530,16.0100,399.2180
2.0,-0.058867,15.9598,399.7180
3.0,-0.059616,15.9097,400.2180
4.0,-0.057071,15.8597,400.7180
5.0,-0.060375,15.8095,401.2180
6.0,-0.060393,15.7593,401.7180
7.0,-0.060635,15.7093,402.2180
8.0,-0.061740,15.6591,402.7180
9.0,-0.060193,15.6089,403.2180
10.0,-0.061304,15.5586,403.7180
11.0,-0.061961,15.5085,404.2180
12.0,-0.059813,15.4583,404.7180
13.0,-0.061501,15.4081,405.2180
14.0,-0.062017,15.3578,405.7180
15.0,-0.062070,15.3076,406.2180
16.0,-0.060507,15.2574,406.7180
17.0,-0.063223,15.2073,407.2180
18.0,-0.060811,15.1569,407.7180
19.0,-0.061383,15.1069,408.2180
20.0,-0.059065,15.0566,408.7180
21.0,-0.058349,15.0067,409.2180
22.0,-0.059096,14.9565,409.7180
23.0,-0.059139,14.9063,410.2180
24.0,-0.059478,14.8562,410.7180
25.0,-0.060543,14.8062,411.2180
26.0,-0.061373,14.7560,411.7180
27.0,-0.060223,14.7059,412.2180
28.0,-0.062970,14.6556,412.7180
29.0,-0.061838,14.6056,413.2180
30.0,-0.060349,14.5554,413.7180
31.0,-0.063944,14.5050,414.2180
32.0,-0.063685,14.4547,414.7180
33.0,-0.065599,14.4046,415.2180
34.0,-0.064151,14.3544,415.7180
35.0,-0.062318,14.3042,416.2180
36.0,-0.064356,14.2539,416.7180
37.0,-0.064875,14.2037,417.2180
38.0,-0.061558,14.1536,417.7180
39.0,-0.063143,14.1034,418.2180
40.0,-0.064158,14.0532,418.7180
41.0,-0.061817,14.0030,419.2180
42.0,-0.062890,13.9531,419.7180
43.0,-0.064678,13.9029,420.2180
44.0,-0.066408,13.8527,420.7180
45.0,-0.066084,13.8026,421.2180
46.0,-0.068549,13.7526,421.7180
47.0,-0.068139,13.7024,422.2180
48.0,-0.069446,13.6523,422.7180
49.0,-0.070184,13.6019,423.2180
50.0,-0.071638,13.5519,423.7180
51.0,-0.072022,13.5016,424.2180
52.0,-0.059063,13.4513,424.7180
53.0,-0.012489,13.4011,425.2180
54.0,0.031705,13.3510,425.7180
55.0,0.102533,13.3008,426.2180
56.0,0.181202,13.2507,426.7180
57.0,0.257942,13.2004,427.2180
58.0,0.322563,13.1504,427.7180
59.0,0.381664,13.1002,428.2180
60.0,0.436805,13.0501,428.7180
61.0,0.486558,13.0000,429.2180
62.0,0.555315,12.9499,429.7180
63.0,0.646250,12.9000,430.2180
64.0,0.760304,12.8499,430.7180
65.0,0.903086,12.7998,431.2180
66.0,1.062058,12.7497,431.7180
67.0,1.231253,12.6998,432.2180
68.0,1.408975,12.6498,432.7180
69.0,1.596396,12.5995,433.2180
70.0,1.787917,12.5494,433.7180
71.0,1.991423,12.4995,434.2180
72.0,2.191597,12.4493,434.7180
73.0,2.398941,12.3990,435.2180
74.0,2.640009,12.3491,435.7180
75.0,2.895609,12.2991,436.2180
76.0,3.167744,12.2490,436.7180
77.0,3.460702,12.1989,437.2180
78.0,3.774497,12.1490,437.7180
79.0,4.095688,12.0989,438.2180
80.0,4.486556,12.0492,438.7180
81.0,4.927220,11.9993,439.2180
82.0,5.647821,11.9495,439.7180
