Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.011766,15.0848,58.5670
2.0,0.011244,15.0347,59.0670
3.0,0.011891,14.9844,59.5670
4.0,0.011518,14.9342,60.0670
5.0,0.011913,14.8842,60.5670
6.0,0.010963,14.8343,61.0670
7.0,0.011018,14.7841,61.5670
8.0,0.010774,14.7338,62.0670
9.0,0.011831,14.6837,62.5670
10.0,0.011587,14.6337,63.0670
11.0,0.012234,14.5834,63.5670
12.0,0.012298,14.5331,64.0670
13.0,0.011170,14.4829,64.5670
14.0,0.011759,14.4327,65.0670
15.0,0.011216,14.3825,65.5670
16.0,0.011596,14.3323,66.0670
17.0,0.011809,14.2820,66.5670
18.0,0.012127,14.2318,67.0670
19.0,0.011595,14.1817,67.5670
20.0,0.011193,14.1316,68.0670
21.0,0.011809,14.0813,68.5670
22.0,0.012433,14.0311,69.0670
23.0,0.011908,13.9811,69.5670
24.0,0.012400,13.9310,70.0670
25.0,0.011808,13.8808,70.5670
26.0,0.012202,13.8307,71.0670
27.0,0.011150,13.7807,71.5670
28.0,0.011614,13.7305,72.0670
29.0,0.011563,13.6804,72.5670
30.0,0.010894,13.6301,73.0670
31.0,0.011591,13.5799,73.5670
32.0,0.011718,13.5298,74.0670
33.0,0.011070,13.4795,74.5670
34.0,0.011772,13.4292,75.0670
35.0,0.010574,13.3789,75.5670
36.0,0.010395,13.3289,76.0670
37.0,0.011109,13.2786,76.5670
38.0,0.011267,13.2284,77.0670
39.0,0.011310,13.1781,77.5670
40.0,0.011617,13.1281,78.0670
41.0,0.010577,13.0778,78.5670
42.0,0.011223,13.0278,79.0670
43.0,0.011724,12.9776,79.5670
44.0,0.011220,12.9276,80.0670
45.0,0.011124,12.8774,80.5670
46.0,0.011200,12.8273,81.0670
47.0,0.011640,12.7772,81.5670
48.0,0.011758,12.7271,82.0670
49.0,0.011050,12.6768,82.5670
50.0,0.011364,12.6267,83.0670
51.0,0.010938,12.5764,83.5670
52.0,0.011086,12.5264,84.0670
53.0,0.010401,12.4761,84.5670
54.0,0.010445,12.4258,85.0670
55.0,0.010418,12.3755,85.5670
56.0,0.011268,12.3254,86.0670
57.0,0.012618,12.2753,86.5670
58.0,0.015911,12.2250,87.0670
59.0,0.025952,12.1748,87.5670
60.0,0.050207,12.1246,88.0670
61.0,0.098511,12.0747,88.5670
62.0,0.168603,12.0244,89.0670
63.0,0.259158,11.9744,89.5670
64.0,0.368601,11.9242,90.0670
