Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.006728,14.9895,410.5970
2.0,0.007119,14.9394,411.0970
3.0,0.006541,14.8893,411.5970
4.0,0.006387,14.8392,412.0970
5.0,0.006523,14.7891,412.5970
6.0,0.006573,14.7389,413.0970
7.0,0.006285,14.6889,413.5970
8.0,0.006488,14.6387,414.0970
9.0,0.006226,14.5885,414.5970
10.0,0.006877,14.5382,415.0970
11.0,0.006525,14.4880,415.5970
12.0,0.006536,14.4378,416.0970
13.0,0.006935,14.3875,416.5970
14.0,0.006937,14.3373,417.0970
15.0,0.006699,14.2871,417.5970
16.0,0.006386,14.2369,418.0970
17.0,0.006583,14.1868,418.5970
18.0,0.006813,14.1365,419.0970
19.0,0.006203,14.0864,419.5970
20.0,0.006574,14.0362,420.0970
21.0,0.006394,13.9863,420.5970
22.0,0.006157,13.9361,421.0970
23.0,0.005844,13.8859,421.5970
24.0,0.006186,13.8357,422.0970
25.0,0.007025,13.7858,422.5970
26.0,0.006026,13.7355,423.0970
27.0,0.005050,13.6854,423.5970
28.0,0.005905,13.6351,424.0970
29.0,0.006472,13.5851,424.5970
30.0,0.006310,13.5348,425.0970
31.0,0.006208,13.4846,425.5970
32.0,0.006509,13.4343,426.0970
33.0,0.005574,13.3841,426.5970
34.0,0.005553,13.3339,427.0970
35.0,0.005444,13.2837,427.5970
36.0,0.004952,13.2334,428.0970
37.0,0.005819,13.1832,428.5970
38.0,0.005634,13.1332,429.0970
39.0,0.005844,13.0830,429.5970
40.0,0.005865,13.0328,430.0970
41.0,0.004953,12.9826,430.5970
42.0,0.005452,12.9326,431.0970
43.0,0.005639,12.8825,431.5970
44.0,0.005052,12.8323,432.0970
45.0,0.005254,12.7822,432.5970
46.0,0.005504,12.7321,433.0970
47.0,0.004822,12.6820,433.5970
48.0,0.004896,12.6318,434.0970
49.0,0.004320,12.5815,434.5970
50.0,0.004038,12.5314,435.0970
51.0,0.004062,12.4812,435.5970
52.0,0.004851,12.4308,436.0970
53.0,0.004881,12.3806,436.5970
54.0,0.004721,12.3303,437.0970
55.0,0.006322,12.2803,437.5970
56.0,0.011541,12.2301,438.0970
57.0,0.021195,12.1798,438.5970
58.0,0.053256,12.1297,439.0970
59.0,0.095947,12.0796,439.5970
60.0,0.165461,12.0295,440.0970
61.0,0.254774,11.9794,440.5970
62.0,0.363208,11.9293,441.0970
63.0,0.505113,11.8794,441.5970
64.0,0.672612,11.8293,442.0970
65.0,0.831149,11.7793,442.5970
66.0,0.993525,11.7292,443.0970
67.0,1.166296,11.6792,443.5970
68.0,1.354923,11.6291,444.0970
69.0,1.577390,11.5790,444.5970
70.0,1.835573,11.5290,445.0970
71.0,2.148338,11.4789,445.5970
72.0,2.465958,11.4290,446.0970
73.0,2.830628,11.3789,446.5970
74.0,3.206868,11.3289,447.0970
75.0,3.600198,11.2789,447.5970
76.0,4.004854,11.2290,448.0970
77.0,4.439157,11.1790,448.5970
78.0,4.910041,11.1291,449.0970
79.0,5.415100,11.0792,449.5970
80.0,5.938108,11.0296,450.0970
81.0,6.531237,10.9797,450.5970
82.0,7.180866,10.9299,451.0970
83.0,7.884782,10.8802,451.5970
84.0,8.670269,10.8308,452.0970
85.0,9.544138,10.7810,452.5970
