Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,1.095817,12.0175,478.7480
2.0,1.077703,12.0175,479.2480
3.0,1.071496,12.0175,479.7480
4.0,1.067143,12.0175,480.2480
5.0,1.063739,12.0175,480.7480
6.0,1.060432,12.0175,481.2480
7.0,1.059214,12.0175,481.7480
8.0,1.055924,12.0175,482.2480
9.0,1.054577,12.0175,482.7480
10.0,1.053046,12.0175,483.2480
11.0,1.051627,12.0175,483.7480
12.0,1.050224,12.0175,484.2480
13.0,1.049534,12.0175,484.7480
14.0,1.048856,12.0175,485.2480
15.0,1.046769,12.0175,485.7480
16.0,1.046604,12.0175,486.2480
17.0,1.045443,12.0175,486.7480
18.0,1.044164,12.0175,487.2480
19.0,1.043498,12.0175,487.7480
20.0,1.043994,12.0175,488.2480
21.0,1.042536,12.0175,488.7480
22.0,1.042751,12.0175,489.2480
23.0,1.041296,12.0175,489.7480
24.0,1.040152,12.0175,490.2480
25.0,1.039861,12.0175,490.7480
26.0,1.038782,12.0175,491.2480
27.0,1.038451,12.0175,491.7480
28.0,1.037374,12.0175,492.2480
29.0,1.037233,12.0175,492.7480
30.0,1.037194,12.0175,493.2480
31.0,1.037082,12.0175,493.7480
32.0,1.036703,12.0175,494.2480
33.0,1.035810,12.0175,494.7480
34.0,1.036046,12.0175,495.2480
35.0,1.035010,12.0175,495.7480
36.0,1.034978,12.0175,496.2480
37.0,1.035061,12.0175,496.7480
38.0,1.033829,12.0175,497.2480
39.0,1.034204,12.0175,497.7480
40.0,1.032977,12.0175,498.2480
