Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.000433,14.9899,329.3500
2.0,-0.000234,14.9397,329.8500
3.0,-0.001391,14.8896,330.3500
4.0,-0.001165,14.8396,330.8500
5.0,0.000900,14.7895,331.3500
6.0,0.003213,14.7393,331.8500
7.0,0.000799,14.6891,332.3500
8.0,-0.000580,14.6390,332.8500
9.0,-0.000807,14.5888,333.3500
10.0,0.001023,14.5385,333.8500
11.0,0.000879,14.4883,334.3500
12.0,-0.000138,14.4381,334.8500
13.0,0.001599,14.3880,335.3500
14.0,0.001165,14.3377,335.8500
15.0,0.000307,14.2874,336.3500
16.0,0.000113,14.2372,336.8500
17.0,0.000134,14.1872,337.3500
18.0,-0.001625,14.1370,337.8500
19.0,-0.001270,14.0867,338.3500
20.0,-0.003577,14.0366,338.8500
21.0,-0.003454,13.9866,339.3500
22.0,-0.000750,13.9364,339.8500
23.0,-0.000772,13.8863,340.3500
24.0,-0.000399,13.8361,340.8500
25.0,-0.002765,13.7860,341.3500
26.0,-0.000536,13.7359,341.8500
27.0,-0.001703,13.6858,342.3500
28.0,-0.000893,13.6355,342.8500
29.0,-0.001502,13.5853,343.3500
30.0,-0.001198,13.5352,343.8500
31.0,-0.001445,13.4850,344.3500
32.0,-0.000625,13.4346,344.8500
33.0,-0.000366,13.3844,345.3500
34.0,-0.001958,13.3343,345.8500
35.0,-0.001154,13.2841,346.3500
36.0,-0.000765,13.2338,346.8500
37.0,-0.002998,13.1836,347.3500
38.0,-0.003158,13.1335,347.8500
39.0,-0.004641,13.0834,348.3500
40.0,-0.003877,13.0332,348.8500
41.0,-0.003306,12.9830,349.3500
42.0,-0.002620,12.9330,349.8500
43.0,-0.003499,12.8829,350.3500
44.0,-0.002590,12.8327,350.8500
45.0,-0.004344,12.7826,351.3500
46.0,-0.003870,12.7324,351.8500
47.0,-0.006331,12.6823,352.3500
48.0,-0.004542,12.6321,352.8500
49.0,-0.005122,12.5819,353.3500
50.0,-0.007235,12.5316,353.8500
51.0,0.016944,12.4816,354.3500
52.0,0.088651,12.4313,354.8500
53.0,0.214501,12.3810,355.3500
54.0,0.353577,12.3309,355.8500
55.0,0.506022,12.2810,356.3500
56.0,0.668067,12.2307,356.8500
57.0,0.811315,12.1806,357.3500
58.0,0.938378,12.1306,357.8500
59.0,1.046100,12.0806,358.3500
60.0,1.132970,12.0304,358.8500
61.0,1.225062,11.9803,359.3500
62.0,1.365786,11.9302,359.8500
63.0,1.561799,11.8804,360.3500
64.0,1.794450,11.8304,360.8500
65.0,2.055986,11.7804,361.3500
66.0,2.307513,11.7303,361.8500
67.0,2.592350,11.6803,362.3500
68.0,2.888014,11.6305,362.8500
69.0,3.189379,11.5803,363.3500
70.0,3.504868,11.5303,363.8500
71.0,3.833220,11.4802,364.3500
72.0,4.155360,11.4304,364.8500
73.0,4.523784,11.3803,365.3500
74.0,4.910761,11.3302,365.8500
75.0,5.319058,11.2802,366.3500
76.0,5.740445,11.2304,366.8500
77.0,6.206898,11.1805,367.3500
78.0,6.727616,11.1306,367.8500
79.0,7.303377,11.0807,368.3500
80.0,7.934183,11.0311,368.8500
81.0,8.665243,10.9814,369.3500
82.0,9.529797,10.9317,369.8500
