Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.172251,16.0690,108.5560
2.0,-0.170166,16.0188,109.0560
3.0,-0.169740,15.9687,109.5560
4.0,-0.168731,15.9185,110.0560
5.0,-0.169602,15.8685,110.5560
6.0,-0.169011,15.8183,111.0560
7.0,-0.169699,15.7682,111.5560
8.0,-0.172503,15.7181,112.0560
9.0,-0.174047,15.6679,112.5560
10.0,-0.173129,15.6177,113.0560
11.0,-0.171131,15.5675,113.5560
12.0,-0.171177,15.5173,114.0560
13.0,-0.172432,15.4671,114.5560
14.0,-0.171833,15.4169,115.0560
15.0,-0.170814,15.3667,115.5560
16.0,-0.170538,15.3164,116.0560
17.0,-0.173955,15.2662,116.5560
18.0,-0.172950,15.2161,117.0560
19.0,-0.172657,15.1659,117.5560
20.0,-0.166265,15.1157,118.0560
21.0,-0.166595,15.0656,118.5560
22.0,-0.167144,15.0154,119.0560
23.0,-0.169766,14.9654,119.5560
24.0,-0.170605,14.9152,120.0560
25.0,-0.170537,14.8651,120.5560
26.0,-0.168758,14.8149,121.0560
27.0,-0.168154,14.7650,121.5560
28.0,-0.165915,14.7147,122.0560
29.0,-0.167717,14.6645,122.5560
30.0,-0.167621,14.6143,123.0560
31.0,-0.170680,14.5643,123.5560
32.0,-0.168877,14.5139,124.0560
33.0,-0.170148,14.4636,124.5560
34.0,-0.172676,14.4133,125.0560
35.0,-0.173153,14.3633,125.5560
36.0,-0.171464,14.3131,126.0560
37.0,-0.172093,14.2627,126.5560
38.0,-0.174167,14.2125,127.0560
39.0,-0.172722,14.1624,127.5560
40.0,-0.176578,14.1123,128.0560
41.0,-0.171278,14.0621,128.5560
42.0,-0.170306,14.0119,129.0560
43.0,-0.172804,13.9617,129.5560
44.0,-0.170282,13.9118,130.0560
45.0,-0.171761,13.8616,130.5560
46.0,-0.172865,13.8115,131.0560
47.0,-0.175816,13.7612,131.5560
48.0,-0.176932,13.7113,132.0560
49.0,-0.173474,13.6611,132.5560
50.0,-0.172424,13.6108,133.0560
51.0,-0.173742,13.5605,133.5560
52.0,-0.173630,13.5105,134.0560
53.0,-0.165215,13.4602,134.5560
54.0,-0.143294,13.4100,135.0560
55.0,-0.103720,13.3597,135.5560
56.0,-0.032312,13.3097,136.0560
57.0,0.050392,13.2595,136.5560
