Point No.,Normal Force [N],Gap [mm],Time [s]
1,4.974576,11.9648,728.9141
2,4.975263,11.9648,728.9190
3,4.977036,11.9648,728.9240
4,4.977466,11.9648,728.9290
5,4.977363,11.9648,728.9340
6,4.977153,11.9648,728.9390
7,4.974580,11.9654,728.9440
8,4.970331,11.9654,728.9490
9,4.962329,11.9654,728.9531
10,4.943391,11.9679,728.9580
11,4.925938,11.9679,728.9630
12,4.891120,11.9710,728.9680
13,4.860795,11.9710,728.9730
14,4.809286,11.9747,728.9780
15,4.764747,11.9747,728.9830
16,4.701988,11.9797,728.9890
17,4.629801,11.9840,728.9940
18,4.586846,11.9840,728.9990
19,4.514380,11.9889,729.0040
20,4.472776,11.9889,729.0090
21,4.403652,11.9938,729.0140
22,4.362469,11.9938,729.0190
23,4.292471,11.9988,729.0240
24,4.254426,11.9988,729.0291
25,4.190606,12.0037,729.0341
26,4.156853,12.0037,729.0391
27,4.099649,12.0087,729.0440
28,4.068258,12.0087,729.0490
29,4.013360,12.0136,729.0540
30,3.982988,12.0136,729.0580
31,3.948871,12.0136,729.0630
32,3.907988,12.0186,729.0681
33,3.878331,12.0185,729.0731
34,3.843980,12.0241,729.0781
35,3.816615,12.0241,729.0830
36,3.785831,12.0291,729.0880
37,3.759953,12.0291,729.0930
38,3.728104,12.0334,729.0980
39,3.700664,12.0334,729.1030
40,3.670924,12.0384,729.1080
41,3.648501,12.0384,729.1130
42,3.626000,12.0434,729.1180
43,3.605285,12.0434,729.1230
44,3.583643,12.0484,729.1281
45,3.564405,12.0484,729.1331
46,3.543625,12.0533,729.1381
47,3.524672,12.0533,729.1430
48,3.506968,12.0583,729.1480
49,3.489802,12.0583,729.1530
50,3.474852,12.0633,729.1580
51,3.461553,12.0633,729.1630
52,3.453168,12.0689,729.1680
53,3.442600,12.0689,729.1730
54,3.435394,12.0733,729.1780
55,3.425392,12.0733,729.1830
56,3.421221,12.0783,729.1880
57,3.412097,12.0783,729.1931
58,3.407309,12.0833,729.1981
59,3.398270,12.0833,729.2031
60,3.394875,12.0883,729.2080
61,3.388777,12.0882,729.2130
62,3.389773,12.0933,729.2180
63,3.382928,12.0932,729.2230
64,3.379617,12.0982,729.2280
65,3.369526,12.0982,729.2330
66,3.361936,12.1032,729.2380
67,3.351724,12.1032,729.2430
68,3.348095,12.1082,729.2480
69,3.340888,12.1082,729.2531
70,3.338663,12.1132,729.2581
71,3.331223,12.1132,729.2631
72,3.329381,12.1188,729.2680
73,3.322320,12.1188,729.2730
74,3.315932,12.1232,729.2780
75,3.303610,12.1232,729.2830
76,3.293505,12.1282,729.2880
77,3.281043,12.1282,729.2930
78,3.269198,12.1332,729.2980
79,3.255128,12.1332,729.3030
80,3.245270,12.1382,729.3080
81,3.234730,12.1382,729.3130
82,3.228175,12.1432,729.3181
83,3.218597,12.1431,729.3231
84,3.213593,12.1481,729.3281
85,3.205555,12.1481,729.3330
86,3.199355,12.1531,729.3380
87,3.188399,12.1531,729.3430
88,3.178092,12.1581,729.3480
89,3.164686,12.1581,729.3530
90,3.150807,12.1631,729.3580
91,3.137573,12.1631,729.3630
92,3.127075,12.1681,729.3680
93,3.115511,12.1681,729.3730
94,3.104097,12.1731,729.3781
95,3.091485,12.1731,729.3831
96,3.079977,12.1781,729.3881
97,3.066771,12.1781,729.3930
98,3.052406,12.1831,729.3980
99,3.038046,12.1830,729.4030
100,3.022829,12.1880,729.4080
101,3.008455,12.1880,729.4130
102,2.992140,12.1930,729.4180
103,2.976222,12.1930,729.4230
104,2.961698,12.1980,729.4280
105,2.948268,12.1980,729.4330
106,2.933299,12.2030,729.4380
107,2.918569,12.2030,729.4431
108,2.903587,12.2080,729.4481
109,2.889329,12.2080,729.4531
110,2.873028,12.2129,729.4580
111,2.858859,12.2129,729.4630
112,2.845982,12.2179,729.4680
113,2.833224,12.2179,729.4730
114,2.817811,12.2229,729.4780
115,2.802806,12.2229,729.4830
116,2.786659,12.2279,729.4880
117,2.773089,12.2279,729.4930
118,2.757288,12.2329,729.4980
119,2.743171,12.2329,729.5031
120,2.729236,12.2379,729.5081
121,2.716703,12.2379,729.5131
122,2.701221,12.2428,729.5180
123,2.687089,12.2428,729.5230
124,2.671896,12.2478,729.5280
125,2.659201,12.2478,729.5330
126,2.644658,12.2528,729.5380
127,2.631578,12.2528,729.5430
128,2.618191,12.2578,729.5480
129,2.606332,12.2578,729.5530
130,2.591835,12.2628,729.5580
131,2.578233,12.2628,729.5630
132,2.563975,12.2678,729.5681
133,2.551799,12.2678,729.5731
134,2.536970,12.2727,729.5781
135,2.523489,12.2727,729.5830
136,2.509474,12.2777,729.5880
137,2.497999,12.2777,729.5930
138,2.484831,12.2827,729.5980
139,2.472509,12.2827,729.6030
140,2.460225,12.2877,729.6080
141,2.449058,12.2877,729.6130
142,2.433921,12.2927,729.6180
143,2.421698,12.2927,729.6230
144,2.408259,12.2977,729.6281
145,2.397592,12.2977,729.6331
146,2.383797,12.3027,729.6381
147,2.371751,12.3026,729.6430
148,2.358574,12.3076,729.6480
149,2.348244,12.3076,729.6530
150,2.334216,12.3126,729.6580
151,2.322432,12.3126,729.6630
152,2.308487,12.3176,729.6680
153,2.297550,12.3176,729.6730
154,2.284377,12.3226,729.6780
155,2.272719,12.3226,729.6830
156,2.260379,12.3276,729.6880
157,2.251092,12.3276,729.6931
158,2.238677,12.3326,729.6981
159,2.227698,12.3326,729.7031
160,2.214608,12.3376,729.7080
161,2.204704,12.3376,729.7130
162,2.191653,12.3425,729.7180
163,2.180847,12.3425,729.7230
164,2.168712,12.3475,729.7280
165,2.160365,12.3475,729.7330
166,2.149156,12.3525,729.7380
167,2.140019,12.3525,729.7430
168,2.128272,12.3575,729.7480
169,2.119897,12.3575,729.7531
170,2.108010,12.3625,729.7581
171,2.098911,12.3625,729.7631
172,2.087908,12.3675,729.7680
173,2.079406,12.3675,729.7730
174,2.066421,12.3725,729.7780
175,2.056367,12.3725,729.7830
176,2.045022,12.3775,729.7880
177,2.037199,12.3775,729.7930
178,2.026004,12.3824,729.7980
179,2.016905,12.3824,729.8030
180,2.006407,12.3874,729.8080
181,1.999112,12.3874,729.8130
182,1.987856,12.3924,729.8181
183,1.978794,12.3924,729.8231
184,1.967379,12.3974,729.8281
185,1.958939,12.3974,729.8330
186,1.947047,12.4024,729.8380
187,1.937699,12.4024,729.8430
188,1.926528,12.4074,729.8480
189,1.918583,12.4074,729.8530
190,1.906313,12.4124,729.8580
191,1.897368,12.4124,729.8630
192,1.886407,12.4180,729.8680
193,1.878625,12.4180,729.8730
194,1.865537,12.4224,729.8781
195,1.855520,12.4223,729.8831
196,1.842301,12.4273,729.8881
197,1.834398,12.4273,729.8930
198,1.821071,12.4323,729.8980
199,1.812635,12.4323,729.9030
200,1.800940,12.4373,729.9080
201,1.793888,12.4373,729.9130
202,1.781843,12.4423,729.9180
203,1.771915,12.4423,729.9230
204,1.759177,12.4473,729.9280
205,1.752126,12.4473,729.9330
206,1.739930,12.4523,729.9380
207,1.731653,12.4523,729.9431
208,1.720052,12.4579,729.9481
209,1.713098,12.4579,729.9531
210,1.700748,12.4623,729.9580
211,1.691967,12.4622,729.9630
212,1.680762,12.4672,729.9680
213,1.674160,12.4672,729.9730
214,1.662460,12.4722,729.9780
215,1.655403,12.4722,729.9830
216,1.644901,12.4772,729.9880
217,1.638653,12.4772,729.9930
218,1.626037,12.4822,729.9980
219,1.617330,12.4822,730.0031
220,1.605425,12.4872,730.0081
221,1.598752,12.4872,730.0131
222,1.585981,12.4922,730.0180
223,1.578424,12.4922,730.0230
224,1.565873,12.4972,730.0280
225,1.559949,12.4972,730.0330
226,1.547964,12.5022,730.0380
227,1.540112,12.5022,730.0430
228,1.528815,12.5072,730.0480
229,1.522497,12.5071,730.0530
230,1.509713,12.5121,730.0580
231,1.502497,12.5121,730.0630
232,1.490592,12.5171,730.0681
233,1.485102,12.5171,730.0731
234,1.472766,12.5221,730.0781
235,1.465139,12.5221,730.0830
236,1.453346,12.5271,730.0880
237,1.447477,12.5271,730.0930
238,1.435104,12.5321,730.0980
239,1.428193,12.5321,730.1030
240,1.417891,12.5371,730.1080
241,1.413486,12.5371,730.1130
242,1.401034,12.5421,730.1180
243,1.393337,12.5421,730.1230
244,1.381118,12.5471,730.1281
245,1.375590,12.5471,730.1331
246,1.363629,12.5521,730.1381
247,1.357582,12.5520,730.1430
248,1.345425,12.5577,730.1480
249,1.340407,12.5577,730.1530
250,1.326612,12.5620,730.1580
251,1.318892,12.5620,730.1630
252,1.306210,12.5670,730.1680
253,1.300837,12.5670,730.1730
254,1.288174,12.5720,730.1780
255,1.282708,12.5720,730.1830
256,1.271602,12.5770,730.1880
257,1.268188,12.5770,730.1931
258,1.256979,12.5820,730.1981
259,1.250054,12.5820,730.2031
260,1.236629,12.5870,730.2080
261,1.231204,12.5870,730.2130
262,1.218438,12.5920,730.2180
263,1.212518,12.5920,730.2230
264,1.201866,12.5976,730.2280
265,1.197751,12.5976,730.2330
266,1.185364,12.6020,730.2380
267,1.178499,12.6019,730.2430
268,1.165625,12.6069,730.2480
269,1.161538,12.6069,730.2531
270,1.149703,12.6119,730.2581
271,1.144812,12.6119,730.2631
272,1.133318,12.6169,730.2680
273,1.129745,12.6169,730.2730
274,1.116685,12.6219,730.2780
275,1.110171,12.6219,730.2830
276,1.097639,12.6269,730.2880
277,1.093234,12.6269,730.2930
278,1.080982,12.6319,730.2980
279,1.076180,12.6319,730.3030
280,1.064475,12.6369,730.3080
281,1.061113,12.6369,730.3130
282,1.049217,12.6419,730.3181
283,1.043390,12.6419,730.3231
284,1.031054,12.6469,730.3281
285,1.027075,12.6469,730.3330
286,1.014575,12.6518,730.3380
287,1.009736,12.6518,730.3430
288,0.997386,12.6568,730.3480
289,0.994997,12.6568,730.3530
290,0.984241,12.6618,730.3580
291,0.979313,12.6618,730.3630
292,0.966383,12.6668,730.3680
293,0.961169,12.6668,730.3730
294,0.946907,12.6718,730.3781
295,0.942231,12.6718,730.3831
296,0.929745,12.6768,730.3881
297,0.927529,12.6768,730.3930
298,0.916198,12.6818,730.3980
299,0.910722,12.6818,730.4030
300,0.897049,12.6868,730.4080
301,0.892920,12.6868,730.4130
302,0.879060,12.6918,730.4180
303,0.874697,12.6918,730.4230
304,0.862530,12.6968,730.4280
305,0.860084,12.6968,730.4330
306,0.846561,12.7017,730.4380
