Point No.,Normal Force [N],Gap [mm],Time [s]
1,9.589674,11.8694,320.5140
2,9.589220,11.8694,320.5190
3,9.589276,11.8694,320.5240
4,9.589919,11.8694,320.5290
5,9.590576,11.8694,320.5340
6,9.590670,11.8694,320.5390
7,9.582483,11.8694,320.5440
8,9.569545,11.8706,320.5490
9,9.544971,11.8706,320.5530
10,9.468976,11.8725,320.5580
11,9.386524,11.8724,320.5630
12,9.203461,11.8761,320.5680
13,9.030539,11.8760,320.5730
14,8.729219,11.8802,320.5780
15,8.482895,11.8800,320.5830
16,8.069150,11.8848,320.5890
17,7.634955,11.8845,320.5940
18,7.351457,11.8893,320.5990
19,6.910629,11.8891,320.6040
20,6.622254,11.8933,320.6090
21,6.199668,11.8930,320.6140
22,5.929871,11.8985,320.6190
23,5.511789,11.8983,320.6240
24,5.235993,11.9031,320.6290
25,4.830265,11.9028,320.6340
26,4.574007,11.9077,320.6390
27,4.190967,11.9075,320.6440
28,3.942020,11.9117,320.6490
29,3.571765,11.9115,320.6540
30,3.333271,11.9163,320.6580
31,3.089170,11.9162,320.6630
32,2.721820,11.9216,320.6680
33,2.488604,11.9215,320.6730
34,2.150848,11.9256,320.6780
35,1.926589,11.9255,320.6830
36,1.592551,11.9303,320.6880
37,1.377966,11.9302,320.6930
38,1.073117,11.9350,320.6980
39,0.875184,11.9349,320.7030
40,0.584475,11.9397,320.7080
41,0.373682,11.9396,320.7130
42,0.135745,11.9445,320.7180
43,-0.016722,11.9444,320.7230
44,-0.244120,11.9492,320.7280
45,-0.389460,11.9491,320.7330
46,-0.599733,11.9540,320.7380
47,-0.739705,11.9539,320.7430
48,-0.924330,11.9588,320.7480
49,-0.992079,11.9588,320.7530
50,-0.972911,11.9638,320.7580
51,-0.932602,11.9638,320.7630
52,-0.894346,11.9688,320.7680
53,-0.889334,11.9689,320.7730
54,-0.897003,11.9738,320.7780
55,-0.917536,11.9738,320.7830
56,-0.931157,11.9788,320.7880
57,-0.913374,11.9788,320.7930
58,-0.844629,11.9845,320.7980
59,-0.783853,11.9845,320.8030
60,-0.627519,11.9890,320.8080
61,-0.503591,11.9891,320.8130
62,-0.326210,11.9942,320.8180
63,-0.228604,11.9942,320.8230
64,-0.063652,11.9993,320.8280
65,0.048099,11.9994,320.8330
66,0.231564,12.0045,320.8380
67,0.357461,12.0046,320.8430
68,0.590657,12.0097,320.8480
69,0.701482,12.0098,320.8530
70,0.844896,12.0149,320.8580
71,0.913837,12.0149,320.8630
72,1.013986,12.0200,320.8680
73,1.077531,12.0200,320.8730
74,1.199902,12.0251,320.8780
75,1.277601,12.0251,320.8830
76,1.396021,12.0302,320.8880
77,1.465859,12.0302,320.8930
78,1.607730,12.0353,320.8980
79,1.702418,12.0354,320.9030
80,1.844227,12.0405,320.9080
81,1.918649,12.0405,320.9130
82,2.024335,12.0456,320.9180
83,2.077185,12.0456,320.9230
84,2.153360,12.0506,320.9280
85,2.190727,12.0507,320.9330
86,2.256498,12.0557,320.9380
87,2.292196,12.0557,320.9430
88,2.359678,12.0608,320.9480
89,2.398466,12.0608,320.9530
90,2.481543,12.0658,320.9580
91,2.534198,12.0659,320.9630
92,2.618901,12.0709,320.9680
93,2.658312,12.0709,320.9730
94,2.717657,12.0766,320.9780
95,2.740440,12.0766,320.9830
96,2.779280,12.0810,320.9880
97,2.791097,12.0810,320.9930
98,2.819495,12.0860,320.9980
99,2.831672,12.0860,321.0030
100,2.864882,12.0911,321.0080
101,2.878041,12.0911,321.0130
102,2.906496,12.0961,321.0180
103,2.913089,12.0961,321.0230
104,2.935558,12.1011,321.0280
105,2.940753,12.1011,321.0330
106,2.959285,12.1061,321.0380
107,2.961370,12.1061,321.0430
108,2.977017,12.1111,321.0480
109,2.980525,12.1111,321.0530
110,3.006285,12.1162,321.0580
111,3.016774,12.1162,321.0630
112,3.046800,12.1218,321.0680
113,3.055548,12.1218,321.0730
114,3.076872,12.1262,321.0780
115,3.080683,12.1262,321.0830
116,3.100814,12.1312,321.0880
117,3.103493,12.1312,321.0930
118,3.115301,12.1362,321.0980
119,3.112747,12.1362,321.1030
120,3.125771,12.1412,321.1080
121,3.124737,12.1412,321.1130
122,3.130704,12.1462,321.1180
123,3.122694,12.1462,321.1230
124,3.121885,12.1512,321.1280
125,3.112523,12.1512,321.1330
126,3.111976,12.1562,321.1380
127,3.102928,12.1562,321.1430
128,3.104209,12.1612,321.1480
129,3.094497,12.1612,321.1530
130,3.090512,12.1662,321.1580
131,3.080762,12.1662,321.1630
132,3.079060,12.1712,321.1680
133,3.067047,12.1712,321.1730
134,3.059159,12.1762,321.1780
135,3.044457,12.1762,321.1830
136,3.035647,12.1812,321.1880
137,3.020636,12.1812,321.1930
138,3.009478,12.1862,321.1980
139,2.994567,12.1861,321.2030
140,2.987366,12.1905,321.2080
141,2.975184,12.1905,321.2130
142,2.971340,12.1961,321.2180
143,2.960781,12.1961,321.2230
144,2.957162,12.2011,321.2280
145,2.943755,12.2011,321.2330
146,2.932743,12.2061,321.2380
147,2.917101,12.2061,321.2430
148,2.906837,12.2105,321.2480
