Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.007183,15.0173,2641
2.0,-0.007231,14.9672,2642
3.0,-0.006693,14.9170,2642
4.0,-0.006830,14.8670,2643
5.0,-0.005945,14.8168,2643
6.0,-0.006177,14.7668,2644
7.0,-0.006655,14.7164,2644
8.0,-0.006865,14.6664,2645
9.0,-0.007083,14.6161,2645
10.0,-0.006716,14.5660,2646
11.0,-0.007479,14.5156,2646
12.0,-0.006949,14.4656,2647
13.0,-0.006823,14.4153,2647
14.0,-0.006586,14.3651,2648
15.0,-0.007446,14.3148,2648
16.0,-0.006997,14.2648,2649
17.0,-0.006491,14.2145,2649
18.0,-0.006699,14.1642,2650
19.0,-0.006617,14.1141,2650
20.0,-0.007475,14.0641,2651
21.0,-0.006794,14.0139,2651
22.0,-0.007402,13.9638,2652
23.0,-0.006833,13.9136,2652
24.0,-0.007739,13.8636,2653
25.0,-0.007026,13.8134,2653
26.0,-0.006393,13.7633,2654
27.0,-0.006954,13.7130,2654
28.0,-0.007726,13.6628,2655
29.0,-0.007087,13.6128,2655
30.0,-0.007617,13.5625,2656
31.0,-0.007576,13.5122,2656
32.0,-0.007825,13.4619,2657
33.0,-0.007406,13.4119,2657
34.0,-0.007428,13.3617,2658
35.0,-0.007644,13.3113,2658
36.0,-0.006943,13.2611,2659
37.0,-0.006687,13.2111,2659
38.0,-0.007027,13.1609,2660
39.0,-0.007199,13.1107,2660
40.0,-0.006957,13.0605,2661
41.0,-0.008111,13.0105,2661
42.0,-0.007991,12.9604,2662
43.0,-0.007561,12.9102,2662
44.0,-0.007526,12.8601,2663
45.0,-0.007398,12.8099,2663
46.0,-0.007648,12.7598,2664
47.0,-0.007828,12.7098,2664
48.0,-0.008074,12.6594,2665
49.0,-0.008361,12.6092,2665
50.0,-0.008177,12.5591,2666
51.0,-0.008260,12.5089,2666
52.0,-0.008836,12.4586,2667
53.0,-0.008601,12.4082,2667
54.0,-0.008028,12.3582,2668
55.0,-0.008525,12.3080,2668
56.0,-0.008123,12.2577,2669
57.0,-0.008729,12.2076,2669
58.0,-0.009084,12.1575,2670
59.0,-0.008539,12.1074,2670
60.0,-0.008332,12.0571,2671
61.0,-0.007673,12.0070,2671
62.0,0.008030,11.9570,2672
63.0,0.095928,11.9069,2672
64.0,0.239436,11.8568,2673
65.0,0.394748,11.8068,2673
66.0,0.585048,11.7567,2674
67.0,0.768400,11.7068,2674
68.0,0.933737,11.6566,2675
