Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,1.678542,11.3935,3056
2.0,1.670636,11.3951,3056
3.0,1.651878,11.3989,3056
4.0,1.545088,11.4157,3056
5.0,1.449964,11.4281,3056
6.0,1.397946,11.4356,3056
7.0,1.272552,11.4530,3056
8.0,1.225341,11.4605,3056
9.0,1.107362,11.4785,3056
10.0,1.064373,11.4858,3056
11.0,0.948335,11.5029,3056
12.0,0.904658,11.5103,3056
13.0,0.794711,11.5279,3056
14.0,0.751662,11.5352,3056
15.0,0.641380,11.5527,3056
16.0,0.601850,11.5601,3056
17.0,0.487105,11.5776,3057
18.0,0.447608,11.5851,3057
19.0,0.353280,11.6026,3057
20.0,0.324113,11.6100,3057
21.0,0.235633,11.6274,3057
22.0,0.200363,11.6349,3057
23.0,0.141136,11.6465,3057
24.0,0.055030,11.6648,3057
25.0,0.019844,11.6715,3057
26.0,-0.052004,11.6898,3057
27.0,-0.078998,11.6968,3057
28.0,-0.154291,11.7147,3057
29.0,-0.184725,11.7213,3057
30.0,-0.270560,11.7396,3057
31.0,-0.305142,11.7463,3057
32.0,-0.383838,11.7646,3057
33.0,-0.414575,11.7712,3057
34.0,-0.489712,11.7895,3057
35.0,-0.519541,11.7962,3057
36.0,-0.594115,11.8144,3057
37.0,-0.623573,11.8211,3057
38.0,-0.693903,11.8392,3057
39.0,-0.720394,11.8454,3057
40.0,-0.784459,11.8641,3057
41.0,-0.810677,11.8704,3057
42.0,-0.875336,11.8886,3057
43.0,-0.900678,11.8953,3057
44.0,-0.958199,11.9136,3057
45.0,-0.981959,11.9203,3057
46.0,-1.042388,11.9388,3057
47.0,-1.064817,11.9454,3057
48.0,-1.115891,11.9635,3057
49.0,-1.132156,11.9702,3057
50.0,-1.176185,11.9887,3057
51.0,-1.194702,11.9958,3057
52.0,-1.219564,12.0134,3057
53.0,-1.233059,12.0201,3057
54.0,-1.273563,12.0386,3057
55.0,-1.295045,12.0453,3057
56.0,-1.341919,12.0634,3057
57.0,-1.362882,12.0700,3058
58.0,-1.410809,12.0883,3058
59.0,-1.428735,12.0954,3058
60.0,-1.471177,12.1133,3058
61.0,-1.481674,12.1200,3058
62.0,-1.522615,12.1381,3058
63.0,-1.531641,12.1443,3058
64.0,-1.536227,12.1633,3058
65.0,-1.542745,12.1695,3058
66.0,-1.571057,12.1876,3058
67.0,-1.579415,12.1947,3058
68.0,-1.613509,12.2126,3058
69.0,-1.628166,12.2192,3058
70.0,-1.657975,12.2376,3058
71.0,-1.667392,12.2442,3058
72.0,-1.704167,12.2617,3058
73.0,-1.717393,12.2687,3058
74.0,-1.752425,12.2875,3058
75.0,-1.767957,12.2942,3058
76.0,-1.803831,12.3117,3058
77.0,-1.810302,12.3189,3058
78.0,-1.828147,12.3375,3058
79.0,-1.840788,12.3441,3058
80.0,-1.877897,12.3624,3058
81.0,-1.891501,12.3691,3058
82.0,-1.925211,12.3871,3058
83.0,-1.939740,12.3941,3058
84.0,-1.972962,12.4124,3058
85.0,-1.971295,12.4190,3058
86.0,-1.982715,12.4372,3058
87.0,-1.994231,12.4435,3058
88.0,-2.027422,12.4615,3058
89.0,-2.039618,12.4682,3058
90.0,-2.069652,12.4870,3058
91.0,-2.078750,12.4931,3058
92.0,-2.108023,12.5115,3058
93.0,-2.117651,12.5181,3058
94.0,-2.138728,12.5370,3058
95.0,-2.136294,12.5431,3058
96.0,-2.164021,12.5614,3058
97.0,-2.184897,12.5743,3059
98.0,-2.193113,12.5819,3059
99.0,-2.194166,12.5991,3059
100.0,-2.200010,12.6064,3059
101.0,-2.228878,12.6243,3059
102.0,-2.242546,12.6314,3059
103.0,-2.267507,12.6493,3059
104.0,-2.278344,12.6569,3059
105.0,-2.307248,12.6743,3059
106.0,-2.316792,12.6813,3059
107.0,-2.340682,12.6992,3059
108.0,-2.352620,12.7063,3059
109.0,-2.376591,12.7238,3059
110.0,-2.386044,12.7313,3059
111.0,-2.350615,12.7488,3059
112.0,-2.321918,12.7569,3059
113.0,-2.282825,12.7739,3059
114.0,-2.289090,12.7814,3059
115.0,-2.279449,12.7991,3059
116.0,-2.285223,12.8064,3059
117.0,-2.305771,12.8238,3059
118.0,-2.311814,12.8313,3059
119.0,-2.259622,12.8489,3059
120.0,-2.261669,12.8564,3059
121.0,-2.276098,12.8739,3059
122.0,-2.275804,12.8814,3059
123.0,-2.223620,12.8985,3059
124.0,-2.228071,12.9064,3059
125.0,-2.246296,12.9239,3059
126.0,-2.253412,12.9309,3059
127.0,-2.192577,12.9483,3059
128.0,-2.186904,12.9563,3059
129.0,-2.165368,12.9733,3059
130.0,-2.168092,12.9808,3059
131.0,-2.183011,12.9985,3059
132.0,-2.190339,13.0058,3059
133.0,-2.207253,13.0233,3059
134.0,-2.214113,13.0308,3059
135.0,-2.219048,13.0483,3059
136.0,-2.172929,13.0558,3059
