Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.012480,15.0130,2690
2.0,0.012454,14.9628,2691
3.0,0.012368,14.9126,2691
4.0,0.012176,14.8624,2692
5.0,0.012193,14.8124,2692
6.0,0.012607,14.7623,2693
7.0,0.012126,14.7121,2693
8.0,0.012495,14.6619,2694
9.0,0.011901,14.6118,2694
10.0,0.012333,14.5615,2695
11.0,0.012410,14.5113,2695
12.0,0.011870,14.4610,2696
13.0,0.012219,14.4108,2696
14.0,0.012648,14.3606,2697
15.0,0.012250,14.3104,2697
16.0,0.011846,14.2601,2698
17.0,0.012210,14.2100,2698
18.0,0.012742,14.1599,2699
19.0,0.012200,14.1097,2699
20.0,0.012428,14.0596,2700
21.0,0.011703,14.0095,2700
22.0,0.012172,13.9594,2701
23.0,0.012471,13.9092,2701
24.0,0.012380,13.8590,2702
25.0,0.012048,13.8090,2702
26.0,0.012629,13.7588,2703
27.0,0.012967,13.7087,2703
28.0,0.012441,13.6585,2704
29.0,0.012003,13.6083,2704
30.0,0.012157,13.5581,2705
31.0,0.012850,13.5079,2705
32.0,0.012046,13.4576,2706
33.0,0.012126,13.4074,2706
34.0,0.012674,13.3573,2707
35.0,0.012246,13.3071,2707
36.0,0.012311,13.2567,2708
37.0,0.011960,13.2065,2708
38.0,0.011899,13.1565,2709
39.0,0.011847,13.1064,2709
40.0,0.011603,13.0561,2710
41.0,0.011859,13.0060,2710
42.0,0.011928,12.9558,2711
43.0,0.011680,12.9059,2711
44.0,0.012014,12.8556,2712
45.0,0.011958,12.8056,2712
46.0,0.011108,12.7553,2713
47.0,0.011451,12.7053,2713
48.0,0.011079,12.6551,2714
49.0,0.010829,12.6048,2714
50.0,0.010611,12.5545,2715
51.0,0.010752,12.5045,2715
52.0,0.011061,12.4542,2716
53.0,0.011156,12.4040,2716
54.0,0.010433,12.3536,2717
55.0,0.010044,12.3036,2717
56.0,0.010463,12.2534,2718
57.0,0.010024,12.2032,2718
58.0,0.010129,12.1529,2719
59.0,0.009345,12.1029,2719
60.0,0.008311,12.0528,2720
61.0,0.009370,12.0026,2720
62.0,0.020030,11.9524,2721
63.0,0.084344,11.9024,2721
64.0,0.214131,11.8524,2722
65.0,0.358998,11.8023,2722
66.0,0.522524,11.7523,2723
67.0,0.698842,11.7021,2723
68.0,0.847875,11.6522,2724
69.0,0.978377,11.6020,2724
70.0,1.096184,11.5518,2725
71.0,1.211064,11.5016,2725
72.0,1.370971,11.4516,2726
73.0,1.602577,11.4014,2726
74.0,1.892578,11.3514,2727
75.0,2.201474,11.3013,2727
76.0,2.515411,11.2515,2728
77.0,2.861074,11.2014,2728
78.0,3.217727,11.1514,2729
79.0,3.592221,11.1015,2729
80.0,3.980863,11.0517,2730
81.0,4.398523,11.0018,2730
82.0,4.861444,10.9519,2731
83.0,5.358170,10.9020,2731
84.0,5.878323,10.8523,2732
85.0,6.475137,10.8025,2732
86.0,7.137318,10.7528,2733
87.0,7.876363,10.7029,2733
88.0,8.740580,10.6533,2734
89.0,9.762918,10.6038,2734
