Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.071782,10.9987,1972
2.0,4.043606,10.9986,1972
3.0,4.026163,10.9986,1973
4.0,4.015315,10.9986,1973
5.0,4.008234,10.9986,1974
6.0,4.002269,10.9986,1974
7.0,3.998169,10.9986,1975
8.0,3.994583,10.9986,1975
9.0,3.992090,10.9986,1976
10.0,3.989483,10.9986,1976
11.0,3.987063,10.9986,1977
12.0,3.984494,10.9986,1977
13.0,3.983065,10.9986,1978
14.0,3.981437,10.9986,1978
15.0,3.979691,10.9986,1979
16.0,3.978209,10.9986,1979
17.0,3.976764,10.9986,1980
18.0,3.975508,10.9986,1980
19.0,3.974533,10.9986,1981
20.0,3.973530,10.9986,1981
21.0,3.972597,10.9986,1982
22.0,3.972200,10.9986,1982
23.0,3.971097,10.9986,1983
24.0,3.971257,10.9986,1983
25.0,3.970401,10.9986,1984
26.0,3.970068,10.9986,1984
27.0,3.969745,10.9986,1985
28.0,3.968954,10.9986,1985
29.0,3.968775,10.9986,1986
30.0,3.968334,10.9986,1986
31.0,3.968333,10.9986,1987
32.0,3.967715,10.9986,1987
33.0,3.967521,10.9986,1988
34.0,3.967340,10.9986,1988
35.0,3.966725,10.9986,1989
36.0,3.966568,10.9986,1989
37.0,3.966418,10.9986,1990
38.0,3.965765,10.9986,1990
39.0,3.965887,10.9986,1991
40.0,3.965373,10.9986,1991
