Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.448783,10.9939,3602
2.0,4.426680,10.9939,3602
3.0,4.413540,10.9939,3603
4.0,4.403317,10.9938,3603
5.0,4.394978,10.9938,3604
6.0,4.387445,10.9938,3604
7.0,4.382355,10.9938,3605
8.0,4.377664,10.9938,3605
9.0,4.375362,10.9938,3606
10.0,4.372235,10.9938,3606
11.0,4.369659,10.9938,3607
12.0,4.368090,10.9938,3607
13.0,4.365181,10.9938,3608
14.0,4.363776,10.9938,3608
15.0,4.361668,10.9938,3609
16.0,4.360177,10.9938,3609
17.0,4.356799,10.9938,3610
18.0,4.354522,10.9938,3610
19.0,4.352973,10.9938,3611
20.0,4.352307,10.9938,3611
21.0,4.350431,10.9938,3612
22.0,4.348630,10.9938,3612
23.0,4.346757,10.9938,3613
24.0,4.345109,10.9938,3613
25.0,4.344297,10.9938,3614
26.0,4.342196,10.9938,3614
27.0,4.340671,10.9938,3615
28.0,4.338899,10.9938,3615
29.0,4.337445,10.9938,3616
30.0,4.337500,10.9938,3616
31.0,4.336978,10.9938,3617
32.0,4.335598,10.9938,3617
33.0,4.335766,10.9938,3618
34.0,4.333557,10.9938,3618
35.0,4.332539,10.9938,3619
36.0,4.332186,10.9938,3619
37.0,4.330995,10.9938,3620
38.0,4.330887,10.9938,3620
39.0,4.330007,10.9938,3621
40.0,4.328925,10.9938,3621
