Point No.,Normal Force [N],Gap [mm],Time [s]
1,-0.070492,8.5199,336.1
2,-0.071768,8.5217,336.1
5,-0.072848,8.5067,336.3
6,-0.073387,8.5020,336.3
7,-0.073936,8.4967,336.4
8,-0.075081,8.4917,336.4
9,-0.075896,8.4867,336.5
10,-0.076205,8.4819,336.5
11,-0.076986,8.4765,336.6
12,-0.075406,8.4717,336.6
13,-0.075727,8.4667,336.7
14,-0.073523,8.4619,336.7
15,-0.075101,8.4565,336.8
16,-0.076618,8.4517,336.8
17,-0.075275,8.4465,336.9
18,-0.074960,8.4420,336.9
19,-0.074520,8.4365,337
20,-0.075283,8.4318,337
21,-0.076827,8.4265,337.1
22,-0.074278,8.4222,337.1
23,-0.076159,8.4165,337.2
24,-0.075422,8.4120,337.2
25,-0.075465,8.4068,337.3
26,-0.075261,8.4021,337.3
27,-0.075721,8.3965,337.4
28,-0.075226,8.3920,337.4
29,-0.075681,8.3870,337.5
30,-0.073970,8.3821,337.5
31,-0.076099,8.3768,337.6
32,-0.075561,8.3720,337.6
33,-0.073698,8.3670,337.7
34,-0.073372,8.3621,337.7
35,-0.074124,8.3568,337.8
36,-0.073454,8.3518,337.8
37,-0.072639,8.3468,337.9
38,-0.070998,8.3418,337.9
39,-0.072790,8.3365,338
40,-0.072722,8.3318,338
41,-0.072010,8.3268,338.1
42,-0.071780,8.3218,338.1
43,-0.073178,8.3165,338.2
44,-0.071470,8.3118,338.2
45,-0.071876,8.3065,338.3
46,-0.072405,8.3018,338.3
47,-0.073988,8.2965,338.4
48,-0.074598,8.2915,338.4
49,-0.072095,8.2865,338.5
50,-0.072045,8.2818,338.5
51,-0.072530,8.2764,338.6
52,-0.072718,8.2715,338.6
53,-0.072580,8.2665,338.7
54,-0.073213,8.2617,338.7
55,-0.075165,8.2562,338.8
56,-0.074051,8.2512,338.8
57,-0.075396,8.2462,338.9
58,-0.073734,8.2415,338.9
59,-0.075090,8.2362,339
60,-0.077180,8.2312,339
61,-0.074104,8.2262,339.1
62,-0.074501,8.2212,339.1
63,-0.075466,8.2163,339.2
64,-0.076401,8.2112,339.2
65,-0.074456,8.2064,339.3
66,-0.076722,8.2012,339.3
67,-0.072889,8.1964,339.4
68,-0.074940,8.1912,339.4
69,-0.072992,8.1865,339.5
70,-0.072176,8.1815,339.5
71,-0.073102,8.1762,339.6
72,-0.071517,8.1713,339.6
73,-0.072512,8.1662,339.7
74,-0.070987,8.1615,339.7
75,-0.074119,8.1562,339.8
76,-0.070557,8.1512,339.8
77,-0.071494,8.1462,339.9
78,-0.070867,8.1412,339.9
79,-0.071121,8.1359,340
80,-0.070684,8.1312,340
81,-0.070166,8.1264,340.1
82,-0.069949,8.1214,340.1
83,-0.069311,8.1159,340.2
84,-0.070683,8.1109,340.2
85,-0.070212,8.1062,340.3
86,-0.069709,8.1012,340.3
87,-0.073135,8.0959,340.4
88,-0.072328,8.0909,340.4
89,-0.073075,8.0862,340.5
90,-0.072005,8.0809,340.5
91,-0.074081,8.0756,340.6
92,-0.074407,8.0709,340.6
93,-0.073383,8.0659,340.7
94,-0.073756,8.0609,340.7
95,-0.074682,8.0556,340.8
96,-0.074760,8.0509,340.8
97,-0.075802,8.0456,340.9
