Point No.,Normal Force [N],Gap [mm],Time [s]
1,-0.038892,9.0019,281.9
2,-0.068712,9.0075,281.9
3,-0.071877,9.0118,281.9
4,-0.063201,9.0168,281.9
5,-0.068361,9.0218,282
6,-0.065953,9.0268,282
31,-0.040400,9.1518,282.2
32,-0.025527,9.1569,282.2
33,-0.055590,9.1612,282.2
34,-0.020818,9.1669,282.2
35,-0.042174,9.1718,282.3
36,-0.026895,9.1769,282.3
37,-0.032165,9.1812,282.3
38,-0.033154,9.1869,282.3
39,-0.033984,9.1919,282.3
40,-0.050704,9.1968,282.3
41,-0.032768,9.2019,282.3
42,-0.033486,9.2069,282.3
43,-0.036151,9.2119,282.3
44,-0.057599,9.2168,282.3
45,-0.029544,9.2212,282.4
46,-0.013799,9.2269,282.4
47,-0.032700,9.2319,282.4
48,-0.022485,9.2369,282.4
49,-0.028714,9.2412,282.4
50,-0.036175,9.2469,282.4
51,-0.075448,9.2518,282.4
52,-0.022953,9.2569,282.4
53,-0.040468,9.2619,282.4
54,-0.015466,9.2669,282.4
55,-0.033353,9.2719,282.5
56,-0.056093,9.2768,282.5
57,-0.035964,9.2812,282.5
58,-0.030739,9.2869,282.5
59,-0.028903,9.2919,282.5
60,-0.024634,9.2969,282.5
67,-0.030610,9.3319,282.6
68,-0.014541,9.3369,282.6
69,-0.028195,9.3419,282.6
70,-0.054877,9.3468,282.6
71,-0.030713,9.3519,282.6
72,-0.047330,9.3568,282.6
73,-0.028151,9.3619,282.6
74,-0.045492,9.3668,282.6
75,-0.036016,9.3719,282.7
76,-0.049827,9.3768,282.7
77,-0.025892,9.3819,282.7
78,-0.018728,9.3869,282.7
79,-0.029341,9.3919,282.7
80,-0.046696,9.3968,282.7
81,-0.056509,9.4018,282.7
82,-0.010533,9.4069,282.7
83,-0.028132,9.4119,282.7
84,-0.050253,9.4168,282.7
85,-0.026383,9.4219,282.8
86,-0.051571,9.4268,282.8
87,-0.032065,9.4319,282.8
88,-0.057723,9.4368,282.8
89,-0.030030,9.4419,282.8
90,-0.017636,9.4475,282.8
91,-0.027489,9.4519,282.8
92,-0.053191,9.4568,282.8
93,-0.053446,9.4618,282.8
94,-0.019570,9.4669,282.8
95,-0.026261,9.4719,282.9
103,-0.023863,9.5119,282.9
104,-0.022707,9.5169,282.9
105,-0.027603,9.5219,283
106,-0.044185,9.5268,283
107,-0.024031,9.5319,283
108,-0.048113,9.5368,283
109,-0.019673,9.5419,283
110,-0.016257,9.5475,283
111,-0.021239,9.5519,283
112,-0.015085,9.5569,283
113,-0.019743,9.5619,283
114,-0.019427,9.5669,283
115,-0.027603,9.5719,283.1
116,-0.017014,9.5769,283.1
117,-0.028239,9.5819,283.1
118,-0.043640,9.5875,283.1
119,-0.018548,9.5919,283.1
120,-0.021840,9.5969,283.1
121,-0.057809,9.6018,283.1
122,-0.015004,9.6069,283.1
123,-0.022093,9.6119,283.1
124,-0.022932,9.6169,283.1
125,-0.053998,9.6218,283.2
126,-0.050089,9.6275,283.2
127,-0.028328,9.6319,283.2
128,-0.015986,9.6369,283.2
129,-0.025890,9.6419,283.2
130,-0.043477,9.6468,283.2
131,-0.024496,9.6519,283.2
132,-0.016701,9.6569,283.2
140,-0.016100,9.6969,283.3
141,-0.053215,9.7018,283.3
142,-0.019836,9.7069,283.3
143,-0.038031,9.7119,283.3
144,-0.035156,9.7169,283.3
145,-0.024286,9.7219,283.4
146,-0.052932,9.7275,283.4
147,-0.021440,9.7319,283.4
148,-0.021482,9.7369,283.4
149,-0.026098,9.7419,283.4
150,-0.019530,9.7469,283.4
151,-0.020903,9.7519,283.4
152,-0.051726,9.7568,283.4
153,-0.031761,9.7619,283.4
154,-0.034555,9.7675,283.4
155,-0.029724,9.7719,283.5
156,-0.019811,9.7769,283.5
157,-0.031433,9.7819,283.5
158,-0.045670,9.7868,283.5
159,-0.022062,9.7919,283.5
160,-0.044304,9.7968,283.5
161,-0.023287,9.8012,283.5
162,-0.036729,9.8069,283.5
163,-0.025263,9.8119,283.5
164,-0.056420,9.8168,283.5
165,-0.034265,9.8219,283.6
166,-0.025530,9.8269,283.6
167,-0.024234,9.8319,283.6
168,-0.018887,9.8369,283.6
176,-0.054351,9.8768,283.7
177,-0.027152,9.8812,283.7
178,-0.022172,9.8869,283.7
179,-0.023701,9.8919,283.7
180,-0.046890,9.8968,283.7
181,-0.030330,9.9012,283.7
182,-0.043063,9.9069,283.7
183,-0.035812,9.9112,283.7
184,-0.043238,9.9169,283.7
185,-0.034531,9.9212,283.8
186,-0.056109,9.9268,283.8
187,-0.034566,9.9319,283.8
188,-0.049266,9.9368,283.8
189,-0.036226,9.9412,283.8
190,-0.059055,9.9468,283.8
191,-0.031136,9.9512,283.8
192,-0.054159,9.9562,283.8
193,-0.033631,9.9612,283.8
194,-0.045649,9.9668,283.8
195,-0.026287,9.9719,283.9
196,-0.020040,9.9769,283.9
197,-0.027031,9.9812,283.9
198,-0.029249,9.9869,283.9
199,-0.037858,9.9912,283.9
200,-0.022128,9.9962,283.9
