Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,25.204200,6.9624,161.4
2.0,25.054290,6.9623,161.9
3.0,24.971023,6.9622,162.4
4.0,24.908052,6.9622,162.9
5.0,24.856487,6.9622,163.4
6.0,24.810350,6.9621,163.9
7.0,24.781585,6.9621,164.4
8.0,24.750619,6.9621,164.9
9.0,24.727632,6.9621,165.4
10.0,24.704410,6.9621,165.9
11.0,24.681911,6.9621,166.4
12.0,24.667154,6.9621,166.9
13.0,24.650806,6.9620,167.4
14.0,24.634532,6.9620,167.9
15.0,24.619985,6.9620,168.4
16.0,24.606712,6.9620,168.9
17.0,24.587144,6.9620,169.4
18.0,24.572305,6.9620,169.9
19.0,24.563692,6.9620,170.4
20.0,24.558156,6.9620,170.9
21.0,24.553802,6.9620,171.4
22.0,24.547380,6.9620,171.9
23.0,24.542385,6.9620,172.4
24.0,24.533519,6.9620,172.9
25.0,24.526403,6.9620,173.4
26.0,24.519464,6.9620,173.9
27.0,24.511190,6.9620,174.4
28.0,24.507240,6.9620,174.9
29.0,24.500162,6.9619,175.4
30.0,24.496379,6.9619,175.9
31.0,24.492265,6.9619,176.4
32.0,24.486040,6.9619,176.9
33.0,24.482671,6.9619,177.4
34.0,24.476331,6.9619,177.9
35.0,24.470531,6.9619,178.4
36.0,24.464254,6.9619,178.9
37.0,24.461271,6.9619,179.4
38.0,24.454271,6.9619,179.9
39.0,24.448894,6.9619,180.4
40.0,24.444711,6.9619,180.9
