Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.976980,7.3717,143.9
2.0,4.925458,7.3717,144.4
3.0,4.895560,7.3716,144.9
4.0,4.879791,7.3716,145.4
5.0,4.866735,7.3716,145.9
6.0,4.855787,7.3716,146.4
7.0,4.844810,7.3716,146.9
8.0,4.836997,7.3716,147.4
9.0,4.830951,7.3716,147.9
10.0,4.825549,7.3716,148.4
11.0,4.822598,7.3716,148.9
12.0,4.817839,7.3716,149.4
13.0,4.814349,7.3716,149.9
14.0,4.810406,7.3716,150.4
15.0,4.807129,7.3716,150.9
16.0,4.804597,7.3716,151.4
17.0,4.801470,7.3716,151.9
18.0,4.798896,7.3716,152.4
19.0,4.797145,7.3716,152.9
20.0,4.794794,7.3716,153.4
21.0,4.792436,7.3716,153.9
22.0,4.790767,7.3716,154.4
23.0,4.788237,7.3716,154.9
24.0,4.786721,7.3716,155.4
25.0,4.786029,7.3716,155.9
26.0,4.783639,7.3716,156.4
27.0,4.782488,7.3716,156.9
28.0,4.780495,7.3716,157.4
29.0,4.779677,7.3716,157.9
30.0,4.778149,7.3716,158.4
31.0,4.776565,7.3716,158.9
32.0,4.776111,7.3716,159.4
33.0,4.774547,7.3716,159.9
34.0,4.773758,7.3716,160.4
35.0,4.772749,7.3716,160.9
36.0,4.772150,7.3716,161.4
37.0,4.771574,7.3716,161.9
38.0,4.770437,7.3716,162.4
39.0,4.769801,7.3716,162.9
40.0,4.769320,7.3716,163.4
