Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.107939,4.5668,601.3
2.0,4.076933,4.5668,601.8
3.0,4.058282,4.5668,602.3
4.0,4.042007,4.5668,602.8
5.0,4.032638,4.5668,603.3
6.0,4.026781,4.5668,603.8
7.0,4.021075,4.5668,604.3
8.0,4.016006,4.5667,604.8
9.0,4.010869,4.5667,605.3
10.0,4.004602,4.5667,605.8
11.0,4.000372,4.5667,606.3
12.0,3.995411,4.5667,606.8
13.0,3.991737,4.5667,607.3
14.0,3.987311,4.5667,607.8
15.0,3.984449,4.5667,608.3
16.0,3.980831,4.5667,608.8
17.0,3.978758,4.5667,609.3
18.0,3.977498,4.5667,609.8
19.0,3.973937,4.5667,610.3
20.0,3.972378,4.5667,610.8
21.0,3.971050,4.5667,611.3
22.0,3.969446,4.5667,611.8
23.0,3.967521,4.5667,612.3
24.0,3.966641,4.5667,612.8
25.0,3.964301,4.5667,613.3
26.0,3.962658,4.5667,613.8
27.0,3.961038,4.5667,614.3
28.0,3.959831,4.5667,614.8
29.0,3.958631,4.5667,615.3
30.0,3.957116,4.5667,615.8
31.0,3.955992,4.5667,616.3
32.0,3.953990,4.5667,616.8
33.0,3.952409,4.5667,617.3
34.0,3.951241,4.5667,617.8
35.0,3.949905,4.5667,618.3
36.0,3.948123,4.5667,618.8
37.0,3.947153,4.5667,619.3
38.0,3.944922,4.5667,619.8
39.0,3.942492,4.5667,620.3
40.0,3.941968,4.5667,620.8
