Point No.,Normal Force [N],Gap [mm],Time [s]
1,4.794754,4.5178,128.4
2,4.794010,4.5178,128.4
3,4.796890,4.5178,128.4
4,4.792850,4.5178,128.4
5,4.797115,4.5178,128.4
6,4.772009,4.5178,128.4
7,4.784986,4.5184,128.4
8,4.763805,4.5184,128.4
9,4.762624,4.5197,128.4
10,4.756721,4.5197,128.4
11,4.730565,4.5203,128.4
12,4.708344,4.5203,128.4
13,4.700993,4.5209,128.5
14,4.718214,4.5209,128.5
15,4.703339,4.5221,128.5
16,4.672701,4.5221,128.5
17,4.627075,4.5234,128.5
18,4.601581,4.5233,128.5
19,4.627520,4.5246,128.5
20,4.617218,4.5246,128.5
21,4.589726,4.5252,128.5
22,4.578664,4.5252,128.5
23,4.558255,4.5264,128.5
24,4.545654,4.5264,128.5
25,4.575058,4.5277,128.5
26,4.545448,4.5277,128.5
27,4.487015,4.5283,128.5
28,4.471406,4.5283,128.5
29,4.511700,4.5295,128.5
30,4.479907,4.5295,128.5
31,4.463292,4.5301,128.5
32,4.450738,4.5301,128.5
33,4.445397,4.5307,128.6
34,4.462971,4.5308,128.6
35,4.452987,4.5320,128.6
36,4.386210,4.5320,128.6
37,4.372060,4.5332,128.6
38,4.416779,4.5332,128.6
39,4.389933,4.5345,128.6
40,4.360342,4.5344,128.6
41,4.346435,4.5351,128.6
42,4.331256,4.5351,128.6
43,4.329153,4.5363,128.6
44,4.344327,4.5363,128.6
45,4.337705,4.5369,128.6
46,4.283886,4.5369,128.6
47,4.274155,4.5381,128.6
48,4.315660,4.5382,128.6
49,4.295998,4.5394,128.6
50,4.262366,4.5394,128.6
51,4.253253,4.5400,128.6
52,4.240847,4.5400,128.6
53,4.239107,4.5406,128.7
54,4.251709,4.5406,128.7
55,4.248343,4.5419,128.7
56,4.189485,4.5418,128.7
57,4.176974,4.5431,128.7
58,4.222264,4.5431,128.7
59,4.194156,4.5443,128.7
60,4.158719,4.5443,128.7
61,4.144685,4.5449,128.7
62,4.143891,4.5449,128.7
63,4.149652,4.5462,128.7
64,4.152607,4.5462,128.7
65,4.142216,4.5468,128.7
66,4.086178,4.5468,128.7
67,4.080968,4.5480,128.7
68,4.129807,4.5481,128.7
69,4.104204,4.5493,128.7
70,4.063620,4.5493,128.7
71,4.053500,4.5499,128.7
72,4.060294,4.5499,128.7
73,4.060201,4.5505,128.8
74,4.061333,4.5505,128.8
75,4.047818,4.5518,128.8
76,4.004101,4.5517,128.8
77,3.992874,4.5530,128.8
78,4.041631,4.5530,128.8
79,4.004817,4.5542,128.8
80,3.967655,4.5542,128.8
81,3.961473,4.5548,128.8
82,3.969343,4.5548,128.8
83,3.971560,4.5561,128.8
84,3.965621,4.5561,128.8
85,3.953547,4.5567,128.8
86,3.911541,4.5567,128.8
87,3.899616,4.5579,128.8
88,3.953579,4.5580,128.8
89,3.925958,4.5579,128.8
90,3.879121,4.5585,128.8
91,3.873930,4.5585,128.8
92,3.888834,4.5598,128.8
93,3.887969,4.5604,128.9
94,3.879486,4.5604,128.9
95,3.867533,4.5617,128.9
96,3.837765,4.5616,128.9
97,3.835628,4.5629,128.9
98,3.878036,4.5629,128.9
99,3.846201,4.5641,128.9
100,3.806056,4.5641,128.9
101,3.804550,4.5647,128.9
102,3.825331,4.5648,128.9
103,3.832013,4.5660,128.9
104,3.812121,4.5660,128.9
105,3.800009,4.5666,128.9
106,3.777227,4.5666,128.9
107,3.777620,4.5679,128.9
108,3.808791,4.5679,128.9
109,3.775516,4.5679,128.9
110,3.742871,4.5691,128.9
111,3.735801,4.5691,128.9
112,3.759462,4.5697,128.9
113,3.765841,4.5703,129
114,3.740066,4.5703,129
115,3.733991,4.5716,129
116,3.719369,4.5716,129
117,3.717681,4.5728,129
118,3.739570,4.5728,129
119,3.711476,4.5741,129
120,3.681455,4.5740,129
121,3.672958,4.5747,129
122,3.701454,4.5747,129
123,3.706659,4.5759,129
124,3.679126,4.5759,129
125,3.663830,4.5765,129
126,3.662161,4.5765,129
127,3.657195,4.5765,129
128,3.680856,4.5778,129
129,3.653224,4.5778,129
130,3.618728,4.5784,129
131,3.630246,4.5784,129
132,3.652069,4.5797,129
133,3.658999,4.5803,129.1
134,3.626580,4.5803,129.1
135,3.604835,4.5809,129.1
136,3.616554,4.5809,129.1
137,3.611775,4.5828,129.1
138,3.620117,4.5828,129.1
139,3.590072,4.5840,129.1
140,3.563063,4.5840,129.1
141,3.568015,4.5846,129.1
142,3.595324,4.5846,129.1
143,3.598696,4.5859,129.1
144,3.558775,4.5859,129.1
145,3.546066,4.5858,129.1
146,3.558705,4.5865,129.1
147,3.564246,4.5865,129.1
148,3.561333,4.5877,129.1
149,3.532313,4.5877,129.1
150,3.513257,4.5889,129.1
151,3.520224,4.5890,129.1
152,3.543134,4.5896,129.1
153,3.548525,4.5902,129.2
154,3.507220,4.5902,129.2
155,3.488890,4.5908,129.2
156,3.516965,4.5908,129.2
157,3.514174,4.5927,129.2
158,3.505873,4.5927,129.2
159,3.476428,4.5939,129.2
160,3.469732,4.5939,129.2
161,3.471148,4.5945,129.2
162,3.495085,4.5946,129.2
163,3.496858,4.5946,129.2
164,3.455431,4.5952,129.2
165,3.437017,4.5952,129.2
166,3.473071,4.5964,129.2
167,3.467809,4.5964,129.2
168,3.458293,4.5977,129.2
169,3.435371,4.5977,129.2
170,3.431340,4.5983,129.2
171,3.441679,4.5995,129.2
172,3.456146,4.5995,129.2
173,3.452177,4.6002,129.3
174,3.410643,4.6001,129.3
175,3.400617,4.6008,129.3
176,3.436474,4.6008,129.3
177,3.435277,4.6027,129.3
178,3.413449,4.6026,129.3
179,3.387888,4.6039,129.3
180,3.391747,4.6039,129.3
181,3.401889,4.6045,129.3
182,3.419397,4.6045,129.3
183,3.412991,4.6045,129.3
184,3.376156,4.6057,129.3
185,3.363213,4.6057,129.3
186,3.408932,4.6064,129.3
187,3.407085,4.6064,129.3
188,3.375338,4.6076,129.3
189,3.348773,4.6076,129.3
190,3.357120,4.6082,129.3
191,3.365808,4.6095,129.3
192,3.377877,4.6095,129.3
193,3.376058,4.6095,129.4
194,3.334735,4.6101,129.4
195,3.325565,4.6101,129.4
196,3.366608,4.6107,129.4
197,3.360220,4.6107,129.4
198,3.321365,4.6126,129.4
199,3.300590,4.6126,129.4
200,3.320211,4.6132,129.4
201,3.322993,4.6132,129.4
202,3.328127,4.6145,129.4
203,3.327482,4.6145,129.4
204,3.285093,4.6151,129.4
205,3.276245,4.6151,129.4
206,3.326828,4.6157,129.4
207,3.317498,4.6157,129.4
208,3.273715,4.6176,129.4
209,3.254730,4.6175,129.4
210,3.280313,4.6182,129.4
211,3.286711,4.6182,129.4
212,3.287103,4.6194,129.4
213,3.278517,4.6194,129.5
