Point No.,Normal Force [N],Gap [mm],Time [s]
1,14.596594,4.2824,640.7
2,14.595556,4.2824,640.7
3,14.591966,4.2824,640.7
4,14.595717,4.2824,640.7
5,14.595051,4.2824,640.7
6,14.593304,4.2824,640.7
7,14.560626,4.2823,640.7
8,14.525065,4.2829,640.7
9,14.465967,4.2829,640.7
10,14.324316,4.2853,640.7
11,14.076458,4.2852,640.7
12,13.902948,4.2882,640.7
13,13.552784,4.2880,640.7
14,13.277354,4.2922,640.7
15,12.955029,4.2920,640.7
16,12.581267,4.2962,640.7
17,12.350379,4.2960,640.7
18,11.939504,4.3014,640.8
19,11.727094,4.3013,640.8
20,11.399577,4.3055,640.8
21,11.155310,4.3053,640.8
22,10.747991,4.3107,640.8
23,10.550372,4.3106,640.8
24,10.225309,4.3148,640.8
25,10.024578,4.3147,640.8
26,9.691256,4.3195,640.8
27,9.518364,4.3194,640.8
28,9.246140,4.3242,640.8
29,9.056731,4.3241,640.8
30,8.777438,4.3296,640.8
31,8.555740,4.3294,640.8
32,8.366851,4.3337,640.8
33,8.156332,4.3336,640.8
34,7.941772,4.3384,640.8
35,7.769849,4.3383,640.8
36,7.590695,4.3432,640.8
37,7.378298,4.3431,640.8
38,7.159225,4.3486,640.9
39,7.014679,4.3485,640.9
40,6.870793,4.3528,640.9
41,6.713113,4.3527,640.9
42,6.571471,4.3576,640.9
43,6.437827,4.3575,640.9
44,6.302136,4.3625,640.9
45,6.133136,4.3624,640.9
46,5.980870,4.3679,640.9
47,5.825061,4.3678,640.9
48,5.704041,4.3721,640.9
49,5.561977,4.3720,640.9
50,5.431153,4.3770,640.9
51,5.323942,4.3769,640.9
52,5.221044,4.3818,640.9
53,5.078139,4.3817,640.9
54,4.953258,4.3873,640.9
55,4.833435,4.3872,640.9
56,4.758836,4.3916,640.9
57,4.771181,4.3916,640.9
58,4.732014,4.3965,641
59,4.686176,4.3965,641
60,4.641903,4.4015,641
61,4.564705,4.4014,641
62,4.514506,4.4070,641
63,4.475671,4.4070,641
64,4.436969,4.4114,641
65,4.345972,4.4113,641
66,4.303302,4.4163,641
67,4.247772,4.4163,641
68,4.206818,4.4212,641
69,4.110919,4.4212,641
70,4.039695,4.4268,641
71,3.959252,4.4267,641
72,3.937765,4.4311,641
73,3.901146,4.4311,641
74,3.927987,4.4361,641
75,3.943002,4.4361,641
76,3.938153,4.4411,641
77,3.895216,4.4410,641
78,3.879135,4.4467,641.1
79,3.842488,4.4466,641.1
80,3.837853,4.4510,641.1
81,3.785962,4.4510,641.1
82,3.777985,4.4560,641.1
83,3.775590,4.4560,641.1
84,3.781239,4.4610,641.1
85,3.727618,4.4609,641.1
86,3.716642,4.4666,641.1
87,3.676021,4.4665,641.1
88,3.676372,4.4709,641.1
89,3.619799,4.4709,641.1
90,3.617036,4.4759,641.1
91,3.595147,4.4759,641.1
92,3.600061,4.4809,641.1
93,3.564494,4.4809,641.1
94,3.553173,4.4865,641.1
95,3.519331,4.4865,641.1
96,3.531457,4.4908,641.1
97,3.489830,4.4908,641.1
98,3.489507,4.4958,641.2
99,3.451863,4.4958,641.2
100,3.457816,4.5008,641.2
101,3.416937,4.5008,641.2
102,3.411761,4.5058,641.2
103,3.380664,4.5057,641.2
104,3.387739,4.5107,641.2
105,3.342141,4.5107,641.2
106,3.336792,4.5157,641.2
107,3.304251,4.5157,641.2
108,3.299229,4.5207,641.2
109,3.258504,4.5207,641.2
110,3.251700,4.5257,641.2
111,3.217222,4.5256,641.2
112,3.216353,4.5306,641.2
113,3.168684,4.5306,641.2
114,3.168165,4.5356,641.2
115,3.130868,4.5356,641.2
116,3.126879,4.5406,641.2
