Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.025338,14.9565,3864
2.0,-0.025640,14.8561,3865
3.0,-0.025357,14.7560,3866
4.0,-0.024678,14.6556,3867
5.0,-0.025972,14.5552,3868
6.0,-0.025422,14.4547,3869
7.0,-0.024797,14.3543,3870
8.0,-0.025253,14.2539,3871
9.0,-0.025198,14.1535,3872
10.0,-0.025369,14.0533,3873
11.0,-0.025859,13.9529,3874
12.0,-0.026322,13.8528,3875
13.0,-0.025892,13.7525,3876
14.0,-0.025346,13.6522,3877
15.0,-0.025205,13.5516,3878
16.0,-0.025170,13.4514,3879
17.0,-0.025685,13.3508,3880
18.0,-0.025728,13.2505,3881
19.0,-0.025922,13.1501,3882
20.0,-0.025900,13.0498,3883
21.0,-0.025873,12.9496,3884
22.0,-0.025549,12.8494,3885
23.0,-0.025513,12.7491,3886
24.0,-0.026358,12.6487,3887
25.0,-0.026466,12.5483,3888
26.0,-0.026641,12.4478,3889
27.0,-0.026341,12.3474,3890
28.0,-0.026262,12.2469,3891
29.0,-0.025648,12.1466,3892
30.0,-0.026276,12.0463,3893
31.0,0.027068,11.9462,3894
32.0,0.283180,11.8460,3895
33.0,0.582105,11.7461,3896
34.0,0.858257,11.6457,3897
35.0,1.105404,11.5456,3898
36.0,1.482265,11.4452,3899
37.0,2.049680,11.3453,3900
38.0,2.652446,11.2451,3901
39.0,3.240608,11.1452,3902
40.0,3.860211,11.0453,3903
