Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.166169,14.9281,1
2.0,-0.165775,14.8280,2
3.0,-0.165326,14.7276,3
4.0,-0.166476,14.6273,4
5.0,-0.166137,14.5268,5
6.0,-0.165539,14.4264,6
7.0,-0.165599,14.3260,7
8.0,-0.165922,14.2255,8
9.0,-0.165760,14.1252,9
10.0,-0.166173,14.0250,10
11.0,-0.165573,13.9247,11
12.0,-0.164618,13.8244,12
13.0,-0.165281,13.7242,13
14.0,-0.165069,13.6238,14
15.0,-0.164965,13.5234,15
16.0,-0.165358,13.4228,16
17.0,-0.165835,13.3225,17
18.0,-0.165924,13.2221,18
19.0,-0.165825,13.1219,19
20.0,-0.165430,13.0215,20
21.0,-0.165298,12.9214,21
22.0,-0.165336,12.8210,22
23.0,-0.165181,12.7209,23
24.0,-0.165734,12.6204,24
25.0,-0.165683,12.5200,25
26.0,-0.165473,12.4195,26
27.0,-0.165303,12.3191,27
28.0,-0.165940,12.2187,28
29.0,-0.164562,12.1184,29
30.0,-0.163593,12.0181,30
31.0,-0.070621,11.9178,31
32.0,0.233947,11.8179,32
33.0,0.633584,11.7178,33
34.0,0.991482,11.6177,34
35.0,1.253101,11.5173,35
36.0,1.556031,11.4171,36
37.0,2.065954,11.3169,37
38.0,2.719161,11.2170,38
39.0,3.327874,11.1170,39
40.0,3.934167,11.0171,40
