Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.170261,14.9580,4640
2.0,-0.170400,14.8578,4641
3.0,-0.170258,14.7576,4642
4.0,-0.169984,14.6571,4643
5.0,-0.170184,14.5568,4644
6.0,-0.169474,14.4563,4645
7.0,-0.170435,14.3560,4646
8.0,-0.170320,14.2555,4647
9.0,-0.170604,14.1552,4648
10.0,-0.170505,14.0548,4649
11.0,-0.170136,13.9547,4650
12.0,-0.169978,13.8544,4651
13.0,-0.170507,13.7541,4652
14.0,-0.170212,13.6537,4653
15.0,-0.170519,13.5534,4654
16.0,-0.169937,13.4529,4655
17.0,-0.171231,13.3524,4656
18.0,-0.170726,13.2521,4657
19.0,-0.170293,13.1516,4658
20.0,-0.170924,13.0515,4659
21.0,-0.170222,12.9511,4660
22.0,-0.170297,12.8510,4661
23.0,-0.170817,12.7506,4662
24.0,-0.171091,12.6503,4663
25.0,-0.170995,12.5498,4664
26.0,-0.171583,12.4494,4665
27.0,-0.171535,12.3490,4666
28.0,-0.171854,12.2486,4667
29.0,-0.172173,12.1482,4668
30.0,-0.172928,12.0481,4669
31.0,-0.150485,11.9477,4670
32.0,0.079672,11.8477,4671
33.0,0.425094,11.7475,4672
34.0,0.765936,11.6475,4673
35.0,1.020645,11.5471,4674
36.0,1.296059,11.4468,4675
37.0,1.786775,11.3467,4676
38.0,2.375141,11.2466,4677
39.0,2.957391,11.1467,4678
40.0,3.582273,11.0467,4679
