Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.137283,10.9968,247.6
2.0,4.106079,10.9968,248.1
3.0,4.084772,10.9968,248.6
4.0,4.072985,10.9968,249.1
5.0,4.063846,10.9968,249.6
6.0,4.055915,10.9968,250.1
7.0,4.049051,10.9968,250.6
8.0,4.043761,10.9968,251.1
9.0,4.039337,10.9968,251.6
10.0,4.033868,10.9968,252.1
11.0,4.031645,10.9968,252.6
12.0,4.027820,10.9968,253.1
13.0,4.025035,10.9968,253.6
14.0,4.024150,10.9968,254.1
15.0,4.022293,10.9968,254.6
16.0,4.020454,10.9968,255.1
17.0,4.019077,10.9968,255.6
18.0,4.016822,10.9967,256.1
19.0,4.015791,10.9967,256.6
20.0,4.014811,10.9967,257.1
21.0,4.013393,10.9967,257.6
22.0,4.012154,10.9967,258.1
23.0,4.011798,10.9967,258.6
24.0,4.009386,10.9967,259.1
25.0,4.009045,10.9967,259.6
26.0,4.008061,10.9967,260.1
27.0,4.007261,10.9967,260.6
28.0,4.005925,10.9967,261.1
29.0,4.005511,10.9967,261.6
30.0,4.005118,10.9967,262.1
31.0,4.003645,10.9967,262.6
32.0,4.004107,10.9967,263.1
33.0,4.002557,10.9967,263.6
34.0,4.002140,10.9967,264.1
35.0,4.002012,10.9967,264.6
36.0,4.000614,10.9967,265.1
37.0,4.000229,10.9967,265.6
38.0,4.000244,10.9967,266.1
39.0,3.999454,10.9967,266.6
40.0,3.998614,10.9967,267.1
