Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.473799,10.9951,1202
2.0,4.445522,10.9951,1202
3.0,4.431170,10.9951,1203
4.0,4.422257,10.9951,1203
5.0,4.415909,10.9951,1204
6.0,4.410253,10.9951,1204
7.0,4.403851,10.9951,1205
8.0,4.398759,10.9951,1205
9.0,4.395048,10.9951,1206
10.0,4.391708,10.9951,1206
11.0,4.387692,10.9951,1207
12.0,4.385039,10.9951,1207
13.0,4.381186,10.9951,1208
14.0,4.379580,10.9951,1208
15.0,4.378363,10.9951,1209
16.0,4.376027,10.9951,1209
17.0,4.374023,10.9951,1210
18.0,4.373996,10.9951,1210
19.0,4.372082,10.9951,1211
20.0,4.370689,10.9951,1211
21.0,4.369207,10.9951,1212
22.0,4.368423,10.9951,1212
23.0,4.367098,10.9951,1213
24.0,4.366501,10.9951,1213
25.0,4.365131,10.9951,1214
26.0,4.363849,10.9951,1214
27.0,4.362166,10.9951,1215
28.0,4.361842,10.9951,1215
29.0,4.360536,10.9951,1216
30.0,4.359363,10.9951,1216
31.0,4.359223,10.9951,1217
32.0,4.357795,10.9951,1217
33.0,4.357951,10.9951,1218
34.0,4.357009,10.9951,1218
35.0,4.356508,10.9951,1219
36.0,4.355492,10.9951,1219
37.0,4.355170,10.9951,1220
38.0,4.353084,10.9951,1220
39.0,4.352597,10.9951,1221
40.0,4.351954,10.9951,1221
