Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.004618,14.9665,0.5
2.0,0.004276,14.9163,1
3.0,0.004707,14.8662,1.5
4.0,0.004103,14.8161,2
5.0,0.004953,14.7661,2.5
6.0,0.004423,14.7158,3
7.0,0.004844,14.6656,3.5
8.0,0.004581,14.6155,4
9.0,0.004897,14.5653,4.5
10.0,0.004504,14.5150,5
11.0,0.004991,14.4647,5.5
12.0,0.005527,14.4146,6
13.0,0.005384,14.3644,6.5
14.0,0.004765,14.3141,7
15.0,0.004612,14.2638,7.5
16.0,0.004377,14.2139,8
17.0,0.004787,14.1636,8.5
18.0,0.004106,14.1134,9
19.0,0.004526,14.0633,9.5
20.0,0.004640,14.0132,10
21.0,0.004720,13.9632,10.5
22.0,0.004158,13.9129,11
23.0,0.004254,13.8628,11.5
24.0,0.004426,13.8126,12
25.0,0.004218,13.7626,12.5
26.0,0.004404,13.7125,13
27.0,0.004828,13.6621,13.5
28.0,0.005050,13.6119,14
29.0,0.004701,13.5619,14.5
30.0,0.005035,13.5116,15
31.0,0.005355,13.4612,15.5
32.0,0.004829,13.4110,16
33.0,0.004598,13.3610,16.5
34.0,0.004322,13.3107,17
35.0,0.003997,13.2604,17.5
36.0,0.004420,13.2102,18
37.0,0.004342,13.1602,18.5
38.0,0.004433,13.1100,19
39.0,0.004185,13.0599,19.5
40.0,0.004359,13.0096,20
41.0,0.004971,12.9596,20.5
42.0,0.004360,12.9095,21
43.0,0.004435,12.8593,21.5
44.0,0.003785,12.8093,22
45.0,0.004540,12.7589,22.5
46.0,0.003683,12.7090,23
47.0,0.004445,12.6588,23.5
48.0,0.004172,12.6085,24
49.0,0.004060,12.5582,24.5
50.0,0.004040,12.5082,25
51.0,0.004177,12.4579,25.5
52.0,0.004372,12.4076,26
53.0,0.004695,12.3574,26.5
54.0,0.004090,12.3073,27
55.0,0.004499,12.2570,27.5
56.0,0.003207,12.2069,28
57.0,0.003643,12.1567,28.5
58.0,0.003976,12.1066,29
59.0,0.004182,12.0564,29.5
60.0,0.006424,12.0063,30
61.0,0.030203,11.9561,30.5
62.0,0.130159,11.9061,31
63.0,0.280921,11.8561,31.5
64.0,0.449017,11.8061,32
65.0,0.662682,11.7560,32.5
66.0,0.857641,11.7059,33
67.0,1.044330,11.6560,33.5
68.0,1.210353,11.6058,34
69.0,1.349475,11.5557,34.5
70.0,1.490611,11.5055,35
71.0,1.662288,11.4555,35.5
72.0,1.875015,11.4053,36
73.0,2.151458,11.3552,36.5
74.0,2.433828,11.3052,37
75.0,2.771375,11.2554,37.5
76.0,3.130455,11.2052,38
77.0,3.513347,11.1553,38.5
78.0,3.909364,11.1054,39
