Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.001267,15.0152,2721
2.0,-0.001788,14.9653,2722
3.0,-0.001424,14.9151,2722
4.0,-0.001782,14.8650,2723
5.0,-0.001935,14.8148,2723
6.0,-0.001923,14.7647,2724
7.0,-0.001964,14.7146,2724
8.0,-0.001563,14.6645,2725
9.0,-0.001491,14.6141,2725
10.0,-0.001710,14.5638,2726
11.0,-0.001846,14.5138,2726
12.0,-0.001962,14.4636,2727
13.0,-0.001978,14.4131,2727
14.0,-0.001618,14.3631,2728
15.0,-0.002233,14.3129,2728
16.0,-0.001880,14.2627,2729
17.0,-0.001991,14.2124,2729
18.0,-0.001284,14.1622,2730
19.0,-0.001535,14.1122,2730
20.0,-0.001354,14.0621,2731
21.0,-0.002155,14.0119,2731
22.0,-0.002358,13.9616,2732
23.0,-0.002163,13.9117,2732
24.0,-0.002048,13.8616,2733
25.0,-0.001744,13.8114,2733
26.0,-0.002187,13.7612,2734
27.0,-0.002016,13.7110,2734
28.0,-0.002077,13.6610,2735
29.0,-0.001680,13.6108,2735
30.0,-0.002303,13.5604,2736
31.0,-0.002494,13.5102,2736
32.0,-0.002115,13.4601,2737
33.0,-0.002037,13.4098,2737
34.0,-0.001801,13.3596,2738
35.0,-0.001879,13.3093,2738
36.0,-0.002110,13.2593,2739
37.0,-0.001577,13.2090,2739
38.0,-0.002002,13.1589,2740
39.0,-0.002294,13.1087,2740
40.0,-0.002513,13.0585,2741
41.0,-0.002678,13.0085,2741
42.0,-0.002389,12.9583,2742
43.0,-0.002593,12.9081,2742
44.0,-0.002202,12.8581,2743
45.0,-0.003053,12.8080,2743
46.0,-0.002540,12.7578,2744
47.0,-0.002505,12.7077,2744
48.0,-0.002944,12.6574,2745
49.0,-0.002821,12.6074,2745
50.0,-0.003417,12.5570,2746
51.0,-0.003461,12.5068,2746
52.0,-0.003608,12.4565,2747
53.0,-0.003441,12.4065,2747
54.0,-0.003470,12.3561,2748
55.0,-0.003798,12.3059,2748
56.0,-0.004152,12.2557,2749
57.0,-0.004847,12.2057,2749
58.0,-0.004773,12.1554,2750
59.0,-0.006113,12.1053,2750
60.0,-0.007181,12.0550,2751
61.0,-0.006345,12.0051,2751
62.0,0.013926,11.9550,2752
63.0,0.105463,11.9049,2752
64.0,0.251427,11.8548,2753
65.0,0.413799,11.8048,2753
66.0,0.617082,11.7548,2754
67.0,0.808604,11.7048,2754
68.0,0.986208,11.6545,2755
69.0,1.144072,11.6045,2755
70.0,1.267933,11.5545,2756
71.0,1.387607,11.5043,2756
72.0,1.535170,11.4540,2757
73.0,1.732793,11.4039,2757
74.0,2.003312,11.3540,2758
75.0,2.290728,11.3039,2758
76.0,2.626590,11.2539,2759
77.0,2.987543,11.2039,2759
78.0,3.370138,11.1541,2760
79.0,3.771616,11.1041,2760
