Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.000716,14.9665,0.5
2.0,0.001297,14.9163,1
3.0,0.000283,14.8662,1.5
4.0,0.000261,14.8161,2
5.0,-0.000561,14.7660,2.5
6.0,0.000210,14.7158,3
7.0,-0.000144,14.6655,3.5
8.0,0.000251,14.6155,4
9.0,0.000510,14.5652,4.5
10.0,0.001020,14.5149,5
11.0,0.001011,14.4647,5.5
12.0,0.000613,14.4146,6
13.0,0.000241,14.3644,6.5
14.0,0.000111,14.3140,7
15.0,0.000136,14.2638,7.5
16.0,-0.000715,14.2139,8
17.0,0.000397,14.1636,8.5
18.0,0.000126,14.1134,9
19.0,0.000158,14.0633,9.5
20.0,-0.000263,14.0132,10
21.0,0.000622,13.9631,10.5
22.0,0.000581,13.9128,11
23.0,0.001220,13.8628,11.5
24.0,0.001478,13.8126,12
25.0,0.000113,13.7626,12.5
26.0,0.000705,13.7125,13
27.0,0.001153,13.6621,13.5
28.0,0.000296,13.6119,14
29.0,0.001153,13.5619,14.5
30.0,0.000449,13.5116,15
31.0,0.000973,13.4612,15.5
32.0,0.000269,13.4110,16
33.0,0.000494,13.3610,16.5
34.0,0.000415,13.3107,17
35.0,0.000182,13.2604,17.5
36.0,0.000564,13.2102,18
37.0,0.001576,13.1602,18.5
38.0,0.001435,13.1101,19
39.0,0.000955,13.0599,19.5
40.0,0.000765,13.0096,20
41.0,0.000608,12.9595,20.5
42.0,0.000035,12.9095,21
43.0,0.000779,12.8594,21.5
44.0,-0.000076,12.8093,22
45.0,0.000525,12.7590,22.5
46.0,0.000077,12.7089,23
47.0,0.000060,12.6588,23.5
48.0,0.000210,12.6085,24
49.0,0.001235,12.5582,24.5
50.0,0.001728,12.5082,25
51.0,0.000578,12.4579,25.5
52.0,0.000686,12.4076,26
53.0,0.001608,12.3574,26.5
54.0,0.001142,12.3073,27
55.0,0.001881,12.2570,27.5
56.0,0.001229,12.2068,28
57.0,0.001348,12.1567,28.5
58.0,0.001936,12.1066,29
59.0,0.001647,12.0564,29.5
60.0,0.003151,12.0063,30
61.0,0.016556,11.9561,30.5
62.0,0.090445,11.9061,31
63.0,0.223760,11.8560,31.5
64.0,0.364738,11.8061,32
65.0,0.517179,11.7559,32.5
66.0,0.678195,11.7058,33
67.0,0.816830,11.6559,33.5
68.0,0.939293,11.6057,34
69.0,1.057889,11.5555,34.5
70.0,1.200800,11.5053,35
71.0,1.386282,11.4553,35.5
72.0,1.637750,11.4051,36
73.0,1.931983,11.3551,36.5
74.0,2.234823,11.3051,37
75.0,2.559918,11.2552,37.5
76.0,2.915107,11.2051,38
77.0,3.286165,11.1552,38.5
78.0,3.671563,11.1052,39
