Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.129342,11.0393,2287
2.0,4.106584,11.0393,2287
3.0,4.091762,11.0393,2288
4.0,4.083354,11.0393,2288
5.0,4.077774,11.0393,2289
6.0,4.073588,11.0393,2289
7.0,4.069701,11.0393,2290
8.0,4.066792,11.0393,2290
9.0,4.062399,11.0393,2291
10.0,4.059623,11.0393,2291
11.0,4.057220,11.0393,2292
12.0,4.053893,11.0393,2292
13.0,4.051676,11.0393,2293
14.0,4.049353,11.0393,2293
15.0,4.047255,11.0393,2294
16.0,4.045054,11.0393,2294
17.0,4.043076,11.0393,2295
18.0,4.041519,11.0393,2295
19.0,4.040478,11.0393,2296
20.0,4.038918,11.0393,2296
21.0,4.037140,11.0393,2297
22.0,4.035285,11.0393,2297
23.0,4.033966,11.0393,2298
24.0,4.033315,11.0393,2298
25.0,4.031892,11.0393,2299
26.0,4.031632,11.0393,2299
27.0,4.030216,11.0393,2300
28.0,4.028722,11.0393,2300
29.0,4.028177,11.0393,2301
30.0,4.026328,11.0393,2301
31.0,4.026371,11.0393,2302
32.0,4.025871,11.0393,2302
33.0,4.025530,11.0393,2303
34.0,4.024789,11.0393,2303
35.0,4.024412,11.0393,2304
36.0,4.023495,11.0393,2304
37.0,4.022874,11.0393,2305
38.0,4.022460,11.0393,2305
39.0,4.021289,11.0393,2306
40.0,4.021437,11.0393,2306
