Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.143712,11.8506,331.1
2.0,4.143797,11.8506,331.1
3.0,4.143143,11.8506,331.1
4.0,4.141113,11.8506,331.1
5.0,4.132561,11.8506,331.1
6.0,4.135825,11.8506,331.1
7.0,4.137658,11.8512,331.1
8.0,4.130919,11.8512,331.1
9.0,4.102362,11.8512,331.1
10.0,4.121268,11.8537,331.1
11.0,4.074497,11.8562,331.1
12.0,4.048216,11.8561,331.1
13.0,4.045382,11.8605,331.1
14.0,4.011214,11.8605,331.1
15.0,3.971616,11.8655,331.1
16.0,3.916269,11.8654,331.2
17.0,3.902586,11.8704,331.2
18.0,3.870475,11.8704,331.2
19.0,3.844780,11.8754,331.2
20.0,3.819668,11.8754,331.2
21.0,3.787117,11.8804,331.2
22.0,3.774403,11.8804,331.2
23.0,3.744700,11.8803,331.2
24.0,3.724761,11.8853,331.2
25.0,3.698415,11.8853,331.2
26.0,3.690943,11.8903,331.2
27.0,3.649165,11.8903,331.2
28.0,3.641763,11.8953,331.2
29.0,3.595684,11.8952,331.2
30.0,3.660931,11.9003,331.2
31.0,3.559060,11.9052,331.2
32.0,3.595436,11.9052,331.2
33.0,3.516086,11.9102,331.2
34.0,3.561141,11.9102,331.2
35.0,3.464522,11.9152,331.2
36.0,3.508263,11.9152,331.2
37.0,3.414908,11.9201,331.3
38.0,3.475899,11.9202,331.3
39.0,3.376334,11.9251,331.3
40.0,3.419463,11.9251,331.3
41.0,3.342366,11.9251,331.3
42.0,3.382296,11.9301,331.3
43.0,3.292069,11.9301,331.3
44.0,3.340837,11.9351,331.3
45.0,3.249044,11.9350,331.3
46.0,3.308820,11.9401,331.3
47.0,3.210792,11.9400,331.3
48.0,3.263072,11.9451,331.3
49.0,3.177555,11.9500,331.3
50.0,3.228983,11.9500,331.3
51.0,3.133514,11.9550,331.3
52.0,3.185958,11.9550,331.3
53.0,3.085041,11.9599,331.3
54.0,3.159467,11.9600,331.3
55.0,3.052598,11.9649,331.3
56.0,3.110573,11.9650,331.3
57.0,3.023919,11.9699,331.4
58.0,3.079532,11.9699,331.4
59.0,2.980585,11.9699,331.4
60.0,3.034870,11.9749,331.4
61.0,2.937251,11.9749,331.4
62.0,3.012396,11.9799,331.4
63.0,2.902488,11.9798,331.4
64.0,2.965424,11.9849,331.4
65.0,2.877143,11.9848,331.4
66.0,2.939299,11.9899,331.4
67.0,2.839607,11.9898,331.4
68.0,2.894505,11.9948,331.4
69.0,2.802890,11.9948,331.4
70.0,2.875633,11.9998,331.4
71.0,2.770297,11.9998,331.4
72.0,2.839504,12.0048,331.4
73.0,2.741020,12.0047,331.4
74.0,2.813828,12.0098,331.4
75.0,2.700117,12.0097,331.4
76.0,2.769595,12.0148,331.4
77.0,2.668342,12.0147,331.5
78.0,2.756727,12.0198,331.5
79.0,2.634295,12.0197,331.5
80.0,2.707791,12.0247,331.5
81.0,2.617073,12.0247,331.5
82.0,2.686710,12.0297,331.5
83.0,2.575015,12.0296,331.5
84.0,2.645883,12.0347,331.5
85.0,2.541459,12.0346,331.5
86.0,2.628104,12.0397,331.5
87.0,2.512289,12.0396,331.5
88.0,2.587931,12.0447,331.5
89.0,2.488590,12.0446,331.5
90.0,2.563231,12.0496,331.5
91.0,2.456535,12.0496,331.5
92.0,2.527964,12.0546,331.5
93.0,2.419144,12.0546,331.5
94.0,2.510648,12.0596,331.5
95.0,2.393065,12.0595,331.5
96.0,2.470428,12.0646,331.5
97.0,2.371522,12.0645,331.6
98.0,2.446252,12.0696,331.6
99.0,2.337096,12.0695,331.6
100.0,2.404386,12.0745,331.6
101.0,2.301525,12.0745,331.6
102.0,2.401945,12.0795,331.6
103.0,2.271382,12.0795,331.6
104.0,2.361660,12.0845,331.6
105.0,2.253538,12.0845,331.6
106.0,2.334005,12.0895,331.6
107.0,2.216666,12.0894,331.6
108.0,2.299991,12.0945,331.6
109.0,2.188974,12.0944,331.6
110.0,2.283737,12.0995,331.6
111.0,2.159954,12.0994,331.6
112.0,2.243760,12.1038,331.6
113.0,2.139971,12.1038,331.6
114.0,2.219561,12.1094,331.6
115.0,2.106968,12.1094,331.6
116.0,2.187823,12.1144,331.6
117.0,2.077003,12.1144,331.7
118.0,2.178452,12.1194,331.7
119.0,2.059897,12.1193,331.7
120.0,2.136834,12.1244,331.7
121.0,2.039509,12.1243,331.7
122.0,2.107543,12.1294,331.7
123.0,2.012589,12.1293,331.7
124.0,2.080982,12.1344,331.7
125.0,1.987132,12.1343,331.7
126.0,2.069231,12.1393,331.7
127.0,1.960365,12.1393,331.7
128.0,2.038130,12.1437,331.7
129.0,1.942451,12.1436,331.7
130.0,2.017966,12.1493,331.7
131.0,1.915277,12.1493,331.7
132.0,1.996853,12.1537,331.7
133.0,1.880477,12.1536,331.7
134.0,1.983002,12.1593,331.7
135.0,1.850059,12.1592,331.7
136.0,1.948263,12.1643,331.7
137.0,1.831896,12.1642,331.8
138.0,1.920178,12.1693,331.8
139.0,1.797798,12.1692,331.8
140.0,1.888833,12.1742,331.8
141.0,1.762231,12.1742,331.8
142.0,1.870671,12.1792,331.8
143.0,1.736334,12.1791,331.8
144.0,1.827024,12.1836,331.8
145.0,1.715156,12.1835,331.8
146.0,1.805275,12.1892,331.8
147.0,1.684241,12.1891,331.8
148.0,1.773290,12.1935,331.8
149.0,1.649255,12.1935,331.8
150.0,1.756180,12.1992,331.8
151.0,1.618191,12.1991,331.8
152.0,1.724578,12.2035,331.8
153.0,1.598148,12.2034,331.8
154.0,1.692153,12.2091,331.8
155.0,1.564985,12.2090,331.8
156.0,1.660197,12.2135,331.8
157.0,1.536554,12.2134,331.9
158.0,1.641113,12.2191,331.9
159.0,1.502245,12.2190,331.9
160.0,1.607356,12.2234,331.9
161.0,1.487262,12.2234,331.9
162.0,1.576367,12.2284,331.9
163.0,1.450493,12.2284,331.9
164.0,1.541665,12.2334,331.9
165.0,1.415661,12.2333,331.9
166.0,1.524559,12.2390,331.9
167.0,1.385326,12.2389,331.9
168.0,1.488245,12.2434,331.9
169.0,1.366491,12.2433,331.9
170.0,1.458476,12.2484,331.9
171.0,1.333659,12.2483,331.9
172.0,1.422624,12.2533,331.9
173.0,1.293986,12.2533,331.9
174.0,1.410877,12.2590,331.9
175.0,1.262843,12.2589,331.9
176.0,1.367272,12.2633,331.9
177.0,1.246103,12.2632,332
178.0,1.335955,12.2683,332
179.0,1.204349,12.2682,332
180.0,1.301319,12.2733,332
181.0,1.170386,12.2732,332
182.0,1.282843,12.2789,332
183.0,1.137498,12.2788,332
184.0,1.249259,12.2832,332
185.0,1.123582,12.2832,332
186.0,1.214674,12.2882,332
187.0,1.088969,12.2881,332
188.0,1.180159,12.2932,332
189.0,1.049128,12.2931,332
190.0,1.159565,12.2988,332
191.0,1.019818,12.2987,332
192.0,1.123166,12.3032,332
193.0,1.001328,12.3031,332
194.0,1.089787,12.3081,332
195.0,0.964377,12.3081,332
196.0,1.060949,12.3131,332
197.0,0.929535,12.3130,332.1
198.0,1.039995,12.3187,332.1
199.0,0.897152,12.3187,332.1
200.0,1.004929,12.3231,332.1
201.0,0.879191,12.3230,332.1
202.0,0.970498,12.3281,332.1
203.0,0.848735,12.3280,332.1
204.0,0.940131,12.3331,332.1
205.0,0.805883,12.3330,332.1
206.0,0.919163,12.3387,332.1
207.0,0.778513,12.3386,332.1
208.0,0.886715,12.3430,332.1
209.0,0.756942,12.3429,332.1
210.0,0.853659,12.3480,332.1
211.0,0.724400,12.3479,332.1
212.0,0.813514,12.3530,332.1
213.0,0.683334,12.3529,332.1
214.0,0.794463,12.3586,332.1
215.0,0.656016,12.3585,332.1
216.0,0.764648,12.3630,332.1
217.0,0.638569,12.3629,332.2
218.0,0.731994,12.3679,332.2
219.0,0.601978,12.3679,332.2
220.0,0.693430,12.3729,332.2
221.0,0.566954,12.3728,332.2
222.0,0.672584,12.3785,332.2
223.0,0.532266,12.3784,332.2
224.0,0.641122,12.3829,332.2
225.0,0.517756,12.3828,332.2
226.0,0.611672,12.3879,332.2
227.0,0.478752,12.3878,332.2
228.0,0.571036,12.3928,332.2
229.0,0.443348,12.3928,332.2
230.0,0.552050,12.3985,332.2
231.0,0.407893,12.3984,332.2
232.0,0.521978,12.4028,332.2
233.0,0.392944,12.4027,332.2
234.0,0.486500,12.4078,332.2
235.0,0.350250,12.4077,332.2
236.0,0.452986,12.4128,332.2
237.0,0.310956,12.4127,332.3
238.0,0.429979,12.4184,332.3
239.0,0.278518,12.4183,332.3
240.0,0.402862,12.4227,332.3
241.0,0.258111,12.4227,332.3
242.0,0.366631,12.4277,332.3
243.0,0.231293,12.4276,332.3
244.0,0.328076,12.4327,332.3
245.0,0.204138,12.4326,332.3
246.0,0.306074,12.4383,332.3
247.0,0.168342,12.4382,332.3
248.0,0.270372,12.4427,332.3
249.0,0.159939,12.4426,332.3
250.0,0.238162,12.4476,332.3
251.0,0.133860,12.4476,332.3
252.0,0.207169,12.4526,332.3
253.0,0.100949,12.4526,332.3
254.0,0.190924,12.4582,332.3
255.0,0.072892,12.4582,332.3
256.0,0.167814,12.4626,332.3
257.0,0.053818,12.4625,332.4
258.0,0.143732,12.4676,332.4
259.0,0.028726,12.4675,332.4
260.0,0.108408,12.4726,332.4
261.0,-0.002474,12.4725,332.4
262.0,0.092598,12.4782,332.4
263.0,-0.028366,12.4781,332.4
264.0,0.067753,12.4825,332.4
265.0,-0.043951,12.4825,332.4
266.0,0.035090,12.4875,332.4
267.0,-0.078373,12.4875,332.4
268.0,0.010966,12.4925,332.4
269.0,-0.107978,12.4924,332.4
270.0,-0.009881,12.4981,332.4
271.0,-0.130157,12.4980,332.4
272.0,-0.033393,12.5025,332.4
273.0,-0.149025,12.5024,332.4
274.0,-0.064709,12.5075,332.4
275.0,-0.179144,12.5074,332.4
276.0,-0.091485,12.5124,332.4
277.0,-0.198854,12.5124,332.5
278.0,-0.107870,12.5181,332.5
279.0,-0.236582,12.5180,332.5
280.0,-0.135441,12.5224,332.5
281.0,-0.261052,12.5223,332.5
282.0,-0.165714,12.5274,332.5
283.0,-0.262245,12.5273,332.5
284.0,-0.191756,12.5324,332.5
285.0,-0.284756,12.5323,332.5
286.0,-0.209577,12.5380,332.5
287.0,-0.322577,12.5379,332.5
288.0,-0.233463,12.5424,332.5
289.0,-0.327061,12.5423,332.5
290.0,-0.256792,12.5473,332.5
291.0,-0.359490,12.5473,332.5
292.0,-0.278111,12.5523,332.5
293.0,-0.376278,12.5523,332.5
294.0,-0.289839,12.5580,332.5
295.0,-0.400664,12.5579,332.5
296.0,-0.306542,12.5623,332.5
297.0,-0.424658,12.5622,332.6
298.0,-0.352252,12.5673,332.6
299.0,-0.458597,12.5672,332.6
300.0,-0.362128,12.5723,332.6
301.0,-0.480528,12.5722,332.6
302.0,-0.400295,12.5779,332.6
303.0,-0.505546,12.5778,332.6
304.0,-0.399701,12.5823,332.6
305.0,-0.525336,12.5822,332.6
306.0,-0.451588,12.5872,332.6
307.0,-0.555488,12.5872,332.6
308.0,-0.469067,12.5922,332.6
309.0,-0.576600,12.5922,332.6
310.0,-0.496713,12.5978,332.6
311.0,-0.603980,12.5978,332.6
312.0,-0.513009,12.6022,332.6
313.0,-0.620056,12.6021,332.6
314.0,-0.544204,12.6072,332.6
315.0,-0.643451,12.6071,332.6
316.0,-0.568085,12.6122,332.6
317.0,-0.670914,12.6121,332.7
318.0,-0.580739,12.6178,332.7
319.0,-0.693159,12.6177,332.7
320.0,-0.607304,12.6221,332.7
321.0,-0.710414,12.6221,332.7
322.0,-0.629451,12.6271,332.7
323.0,-0.732584,12.6271,332.7
324.0,-0.655843,12.6321,332.7
325.0,-0.759729,12.6321,332.7
326.0,-0.675015,12.6377,332.7
327.0,-0.782951,12.6377,332.7
328.0,-0.697115,12.6421,332.7
329.0,-0.798831,12.6420,332.7
330.0,-0.724260,12.6471,332.7
331.0,-0.822039,12.6470,332.7
332.0,-0.746378,12.6521,332.7
333.0,-0.847781,12.6520,332.7
334.0,-0.765139,12.6577,332.7
335.0,-0.870334,12.6576,332.7
336.0,-0.784985,12.6620,332.7
337.0,-0.887678,12.6620,332.8
338.0,-0.815226,12.6670,332.8
339.0,-0.909516,12.6670,332.8
340.0,-0.837419,12.6720,332.8
341.0,-0.936081,12.6719,332.8
342.0,-0.854459,12.6776,332.8
