Point No.,Normal Force [N],Gap [mm],Time [s]
1,4.784606,13.3772,538.3
2,4.782956,13.3772,538.3
3,4.783259,13.3772,538.3
4,4.783718,13.3772,538.3
5,4.783970,13.3772,538.3
6,4.781978,13.3772,538.3
7,4.778579,13.3772,538.3
8,4.782759,13.3772,538.3
9,4.781324,13.3772,538.3
10,4.783648,13.3772,538.3
11,4.781860,13.3772,538.3
12,4.782898,13.3772,538.4
13,4.781843,13.3772,538.4
14,4.781501,13.3772,538.4
15,4.784677,13.3772,538.4
16,4.781402,13.3772,538.4
17,4.786580,13.3772,538.4
18,4.783380,13.3778,538.4
19,4.766276,13.3778,538.4
20,4.773000,13.3778,538.4
21,4.769124,13.3778,538.4
22,4.778640,13.3778,538.4
23,4.774501,13.3778,538.4
24,4.772574,13.3778,538.4
25,4.777106,13.3778,538.4
26,4.769011,13.3778,538.4
27,4.768230,13.3778,538.4
28,4.776138,13.3778,538.4
29,4.770783,13.3778,538.4
30,4.771986,13.3778,538.4
31,4.774575,13.3778,538.4
32,4.756390,13.3778,538.5
33,4.770115,13.3784,538.5
34,4.760585,13.3784,538.5
35,4.768319,13.3784,538.5
36,4.767814,13.3784,538.5
37,4.763372,13.3784,538.5
38,4.770695,13.3784,538.5
39,4.764218,13.3784,538.5
40,4.762021,13.3784,538.5
41,4.768057,13.3784,538.5
42,4.763386,13.3784,538.5
43,4.769174,13.3784,538.5
44,4.765453,13.3784,538.5
45,4.765645,13.3791,538.5
46,4.764878,13.3791,538.5
47,4.751214,13.3791,538.5
48,4.767188,13.3791,538.5
49,4.758401,13.3791,538.5
50,4.759238,13.3791,538.5
51,4.771625,13.3791,538.5
52,4.757442,13.3791,538.6
53,4.762324,13.3791,538.6
54,4.761946,13.3791,538.6
55,4.764756,13.3791,538.6
56,4.762750,13.3791,538.6
57,4.755170,13.3791,538.6
58,4.748001,13.3791,538.6
59,4.754679,13.3791,538.6
60,4.745373,13.3790,538.6
61,4.760963,13.3791,538.6
62,4.754412,13.3791,538.6
63,4.754609,13.3791,538.6
64,4.759042,13.3791,538.6
65,4.753973,13.3791,538.6
66,4.761712,13.3791,538.6
67,4.754117,13.3791,538.6
68,4.751218,13.3791,538.6
69,4.759257,13.3791,538.6
70,4.746542,13.3791,538.6
71,4.759804,13.3797,538.6
72,4.748745,13.3797,538.7
73,4.743152,13.3797,538.7
74,4.758237,13.3797,538.7
75,4.749110,13.3797,538.7
76,4.750746,13.3797,538.7
77,4.748338,13.3797,538.7
78,4.749114,13.3797,538.7
79,4.752336,13.3797,538.7
80,4.749077,13.3797,538.7
81,4.751200,13.3797,538.7
82,4.751962,13.3797,538.7
83,4.737260,13.3797,538.7
84,4.759219,13.3797,538.7
85,4.744153,13.3803,538.7
86,4.731256,13.3803,538.7
87,4.746734,13.3803,538.7
88,4.742021,13.3803,538.7
89,4.743844,13.3803,538.7
90,4.747590,13.3803,538.7
91,4.742011,13.3803,538.7
92,4.748127,13.3803,538.8
93,4.738784,13.3803,538.8
94,4.746023,13.3803,538.8
95,4.744743,13.3803,538.8
96,4.730372,13.3803,538.8
97,4.758410,13.3816,538.8
98,4.725454,13.3815,538.8
99,4.722507,13.3809,538.8
100,4.738242,13.3809,538.8
101,4.724251,13.3809,538.8
102,4.725864,13.3809,538.8
103,4.729502,13.3809,538.8
104,4.725444,13.3809,538.8
105,4.740660,13.3809,538.8
106,4.728829,13.3809,538.8
107,4.737017,13.3809,538.8
108,4.741235,13.3809,538.8
109,4.703849,13.3815,538.8
110,4.746954,13.3816,538.8
111,4.723490,13.3815,538.8
112,4.712448,13.3815,538.9
113,4.721908,13.3815,538.9
114,4.716058,13.3815,538.9
115,4.724167,13.3815,538.9
116,4.717190,13.3815,538.9
117,4.713464,13.3815,538.9
118,4.731578,13.3815,538.9
119,4.711391,13.3815,538.9
120,4.726188,13.3815,538.9
121,4.725841,13.3815,538.9
122,4.703943,13.3815,538.9
123,4.729460,13.3822,538.9
124,4.712864,13.3822,538.9
125,4.720842,13.3822,538.9
126,4.720636,13.3822,538.9
127,4.708039,13.3822,538.9
128,4.715176,13.3822,538.9
129,4.707754,13.3822,538.9
130,4.710083,13.3822,538.9
131,4.717199,13.3822,538.9
132,4.707889,13.3822,539
133,4.716984,13.3822,539
134,4.715015,13.3822,539
135,4.694515,13.3828,539
136,4.729110,13.3828,539
137,4.699434,13.3828,539
138,4.707758,13.3828,539
139,4.702048,13.3828,539
140,4.704059,13.3828,539
141,4.711276,13.3828,539
142,4.705393,13.3828,539
143,4.704416,13.3828,539
144,4.709101,13.3828,539
145,4.701174,13.3828,539
146,4.707188,13.3828,539
147,4.702723,13.3828,539
148,4.689274,13.3828,539
149,4.701498,13.3834,539
150,4.700823,13.3834,539
151,4.707791,13.3834,539
152,4.700296,13.3834,539.1
153,4.699603,13.3834,539.1
154,4.704401,13.3834,539.1
155,4.697896,13.3834,539.1
156,4.697480,13.3834,539.1
157,4.702034,13.3834,539.1
158,4.693703,13.3834,539.1
159,4.701852,13.3834,539.1
160,4.698962,13.3834,539.1
161,4.694221,13.3840,539.1
162,4.700525,13.3840,539.1
163,4.686378,13.3840,539.1
164,4.700706,13.3840,539.1
165,4.693309,13.3840,539.1
166,4.693795,13.3840,539.1
167,4.696685,13.3840,539.1
168,4.692492,13.3840,539.1
169,4.693922,13.3840,539.1
170,4.697617,13.3840,539.1
171,4.694184,13.3840,539.1
172,4.696382,13.3840,539.2
173,4.693047,13.3840,539.2
174,4.683690,13.3840,539.2
175,4.692846,13.3846,539.2
176,4.686538,13.3846,539.2
177,4.697079,13.3846,539.2
178,4.687721,13.3846,539.2
179,4.689189,13.3846,539.2
180,4.694404,13.3846,539.2
181,4.693753,13.3846,539.2
182,4.690330,13.3846,539.2
183,4.692060,13.3846,539.2
184,4.687263,13.3846,539.2
185,4.693212,13.3846,539.2
186,4.686538,13.3846,539.2
187,4.695091,13.3853,539.2
188,4.683530,13.3853,539.2
189,4.671540,13.3853,539.2
190,4.692996,13.3853,539.2
191,4.685779,13.3853,539.2
192,4.685790,13.3853,539.3
193,4.690784,13.3853,539.3
194,4.682342,13.3853,539.3
195,4.686462,13.3853,539.3
196,4.685999,13.3853,539.3
197,4.687964,13.3853,539.3
198,4.686355,13.3853,539.3
199,4.674720,13.3853,539.3
200,4.666457,13.3853,539.3
201,4.676821,13.3859,539.3
202,4.659785,13.3859,539.3
203,4.677854,13.3859,539.3
204,4.670442,13.3859,539.3
205,4.665079,13.3859,539.3
206,4.680888,13.3859,539.3
207,4.667113,13.3859,539.3
208,4.675170,13.3859,539.3
209,4.670806,13.3859,539.3
210,4.669146,13.3859,539.3
211,4.678400,13.3859,539.3
212,4.661104,13.3859,539.4
213,4.690466,13.3871,539.4
214,4.662151,13.3871,539.4
215,4.648179,13.3865,539.4
216,4.672784,13.3865,539.4
217,4.654291,13.3865,539.4
218,4.653271,13.3865,539.4
219,4.668572,13.3865,539.4
220,4.658939,13.3865,539.4
221,4.673070,13.3865,539.4
222,4.666429,13.3865,539.4
223,4.668993,13.3865,539.4
224,4.670938,13.3865,539.4
225,4.641212,13.3871,539.4
226,4.668025,13.3871,539.4
227,4.653795,13.3871,539.4
228,4.645233,13.3871,539.4
229,4.661014,13.3871,539.4
230,4.647520,13.3871,539.4
231,4.657494,13.3871,539.4
232,4.653457,13.3871,539.5
233,4.648282,13.3871,539.5
234,4.664919,13.3871,539.5
235,4.649264,13.3871,539.5
236,4.657793,13.3871,539.5
237,4.662399,13.3871,539.5
238,4.638373,13.3871,539.5
239,4.666739,13.3884,539.5
240,4.645032,13.3884,539.5
241,4.645808,13.3877,539.5
242,4.654356,13.3877,539.5
243,4.645004,13.3877,539.5
244,4.646949,13.3877,539.5
245,4.644265,13.3877,539.5
246,4.644134,13.3877,539.5
247,4.653510,13.3877,539.5
248,4.647188,13.3877,539.5
249,4.652893,13.3877,539.5
250,4.650311,13.3877,539.5
251,4.629226,13.3884,539.5
252,4.662175,13.3884,539.6
253,4.636806,13.3884,539.6
254,4.639425,13.3884,539.6
255,4.641019,13.3884,539.6
256,4.640538,13.3884,539.6
257,4.644943,13.3884,539.6
258,4.642661,13.3884,539.6
259,4.638724,13.3884,539.6
260,4.646982,13.3884,539.6
261,4.636479,13.3884,539.6
262,4.645359,13.3884,539.6
263,4.640169,13.3884,539.6
264,4.633865,13.3884,539.6
265,4.644564,13.3890,539.6
266,4.635801,13.3890,539.6
267,4.640752,13.3890,539.6
268,4.636376,13.3890,539.6
269,4.635642,13.3890,539.6
270,4.638457,13.3890,539.6
271,4.633276,13.3890,539.6
272,4.634898,13.3890,539.7
273,4.638573,13.3890,539.7
274,4.632977,13.3890,539.7
275,4.636699,13.3890,539.7
276,4.637288,13.3890,539.7
277,4.622909,13.3896,539.7
278,4.641385,13.3896,539.7
279,4.624662,13.3896,539.7
280,4.634824,13.3896,539.7
281,4.630424,13.3896,539.7
282,4.631495,13.3896,539.7
283,4.634697,13.3896,539.7
284,4.630199,13.3896,539.7
285,4.629520,13.3896,539.7
286,4.633519,13.3896,539.7
287,4.630400,13.3896,539.7
288,4.636629,13.3896,539.7
289,4.626538,13.3896,539.7
290,4.606898,13.3896,539.7
291,4.623152,13.3902,539.7
292,4.618649,13.3902,539.8
293,4.633870,13.3902,539.8
294,4.624831,13.3902,539.8
295,4.623250,13.3902,539.8
296,4.630662,13.3902,539.8
297,4.619304,13.3902,539.8
298,4.619042,13.3902,539.8
299,4.631326,13.3902,539.8
300,4.618321,13.3902,539.8
301,4.628048,13.3902,539.8
302,4.622801,13.3902,539.8
303,4.613477,13.3908,539.8
304,4.622385,13.3909,539.8
305,4.601632,13.3908,539.8
306,4.619668,13.3909,539.8
307,4.606276,13.3908,539.8
308,4.609764,13.3908,539.8
309,4.628295,13.3909,539.8
310,4.608852,13.3908,539.8
311,4.612060,13.3908,539.8
312,4.620169,13.3909,539.9
313,4.611878,13.3908,539.9
314,4.611840,13.3908,539.9
315,4.603597,13.3908,539.9
316,4.595068,13.3908,539.9
317,4.601805,13.3915,539.9
318,4.592748,13.3915,539.9
319,4.620772,13.3915,539.9
320,4.597157,13.3915,539.9
321,4.597729,13.3915,539.9
