Point No.,Normal Force [N],Gap [mm],Time [s]
1,4.831691,10.9941,295.1
2,4.836063,10.9941,295.1
3,4.834473,10.9941,295.1
4,4.832944,10.9941,295.1
5,4.836166,10.9941,295.1
6,4.832196,10.9941,295.1
7,4.827824,10.9941,295.1
8,4.833004,10.9941,295.1
9,4.830947,10.9941,295.1
10,4.832342,10.9941,295.1
11,4.829250,10.9941,295.1
12,4.835820,10.9941,295.1
13,4.836980,10.9941,295.1
14,4.836811,10.9941,295.1
15,4.831513,10.9941,295.1
16,4.832766,10.9941,295.1
17,4.826098,10.9941,295.1
18,4.830091,10.9941,295.1
19,4.831681,10.9941,295.2
20,4.825644,10.9941,295.2
21,4.827015,10.9941,295.2
22,4.824790,10.9941,295.2
23,4.829123,10.9941,295.2
24,4.824232,10.9941,295.2
25,4.834450,10.9941,295.2
26,4.831223,10.9941,295.2
27,4.827002,10.9941,295.2
28,4.829176,10.9941,295.2
29,4.832934,10.9941,295.2
30,4.820454,10.9941,295.2
31,4.831411,10.9947,295.2
32,4.829166,10.9947,295.2
33,4.822564,10.9947,295.2
34,4.825987,10.9947,295.2
35,4.814202,10.9947,295.2
36,4.822849,10.9947,295.2
37,4.817611,10.9947,295.2
38,4.819528,10.9947,295.2
39,4.825892,10.9947,295.3
40,4.823340,10.9947,295.3
41,4.822564,10.9947,295.3
42,4.830149,10.9947,295.3
43,4.805844,10.9947,295.3
44,4.829605,10.9947,295.3
45,4.818083,10.9947,295.3
46,4.815890,10.9947,295.3
47,4.816110,10.9947,295.3
48,4.811611,10.9947,295.3
49,4.815741,10.9947,295.3
50,4.813282,10.9947,295.3
51,4.808665,10.9947,295.3
52,4.817779,10.9947,295.3
53,4.812659,10.9947,295.3
54,4.822764,10.9947,295.3
55,4.817526,10.9947,295.3
56,4.806785,10.9947,295.3
57,4.819436,10.9953,295.3
58,4.815553,10.9953,295.3
59,4.813520,10.9953,295.4
60,4.811045,10.9953,295.4
61,4.806468,10.9953,295.4
62,4.808730,10.9953,295.4
63,4.805280,10.9953,295.4
64,4.809180,10.9953,295.4
65,4.810011,10.9953,295.4
66,4.805639,10.9953,295.4
67,4.806145,10.9953,295.4
68,4.811139,10.9953,295.4
69,4.789605,10.9966,295.4
70,4.827670,10.9966,295.4
71,4.798489,10.9960,295.4
72,4.792509,10.9960,295.4
73,4.801108,10.9960,295.4
74,4.794841,10.9960,295.4
75,4.799985,10.9960,295.4
76,4.797134,10.9960,295.4
77,4.796773,10.9960,295.4
78,4.802539,10.9960,295.4
79,4.793314,10.9960,295.5
80,4.800673,10.9960,295.5
81,4.798788,10.9960,295.5
82,4.773117,10.9959,295.5
83,4.793435,10.9972,295.5
84,4.791442,10.9972,295.5
85,4.799209,10.9972,295.5
86,4.794038,10.9972,295.5
87,4.789917,10.9972,295.5
88,4.794529,10.9972,295.5
89,4.786355,10.9972,295.5
90,4.790427,10.9972,295.5
91,4.795800,10.9972,295.5
92,4.788697,10.9972,295.5
93,4.794945,10.9972,295.5
94,4.793864,10.9972,295.5
95,4.784760,10.9978,295.5
96,4.794070,10.9978,295.5
97,4.778050,10.9978,295.5
98,4.789184,10.9978,295.5
99,4.785116,10.9978,295.6
100,4.787243,10.9978,295.6
101,4.786954,10.9978,295.6
102,4.784256,10.9978,295.6
103,4.788104,10.9978,295.6
104,4.789647,10.9978,295.6
105,4.786921,10.9978,295.6
106,4.789744,10.9978,295.6
107,4.782641,10.9978,295.6
108,4.770390,10.9978,295.6
109,4.776947,10.9984,295.6
110,4.778466,10.9984,295.6
111,4.787805,10.9985,295.6
112,4.779593,10.9984,295.6
113,4.780632,10.9984,295.6
114,4.783217,10.9984,295.6
115,4.778723,10.9984,295.6
116,4.778990,10.9984,295.6
117,4.782207,10.9984,295.6
118,4.778415,10.9984,295.6
119,4.781145,10.9984,295.7
120,4.777218,10.9984,295.7
121,4.782870,10.9984,295.7
122,4.771265,10.9984,295.7
123,4.764760,10.9984,295.7
124,4.781907,10.9984,295.7
125,4.768918,10.9984,295.7
126,4.774464,10.9984,295.7
127,4.776161,10.9984,295.7
128,4.773359,10.9984,295.7
129,4.776848,10.9984,295.7
