Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,2.225709,4.7297,570.4
2.0,1.943603,4.7792,570.5
3.0,1.697828,4.8290,570.6
4.0,1.490041,4.8789,570.7
5.0,1.310081,4.9288,570.8
6.0,1.148748,4.9787,570.9
7.0,1.005012,5.0286,571
8.0,0.865308,5.0785,571.1
9.0,0.721610,5.1284,571.2
10.0,0.610875,5.1782,571.3
11.0,0.494160,5.2279,571.4
12.0,0.375063,5.2775,571.5
13.0,0.253256,5.3272,571.6
14.0,0.131118,5.3770,571.7
15.0,0.011253,5.4264,571.8
16.0,-0.103408,5.4763,571.9
17.0,-0.219015,5.5262,572
18.0,-0.329424,5.5762,572.1
19.0,-0.410421,5.6261,572.2
20.0,-0.507748,5.6761,572.3
21.0,-0.614366,5.7260,572.4
22.0,-0.704631,5.7760,572.5
23.0,-0.787700,5.8259,572.6
24.0,-0.837438,5.8759,572.7
25.0,-0.879564,5.9259,572.8
26.0,-0.930879,5.9758,572.9
27.0,-0.989440,6.0258,573
28.0,-1.051015,6.0759,573.1
29.0,-1.107601,6.1257,573.2
30.0,-1.163767,6.1757,573.3
31.0,-1.218973,6.2251,573.4
32.0,-1.272311,6.2751,573.5
33.0,-1.295614,6.3248,573.6
34.0,-1.283033,6.3749,573.7
35.0,-1.328206,6.4243,573.8
36.0,-1.332743,6.4742,573.9
37.0,-1.373922,6.5241,574
38.0,-1.411334,6.5741,574.1
39.0,-1.451808,6.6240,574.2
40.0,-1.490654,6.6741,574.3
41.0,-1.526308,6.7240,574.4
42.0,-1.560551,6.7741,574.5
43.0,-1.596108,6.8241,574.6
44.0,-1.619962,6.8740,574.7
45.0,-1.650014,6.9242,574.8
46.0,-1.683738,6.9741,574.9
47.0,-1.717654,7.0241,575
48.0,-1.750233,7.0742,575.1
49.0,-1.784753,7.1240,575.2
50.0,-1.817373,7.1740,575.3
51.0,-1.849665,7.2240,575.4
52.0,-1.843890,7.2737,575.5
53.0,-1.820832,7.3238,575.6
54.0,-1.738218,7.3739,575.7
55.0,-1.545775,7.4240,575.8
56.0,-1.466258,7.4735,575.9
57.0,-1.386777,7.5229,576
58.0,-1.281621,7.5730,576.1
59.0,-1.238020,7.6230,576.2
60.0,-1.120062,7.6733,576.3
61.0,-0.945111,7.7233,576.4
62.0,-0.857244,7.7735,576.5
63.0,-0.852673,7.8234,576.6
64.0,-0.618437,7.8736,576.7
65.0,-0.533847,7.9237,576.8
66.0,-0.453390,7.9737,576.9
67.0,-0.284677,8.0238,577
68.0,-0.285515,8.0740,577.1
69.0,-0.220893,8.1240,577.2
70.0,-0.141763,8.1739,577.3
71.0,-0.142575,8.2238,577.4
72.0,-0.143970,8.2739,577.5
73.0,-0.144966,8.3234,577.6
74.0,-0.135403,8.3734,577.7
75.0,-0.070327,8.4233,577.8
76.0,-0.070789,8.4732,577.9
