Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,2.159798,10.2881,47.5
2.0,2.147242,10.2881,48
3.0,2.138314,10.2881,48.5
4.0,2.131729,10.2881,49
5.0,2.125137,10.2881,49.5
6.0,2.121444,10.2881,50
7.0,2.117672,10.2881,50.5
8.0,2.114062,10.2881,51
9.0,2.112423,10.2881,51.5
10.0,2.109786,10.2881,52
11.0,2.108709,10.2881,52.5
12.0,2.106921,10.2881,53
13.0,2.105698,10.2881,53.5
14.0,2.104144,10.2881,54
15.0,2.102368,10.2881,54.5
16.0,2.101338,10.2881,55
17.0,2.099351,10.2881,55.5
18.0,2.099058,10.2881,56
19.0,2.098664,10.2881,56.5
20.0,2.097196,10.2881,57
21.0,2.095576,10.2881,57.5
22.0,2.094502,10.2881,58
23.0,2.094056,10.2881,58.5
24.0,2.092342,10.2881,59
25.0,2.090897,10.2881,59.5
26.0,2.090203,10.2881,60
27.0,2.088937,10.2881,60.5
28.0,2.088993,10.2881,61
29.0,2.087731,10.2881,61.5
30.0,2.085952,10.2881,62
31.0,2.085393,10.2881,62.5
32.0,2.084528,10.2881,63
33.0,2.084764,10.2881,63.5
34.0,2.083574,10.2881,64
35.0,2.082642,10.2881,64.5
36.0,2.081930,10.2881,65
37.0,2.080476,10.2881,65.5
38.0,2.080109,10.2881,66
39.0,2.080175,10.2881,66.5
40.0,2.079189,10.2881,67
