Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,2.607743,10.2553,2145
2.0,2.591618,10.2553,2146
3.0,2.585098,10.2553,2146
4.0,2.579889,10.2553,2147
5.0,2.575327,10.2553,2147
6.0,2.571604,10.2553,2148
7.0,2.568431,10.2553,2148
8.0,2.564431,10.2553,2149
9.0,2.561671,10.2553,2149
10.0,2.559452,10.2553,2150
11.0,2.557014,10.2553,2150
12.0,2.555511,10.2553,2151
13.0,2.551951,10.2553,2151
14.0,2.551700,10.2553,2152
15.0,2.549786,10.2553,2152
16.0,2.547590,10.2553,2153
17.0,2.547024,10.2553,2153
18.0,2.545143,10.2553,2154
19.0,2.544533,10.2553,2154
20.0,2.542982,10.2553,2155
21.0,2.542305,10.2553,2155
22.0,2.541349,10.2553,2156
23.0,2.540606,10.2553,2156
24.0,2.539843,10.2553,2157
25.0,2.538445,10.2553,2157
26.0,2.538082,10.2552,2158
27.0,2.537457,10.2552,2158
28.0,2.536891,10.2552,2159
29.0,2.536848,10.2552,2159
30.0,2.535492,10.2552,2160
31.0,2.535736,10.2552,2160
32.0,2.534718,10.2552,2161
33.0,2.534462,10.2552,2161
34.0,2.533897,10.2552,2162
35.0,2.533216,10.2552,2162
36.0,2.532578,10.2552,2163
37.0,2.532569,10.2552,2163
38.0,2.532194,10.2552,2164
39.0,2.531770,10.2552,2164
40.0,2.530405,10.2552,2165
