Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,1.982360,12.2793,383.5
2.0,1.962201,12.2793,384
3.0,1.954903,12.2793,384.5
4.0,1.950095,12.2793,385
5.0,1.946948,12.2793,385.5
6.0,1.944447,12.2793,386
7.0,1.942262,12.2793,386.5
8.0,1.938598,12.2793,387
9.0,1.937792,12.2793,387.5
10.0,1.935152,12.2793,388
11.0,1.933909,12.2793,388.5
12.0,1.932175,12.2793,389
13.0,1.930795,12.2793,389.5
14.0,1.928945,12.2793,390
15.0,1.927881,12.2793,390.5
16.0,1.926140,12.2793,391
17.0,1.925707,12.2793,391.5
18.0,1.924510,12.2793,392
19.0,1.923258,12.2793,392.5
20.0,1.922326,12.2793,393
21.0,1.920429,12.2793,393.5
22.0,1.920641,12.2793,394
23.0,1.919546,12.2793,394.5
24.0,1.918994,12.2793,395
25.0,1.918014,12.2793,395.5
26.0,1.917600,12.2793,396
27.0,1.915199,12.2793,396.5
28.0,1.916601,12.2793,397
29.0,1.915317,12.2793,397.5
30.0,1.914571,12.2793,398
31.0,1.913105,12.2793,398.5
32.0,1.912726,12.2793,399
33.0,1.911956,12.2793,399.5
34.0,1.911371,12.2793,400
35.0,1.910268,12.2793,400.5
36.0,1.910339,12.2793,401
37.0,1.910212,12.2793,401.5
38.0,1.909661,12.2793,402
39.0,1.907923,12.2793,402.5
40.0,1.908154,12.2793,403
