Point No.,Normal Force [N],Gap [mm],Time [s]
3,1.386583,22.5017,3309
4,1.237257,22.5515,3309
5,1.105213,22.6016,3309
6,0.981049,22.6515,3309
7,0.864398,22.7014,3309
8,0.750678,22.7507,3310
9,0.629139,22.8006,3310
10,0.506207,22.8506,3310
11,0.384217,22.9004,3310
12,0.277882,22.9503,3310
13,0.165750,23.0000,3310
14,0.056858,23.0497,3310
15,-0.051319,23.0996,3310
16,-0.156475,23.1496,3310
17,-0.256039,23.1996,3310
18,-0.341338,23.2494,3311
19,-0.411892,23.2993,3311
20,-0.482773,23.3493,3311
21,-0.547838,23.3990,3311
22,-0.622379,23.4490,3311
23,-0.689942,23.4988,3311
24,-0.746172,23.5489,3311
25,-0.806217,23.5987,3311
26,-0.863114,23.6487,3311
27,-0.918624,23.6987,3311
28,-0.966923,23.7484,3312
29,-0.984502,23.7975,3312
30,-1.028168,23.8474,3312
31,-1.024204,23.8974,3312
32,-1.047680,23.9474,3312
33,-1.017251,23.9974,3312
34,-1.050335,24.0473,3312
35,-1.054933,24.0971,3312
36,-1.032571,24.1470,3312
37,-0.952252,24.1971,3312
38,-0.912513,24.2470,3313
39,-0.841689,24.2969,3313
40,-0.846864,24.3469,3313
41,-0.770402,24.3968,3313
42,-0.774081,24.4468,3313
43,-0.697222,24.4969,3313
44,-0.666709,24.5467,3313
45,-0.582219,24.5970,3313
46,-0.515623,24.6467,3313
47,-0.480707,24.6964,3313
48,-0.439729,24.7463,3314
49,-0.442448,24.7961,3314
50,-0.454481,24.8457,3314
51,-0.408181,24.8958,3314
52,-0.412049,24.9458,3314
53,-0.422106,24.9956,3314
54,-0.405712,25.0456,3314
55,-0.313283,25.0956,3314
56,-0.254194,25.1454,3314
57,-0.259702,25.1952,3314
58,-0.214953,25.2452,3315
59,-0.161039,25.2951,3315
60,-0.109699,25.3451,3315
61,-0.110941,25.3951,3315
62,-0.112459,25.4451,3315
63,-0.113382,25.4951,3315
64,-0.074604,25.5451,3315
65,-0.061780,25.5950,3315
66,-0.047591,25.6447,3315
67,-0.002777,25.6946,3315
68,-0.002785,25.7445,3316
69,-0.003519,25.7943,3316
70,-0.002552,25.8441,3316
71,-0.003322,25.8941,3316
72,-0.002111,25.9441,3316
73,-0.002642,25.9941,3316
74,-0.003297,26.0440,3316
75,-0.004019,26.0938,3316
76,-0.002875,26.1436,3316
77,-0.003411,26.1935,3316
78,-0.002646,26.2435,3317
79,-0.001736,26.2935,3317
80,-0.002535,26.3435,3317
81,-0.001839,26.3935,3317
82,-0.003508,26.4435,3317
83,-0.003321,26.4935,3317
84,-0.003058,26.5435,3317
85,-0.002858,26.5935,3317
86,-0.003577,26.6435,3317
87,-0.002511,26.6932,3317
88,-0.002061,26.7429,3318
89,-0.002220,26.7929,3318
90,-0.002231,26.8430,3318
91,-0.002613,26.8931,3318
92,-0.003171,26.9425,3318
93,-0.001433,26.9925,3318
94,-0.002409,27.0425,3318
95,-0.001557,27.0922,3318
96,-0.002994,27.1421,3318
97,-0.002598,27.1920,3318
98,-0.001004,27.2420,3319
99,-0.001125,27.2920,3319
100,-0.001700,27.3420,3319
101,-0.000429,27.3920,3319
102,-0.001417,27.4420,3319
103,-0.001489,27.4920,3319
104,-0.001553,27.5420,3319
105,0.000044,27.5921,3319
106,-0.001844,27.6422,3319
107,-0.001616,27.6920,3319
108,-0.001979,27.7418,3320
109,-0.000782,27.7918,3320
110,-0.002724,27.8417,3320
111,-0.002445,27.8917,3320
112,-0.002495,27.9415,3320
113,-0.001844,27.9912,3320
114,-0.001945,28.0410,3320
115,-0.001925,28.0910,3320
116,-0.001891,28.1410,3320
117,-0.002272,28.1910,3320
118,-0.001253,28.2410,3321
119,-0.001738,28.2910,3321
120,-0.000931,28.3410,3321
121,-0.000658,28.3909,3321
122,-0.002526,28.4410,3321
123,-0.001561,28.4910,3321
124,-0.001374,28.5410,3321
125,-0.000509,28.5910,3321
126,-0.001223,28.6410,3321
127,-0.001064,28.6910,3321
128,-0.001056,28.7412,3322
129,-0.000859,28.7911,3322
130,-0.001851,28.8412,3322
131,-0.001709,28.8912,3322
132,-0.001910,28.9411,3322
133,-0.001688,28.9910,3322
134,-0.000773,29.0404,3322
135,-0.001572,29.0901,3322
136,-0.001040,29.1400,3322
137,-0.001396,29.1899,3322
138,-0.001737,29.2398,3323
139,-0.000662,29.2897,3323
140,-0.000773,29.3397,3323
141,-0.000852,29.3897,3323
142,-0.001145,29.4397,3323
143,-0.000867,29.4899,3323
144,-0.002583,29.5399,3323
145,0.000132,29.5899,3323
146,-0.000798,29.6399,3323
147,-0.002025,29.6899,3323
148,-0.001067,29.7399,3324
149,0.001060,29.7900,3324
150,-0.001363,29.8399,3324
151,-0.000527,29.8899,3324
152,0.000174,29.9399,3324
153,-0.000810,29.9897,3324
154,-0.001667,30.0397,3324
155,-0.000081,30.0891,3324
156,-0.000449,30.1384,3324
157,0.000049,30.1885,3324
158,-0.000913,30.2383,3325
159,-0.000616,30.2882,3325
160,-0.000346,30.3382,3325
161,-0.000274,30.3882,3325
162,-0.000198,30.4383,3325
163,0.000641,30.4882,3325
164,0.001190,30.5382,3325
165,0.000452,30.5882,3325
166,-0.000735,30.6382,3325
167,0.000410,30.6883,3325
168,-0.000345,30.7383,3326
169,-0.000175,30.7883,3326
170,-0.000290,30.8382,3326
171,-0.000043,30.8883,3326
172,-0.000407,30.9381,3326
173,-0.000024,30.9881,3326
174,-0.000820,31.0379,3326
175,-0.000529,31.0876,3326
176,-0.000734,31.1370,3326
177,-0.000834,31.1866,3326
178,-0.001321,31.2366,3327
179,-0.000693,31.2865,3327
180,-0.000819,31.3365,3327
181,-0.001197,31.3864,3327
182,-0.001085,31.4361,3327
183,-0.000076,31.4864,3327
184,-0.000784,31.5361,3327
185,-0.001078,31.5862,3327
186,-0.000950,31.6361,3327
187,0.000991,31.6862,3327
188,-0.000279,31.7360,3328
189,-0.000221,31.7860,3328
190,-0.000276,31.8360,3328
191,0.001086,31.8860,3328
192,-0.000970,31.9360,3328
193,-0.000343,31.9860,3328
194,-0.000626,32.0360,3328
195,-0.000564,32.0855,3328
196,-0.000072,32.1354,3328
197,0.000406,32.1848,3328
198,-0.000320,32.2344,3329
199,-0.000864,32.2844,3329
200,-0.000858,32.3344,3329
201,-0.000845,32.3844,3329
202,-0.000033,32.4344,3329
203,-0.001269,32.4844,3329
204,-0.000292,32.5344,3329
205,-0.000100,32.5844,3329
206,-0.000518,32.6343,3329
207,-0.000965,32.6840,3329
208,-0.000390,32.7339,3330
209,0.000357,32.7839,3330
210,-0.000564,32.8337,3330
211,-0.000869,32.8837,3330
212,0.000289,32.9338,3330
213,-0.000907,32.9838,3330
214,-0.000859,33.0338,3330
215,-0.000201,33.0837,3330
216,-0.000981,33.1335,3330
217,-0.001111,33.1833,3330
218,-0.000993,33.2329,3331
219,-0.000849,33.2821,3331
220,-0.001570,33.3321,3331
221,-0.001644,33.3821,3331
222,-0.000594,33.4321,3331
223,-0.000536,33.4821,3331
224,-0.001580,33.5321,3331
225,-0.001027,33.5821,3331
226,-0.000203,33.6321,3331
227,-0.001314,33.6821,3331
228,0.000272,33.7321,3332
229,0.000514,33.7821,3332
230,-0.000131,33.8321,3332
231,-0.002214,33.8821,3332
232,-0.000530,33.9321,3332
233,-0.000901,33.9821,3332
234,-0.000492,34.0318,3332
235,0.000172,34.0816,3332
236,-0.001092,34.1315,3332
237,0.000102,34.1815,3332
238,-0.001018,34.2315,3333
239,-0.001807,34.2813,3333
240,-0.000383,34.3305,3333
241,-0.001374,34.3805,3333
242,-0.000503,34.4305,3333
243,-0.000440,34.4805,3333
244,-0.000252,34.5305,3333
245,-0.000293,34.5805,3333
246,-0.000515,34.6305,3333
247,0.000356,34.6805,3333
248,0.000199,34.7305,3334
249,0.001400,34.7805,3334
250,-0.000457,34.8305,3334
251,-0.000121,34.8805,3334
252,-0.001212,34.9305,3334
253,-0.000683,34.9805,3334
254,-0.000884,35.0304,3334
255,-0.001111,35.0803,3334
256,-0.001783,35.1302,3334
257,-0.000892,35.1800,3334
258,-0.001160,35.2300,3335
259,-0.000611,35.2800,3335
260,-0.001003,35.3299,3335
261,-0.001026,35.3790,3335
262,-0.000640,35.4291,3335
263,-0.001701,35.4790,3335
264,-0.001530,35.5291,3335
265,-0.000931,35.5791,3335
266,-0.000760,35.6292,3335
267,-0.000726,35.6792,3335
268,0.000252,35.7292,3336
269,-0.001018,35.7792,3336
270,0.000504,35.8292,3336
271,0.000331,35.8792,3336
272,0.000171,35.9292,3336
273,-0.000441,35.9792,3336
274,0.000908,36.0291,3336
275,0.000014,36.0790,3336
276,0.000975,36.1291,3336
277,0.000132,36.1790,3336
278,0.000059,36.2291,3337
279,-0.000325,36.2790,3337
280,-0.001003,36.3289,3337
281,-0.000070,36.3789,3337
282,0.000015,36.4281,3337
283,-0.000636,36.4780,3337
284,0.000659,36.5281,3337
285,0.000316,36.5780,3337
286,0.000958,36.6281,3337
287,-0.000022,36.6780,3337
288,0.000655,36.7282,3338
289,0.000626,36.7782,3338
290,0.001352,36.8282,3338
291,0.001345,36.8782,3338
292,0.001286,36.9282,3338
293,-0.000864,36.9782,3338
294,0.000332,37.0281,3338
295,0.000325,37.0780,3338
296,0.000112,37.1281,3338
297,0.000664,37.1779,3338
298,-0.000316,37.2279,3339
299,0.000797,37.2777,3339
300,0.000161,37.3277,3339
301,-0.001237,37.3777,3339
302,0.000008,37.4278,3339
303,0.000850,37.4769,3339
304,0.000376,37.5269,3339
305,0.000787,37.5769,3339
306,0.000603,37.6269,3339
307,-0.000463,37.6769,3339
308,0.000040,37.7269,3340
309,0.000003,37.7769,3340
310,0.001055,37.8269,3340
311,-0.000190,37.8769,3340
312,-0.000535,37.9269,3340
313,0.000362,37.9769,3340
314,0.000196,38.0268,3340
315,-0.000602,38.0768,3340
316,0.000806,38.1266,3340
317,0.000524,38.1764,3340
318,0.000606,38.2264,3341
319,-0.001235,38.2762,3341
320,0.000041,38.3262,3341
321,0.000669,38.3762,3341
322,0.000358,38.4263,3341
323,-0.000166,38.4763,3341
324,-0.000677,38.5255,3341
325,-0.001855,38.5753,3341
326,-0.000130,38.6253,3341
327,-0.001286,38.6752,3341
328,0.000333,38.7254,3342
329,0.000406,38.7753,3342
330,-0.000662,38.8253,3342
331,0.000096,38.8753,3342
332,-0.000335,38.9251,3342
333,-0.000871,38.9753,3342
334,-0.001381,39.0251,3342
335,0.000111,39.0746,3342
336,-0.001784,39.1246,3342
337,-0.001371,39.1746,3342
338,-0.000602,39.2246,3343
339,-0.000322,39.2745,3343
340,0.000039,39.3245,3343
341,0.000223,39.3745,3343
342,-0.000729,39.4243,3343
343,-0.000650,39.4744,3343
344,-0.001501,39.5244,3343
345,-0.000854,39.5732,3343
346,-0.001872,39.6231,3343
347,-0.000595,39.6732,3343
348,-0.001493,39.7231,3344
349,0.000258,39.7731,3344
350,0.000002,39.8230,3344
351,-0.001414,39.8730,3344
352,-0.000458,39.9230,3344
353,0.002259,39.9721,3344
354,0.000496,39.9951,3344
355,-0.000095,39.9991,3344
356,0.000892,40.0000,3344
357,0.002088,40.0000,3344
358,0.001372,40.0000,3345
359,0.000595,40.0000,3345
360,0.000702,40.0000,3345
361,0.001061,40.0000,3345
362,0.000136,40.0000,3345
363,0.000651,40.0000,3345
364,0.001056,40.0000,3345
365,0.000193,40.0000,3345
366,0.000734,40.0000,3345
367,0.000692,40.0000,3345
368,0.001106,40.0000,3346
369,0.000165,40.0000,3346
370,0.000837,40.0000,3346
371,0.000728,40.0000,3346
372,0.001628,40.0000,3346
373,0.000876,40.0000,3346
374,0.001405,40.0000,3346
375,0.002250,40.0000,3346
376,0.000645,40.0000,3346
377,0.000540,40.0000,3346
378,0.000590,40.0000,3347
379,0.000138,40.0000,3347
380,0.000626,40.0000,3347
381,0.001267,40.0000,3347
382,0.001339,40.0000,3347
383,0.001392,40.0000,3347
384,0.002128,40.0000,3347
385,0.000392,40.0000,3347
386,0.001348,40.0000,3347
387,0.002361,40.0000,3347
388,0.001201,40.0000,3348
389,0.001697,40.0000,3348
390,0.001111,40.0000,3348
391,0.001386,40.0000,3348
392,0.000641,40.0000,3348
393,0.001000,40.0000,3348
394,0.002765,40.0000,3348
395,0.000462,40.0000,3348
396,-0.000473,40.0000,3348
397,0.000478,40.0000,3348
398,0.001574,40.0000,3349
399,0.000788,40.0000,3349
400,-0.000158,40.0000,3349
401,0.000073,40.0000,3349
402,0.000615,40.0000,3349
403,0.001886,40.0000,3349
404,0.002409,40.0000,3349
405,0.001234,40.0000,3349
406,0.000463,40.0000,3349
407,0.000487,40.0000,3349
408,0.001010,40.0000,3350
409,0.000157,40.0000,3350
410,0.000813,40.0000,3350
411,0.000304,40.0000,3350
412,0.000699,40.0000,3350
413,-0.000258,40.0000,3350
414,0.001301,40.0000,3350
415,0.000612,40.0000,3350
416,0.001373,40.0000,3350
417,0.001361,40.0000,3350
418,0.001574,40.0000,3351
419,0.000186,40.0000,3351
420,-0.000053,40.0000,3351
421,0.000668,40.0000,3351
422,0.000906,40.0000,3351
423,-0.000081,40.0000,3351
424,-0.000856,40.0000,3351
425,-0.000272,40.0000,3351
426,-0.000125,40.0000,3351
427,-0.000798,40.0000,3351
428,-0.000972,40.0000,3352
429,0.000428,40.0000,3352
430,0.000703,40.0000,3352
431,0.000900,40.0000,3352
432,0.001144,40.0000,3352
433,0.000961,40.0000,3352
434,0.000707,40.0000,3352
435,0.001549,40.0000,3352
436,0.001494,40.0000,3352
437,0.000744,40.0000,3352
438,0.000975,40.0000,3353
439,0.001357,40.0000,3353
440,0.000207,40.0000,3353
441,0.001468,40.0000,3353
442,0.002063,40.0000,3353
443,0.000959,40.0000,3353
444,0.000622,40.0000,3353
445,0.001441,40.0000,3353
446,-0.000002,40.0000,3353
447,0.001859,40.0000,3353
448,0.002272,40.0000,3354
449,0.001525,40.0000,3354
450,0.001190,40.0000,3354
451,0.001864,40.0000,3354
452,0.001260,40.0000,3354
453,0.001461,40.0000,3354
454,0.001448,40.0000,3354
455,0.001801,40.0000,3354
456,0.002044,40.0000,3354
457,0.000677,40.0000,3354
458,0.001858,40.0000,3355
459,0.001138,40.0000,3355
460,0.000105,40.0000,3355
461,0.001640,40.0000,3355
462,0.001318,40.0000,3355
463,0.000671,40.0000,3355
464,0.000850,40.0000,3355
465,0.000924,40.0000,3355
466,0.001518,40.0000,3355
467,0.000425,40.0000,3355
468,0.000315,40.0000,3356
469,0.001133,40.0000,3356
470,0.001367,40.0000,3356
471,0.001322,40.0000,3356
472,0.001865,40.0000,3356
473,0.002064,40.0000,3356
474,0.001069,40.0000,3356
475,0.000719,40.0000,3356
476,0.001484,40.0000,3356
477,0.001812,40.0000,3356
478,0.001180,40.0000,3357
479,0.001205,40.0000,3357
480,0.000472,40.0000,3357
481,0.001155,40.0000,3357
482,0.002175,40.0000,3357
483,0.001518,40.0000,3357
484,0.001359,40.0000,3357
485,0.002262,40.0000,3357
486,0.001816,40.0000,3357
487,0.001455,40.0000,3357
