Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.007286,14.9378,6077
2.0,0.007651,14.8377,6078
3.0,0.006845,14.7373,6079
4.0,0.007335,14.6371,6080
5.0,0.007047,14.5365,6081
6.0,0.007082,14.4362,6082
7.0,0.006929,14.3357,6083
8.0,0.007053,14.2354,6084
9.0,0.006430,14.1350,6085
10.0,0.006590,14.0347,6086
11.0,0.007228,13.9345,6087
12.0,0.006476,13.8342,6088
13.0,0.006955,13.7340,6089
14.0,0.006431,13.6335,6090
15.0,0.006921,13.5333,6091
16.0,0.006891,13.4327,6092
17.0,0.006786,13.3324,6093
18.0,0.006922,13.2319,6094
19.0,0.006941,13.1316,6095
20.0,0.006785,13.0313,6096
21.0,0.006914,12.9311,6097
22.0,0.007153,12.8308,6098
23.0,0.006667,12.7306,6099
24.0,0.006493,12.6302,6100
25.0,0.006781,12.5298,6101
26.0,0.007445,12.4292,6102
27.0,0.006196,12.3290,6103
28.0,0.006047,12.2285,6104
29.0,0.005414,12.1282,6105
30.0,0.006066,12.0278,6106
31.0,0.064809,11.9277,6107
32.0,0.294535,11.8276,6108
33.0,0.537773,11.7274,6109
34.0,0.797456,11.6272,6110
35.0,1.091401,11.5269,6111
36.0,1.544071,11.4268,6112
37.0,2.105180,11.3265,6113
38.0,2.679471,11.2266,6114
39.0,3.245517,11.1265,6115
40.0,3.862641,11.0268,6116
