Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.013213,15.0186,76.55
2.0,0.001066,15.0199,76.6
3.0,0.003822,15.0153,76.65
4.0,0.006547,15.0102,76.7
5.0,0.010933,15.0052,76.75
6.0,0.012732,15.0003,76.8
7.0,0.007282,14.9953,76.85
8.0,0.007574,14.9901,76.9
9.0,0.008309,14.9851,76.95
10.0,0.011113,14.9803,77
11.0,0.006152,14.9751,77.05
12.0,0.002766,14.9701,77.1
13.0,0.010190,14.9651,77.15
14.0,0.006657,14.9603,77.2
15.0,0.012002,14.9553,77.25
16.0,0.011790,14.9498,77.3
17.0,0.006610,14.9448,77.35
18.0,0.008538,14.9403,77.4
19.0,0.012529,14.9347,77.45
20.0,0.005323,14.9298,77.5
21.0,0.005106,14.9247,77.55
22.0,0.012012,14.9203,77.6
23.0,0.006378,14.9153,77.65
24.0,0.008313,14.9101,77.7
25.0,0.004347,14.9051,77.75
26.0,0.003380,14.9003,77.8
27.0,0.004975,14.8950,77.85
28.0,0.002264,14.8898,77.9
29.0,0.006545,14.8850,77.95
30.0,0.007339,14.8798,78
31.0,0.002951,14.8750,78.05
32.0,0.005162,14.8698,78.1
33.0,0.003271,14.8647,78.15
34.0,0.007937,14.8601,78.2
35.0,0.008273,14.8547,78.25
36.0,0.009196,14.8494,78.3
37.0,0.003375,14.8445,78.35
38.0,0.009390,14.8400,78.4
39.0,0.006137,14.8350,78.45
40.0,0.002364,14.8294,78.5
41.0,0.007961,14.8247,78.55
42.0,0.005496,14.8197,78.6
43.0,0.012103,14.8146,78.65
44.0,0.008780,14.8096,78.7
45.0,0.003099,14.8044,78.75
46.0,0.007842,14.7996,78.8
47.0,0.011384,14.7945,78.85
48.0,0.006695,14.7897,78.9
49.0,0.009252,14.7847,78.95
50.0,0.012628,14.7797,79
51.0,0.011133,14.7747,79.05
52.0,0.005458,14.7693,79.1
53.0,0.007946,14.7644,79.15
54.0,0.006475,14.7594,79.2
55.0,0.010539,14.7544,79.25
56.0,0.002787,14.7493,79.3
57.0,0.002926,14.7444,79.35
58.0,0.006121,14.7394,79.4
59.0,0.006256,14.7344,79.45
60.0,0.004251,14.7293,79.5
61.0,0.006658,14.7241,79.55
62.0,0.008186,14.7193,79.6
63.0,0.010080,14.7142,79.65
64.0,0.001934,14.7091,79.7
65.0,0.000882,14.7041,79.75
66.0,0.003753,14.6993,79.8
67.0,0.000695,14.6941,79.85
68.0,0.003395,14.6890,79.9
69.0,0.004638,14.6841,79.95
70.0,0.002329,14.6793,80
71.0,0.006260,14.6741,80.05
72.0,0.005700,14.6690,80.1
73.0,0.005477,14.6640,80.15
74.0,0.007626,14.6590,80.2
75.0,0.008636,14.6540,80.25
76.0,0.004390,14.6490,80.3
77.0,0.010726,14.6440,80.35
78.0,0.010841,14.6387,80.4
79.0,0.008591,14.6337,80.45
80.0,0.001593,14.6287,80.5
81.0,0.006407,14.6237,80.55
82.0,0.011602,14.6187,80.6
83.0,0.009069,14.6137,80.65
84.0,0.005461,14.6087,80.7
85.0,0.006875,14.6038,80.75
86.0,0.008885,14.5987,80.8
87.0,0.006758,14.5935,80.85
88.0,0.001895,14.5887,80.9
89.0,0.003857,14.5836,80.95
90.0,0.005038,14.5789,81
91.0,0.007521,14.5737,81.05
92.0,0.006606,14.5687,81.1
93.0,0.002937,14.5636,81.15
94.0,0.004281,14.5586,81.2
95.0,0.009296,14.5536,81.25
96.0,0.001189,14.5485,81.3
97.0,0.004226,14.5433,81.35
98.0,0.003487,14.5383,81.4
99.0,0.002931,14.5331,81.45
100.0,0.009005,14.5283,81.5
101.0,0.006316,14.5231,81.55
102.0,0.004591,14.5183,81.6
103.0,0.003327,14.5131,81.65
104.0,0.004265,14.5081,81.7
105.0,0.004972,14.5031,81.75
106.0,0.005837,14.4983,81.8
107.0,0.005710,14.4931,81.85
108.0,0.003330,14.4881,81.9
109.0,0.004215,14.4831,81.95
110.0,0.007486,14.4781,82
111.0,0.003454,14.4731,82.05
112.0,0.004638,14.4681,82.1
113.0,0.009420,14.4631,82.15
114.0,0.007925,14.4581,82.2
115.0,0.009704,14.4531,82.25
116.0,0.002326,14.4481,82.3
117.0,0.002630,14.4428,82.35
118.0,0.007960,14.4381,82.4
119.0,0.006624,14.4329,82.45
120.0,0.001111,14.4277,82.5
121.0,0.001399,14.4229,82.55
122.0,0.006583,14.4181,82.6
123.0,0.003167,14.4128,82.65
124.0,-0.000134,14.4077,82.7
125.0,0.001057,14.4029,82.75
126.0,0.003988,14.3980,82.8
127.0,0.005606,14.3929,82.85
128.0,0.002264,14.3877,82.9
129.0,0.000236,14.3829,82.95
130.0,-0.001867,14.3780,83
131.0,0.003713,14.3726,83.05
132.0,0.006676,14.3679,83.1
133.0,0.001773,14.3626,83.15
134.0,0.002445,14.3581,83.2
135.0,0.002862,14.3526,83.25
136.0,0.003543,14.3476,83.3
137.0,0.001528,14.3426,83.35
138.0,0.003196,14.3378,83.4
139.0,0.002981,14.3326,83.45
140.0,0.005331,14.3276,83.5
141.0,0.005011,14.3226,83.55
142.0,0.002020,14.3176,83.6
143.0,0.001841,14.3126,83.65
144.0,0.003175,14.3076,83.7
145.0,0.002835,14.3026,83.75
146.0,0.002813,14.2979,83.8
147.0,-0.000026,14.2926,83.85
148.0,0.002098,14.2874,83.9
149.0,-0.001613,14.2824,83.95
150.0,0.004866,14.2779,84
151.0,-0.000281,14.2724,84.05
152.0,0.000209,14.2674,84.1
153.0,0.003725,14.2624,84.15
154.0,0.000798,14.2579,84.2
155.0,-0.001881,14.2524,84.25
156.0,-0.000442,14.2474,84.3
157.0,0.003074,14.2424,84.35
158.0,0.004663,14.2379,84.4
159.0,0.000974,14.2324,84.45
160.0,0.003260,14.2275,84.5
161.0,0.003645,14.2224,84.55
162.0,0.002529,14.2176,84.6
163.0,0.001324,14.2124,84.65
164.0,0.002641,14.2075,84.7
165.0,0.002955,14.2025,84.75
166.0,0.001761,14.1978,84.8
167.0,0.005643,14.1922,84.85
168.0,0.002300,14.1874,84.9
169.0,0.003964,14.1822,84.95
170.0,0.002851,14.1777,85
171.0,0.003386,14.1720,85.05
172.0,0.001168,14.1673,85.1
173.0,0.003541,14.1622,85.15
174.0,0.003907,14.1574,85.2
175.0,0.001053,14.1521,85.25
176.0,0.002164,14.1474,85.3
177.0,0.006484,14.1424,85.35
178.0,0.000709,14.1374,85.4
179.0,0.001820,14.1324,85.45
180.0,0.007654,14.1274,85.5
181.0,0.001856,14.1224,85.55
182.0,0.001775,14.1174,85.6
183.0,-0.004963,14.1124,85.65
184.0,0.004185,14.1074,85.7
185.0,0.001825,14.1022,85.75
186.0,0.003380,14.0974,85.8
187.0,0.000341,14.0919,85.85
188.0,0.001059,14.0874,85.9
189.0,0.002029,14.0819,85.95
190.0,0.005395,14.0774,86
191.0,-0.000072,14.0719,86.05
192.0,0.003292,14.0671,86.1
193.0,0.002165,14.0621,86.15
194.0,-0.001265,14.0571,86.2
195.0,0.002533,14.0518,86.25
196.0,0.002370,14.0471,86.3
197.0,-0.002659,14.0421,86.35
198.0,0.005128,14.0371,86.4
199.0,0.000801,14.0320,86.45
200.0,0.003385,14.0271,86.5
201.0,0.000831,14.0220,86.55
202.0,0.002003,14.0171,86.6
203.0,-0.002380,14.0118,86.65
204.0,0.005713,14.0070,86.7
205.0,0.003496,14.0018,86.75
206.0,0.004322,13.9971,86.8
207.0,0.007271,13.9916,86.85
208.0,0.012318,13.9868,86.9
209.0,0.006681,13.9818,86.95
210.0,0.001133,13.9768,87
211.0,0.003748,13.9716,87.05
212.0,0.008246,13.9668,87.1
213.0,0.012389,13.9618,87.15
214.0,0.009424,13.9568,87.2
215.0,0.004650,13.9518,87.25
216.0,0.009561,13.9469,87.3
217.0,0.007179,13.9419,87.35
218.0,0.004242,13.9369,87.4
219.0,0.003695,13.9316,87.45
220.0,0.008348,13.9267,87.5
221.0,0.005304,13.9217,87.55
222.0,0.007239,13.9169,87.6
223.0,-0.000482,13.9116,87.65
224.0,0.005758,13.9067,87.7
225.0,0.000335,13.9016,87.75
226.0,0.007736,13.8966,87.8
227.0,0.011745,13.8916,87.85
228.0,0.005485,13.8866,87.9
229.0,0.005109,13.8816,87.95
230.0,0.008730,13.8766,88
231.0,0.005164,13.8713,88.05
232.0,0.008856,13.8666,88.1
233.0,0.003967,13.8613,88.15
234.0,0.008653,13.8566,88.2
235.0,0.003606,13.8512,88.25
236.0,0.008742,13.8462,88.3
237.0,0.006086,13.8413,88.35
238.0,0.005338,13.8365,88.4
239.0,0.006954,13.8312,88.45
240.0,0.008962,13.8262,88.5
241.0,0.007053,13.8213,88.55
242.0,0.008670,13.8162,88.6
243.0,0.001467,13.8109,88.65
244.0,0.002201,13.8059,88.7
245.0,0.009830,13.8010,88.75
246.0,0.001480,13.7959,88.8
247.0,0.002651,13.7909,88.85
248.0,0.004972,13.7859,88.9
249.0,0.015054,13.7811,88.95
250.0,0.012404,13.7759,89
251.0,0.001793,13.7707,89.05
252.0,0.005972,13.7659,89.1
253.0,0.008689,13.7612,89.15
254.0,0.011617,13.7559,89.2
255.0,0.005226,13.7509,89.25
256.0,0.004215,13.7457,89.3
257.0,0.008321,13.7409,89.35
258.0,0.005549,13.7362,89.4
259.0,0.004369,13.7306,89.45
260.0,0.001354,13.7259,89.5
261.0,0.002805,13.7207,89.55
262.0,0.006962,13.7162,89.6
263.0,0.006351,13.7106,89.65
264.0,0.002619,13.7056,89.7
265.0,0.001698,13.7006,89.75
266.0,0.002203,13.6956,89.8
267.0,0.002983,13.6906,89.85
268.0,0.003725,13.6856,89.9
269.0,0.005505,13.6806,89.95
270.0,0.007939,13.6756,90
271.0,0.006783,13.6706,90.05
272.0,0.006095,13.6656,90.1
273.0,0.003337,13.6606,90.15
274.0,0.002888,13.6556,90.2
275.0,0.003179,13.6501,90.25
276.0,0.002479,13.6453,90.3
277.0,0.004225,13.6406,90.35
278.0,0.000381,13.6354,90.4
279.0,0.006072,13.6301,90.45
280.0,0.010998,13.6253,90.5
281.0,0.007007,13.6203,90.55
282.0,0.004281,13.6153,90.6
283.0,0.001791,13.6101,90.65
284.0,0.008629,13.6053,90.7
285.0,0.008484,13.6003,90.75
286.0,0.003632,13.5953,90.8
287.0,0.007021,13.5901,90.85
288.0,0.002940,13.5850,90.9
289.0,0.006110,13.5801,90.95
290.0,0.010090,13.5753,91
291.0,0.007702,13.5700,91.05
292.0,0.003710,13.5650,91.1
293.0,0.002876,13.5600,91.15
294.0,0.006096,13.5550,91.2
295.0,0.005848,13.5497,91.25
296.0,0.005041,13.5450,91.3
297.0,0.005573,13.5397,91.35
298.0,0.002500,13.5350,91.4
299.0,0.004378,13.5297,91.45
300.0,0.007221,13.5249,91.5
301.0,0.003250,13.5201,91.55
302.0,0.001929,13.5151,91.6
303.0,0.002126,13.5097,91.65
304.0,0.004645,13.5048,91.7
305.0,0.002705,13.5000,91.75
306.0,0.003713,13.4948,91.8
307.0,0.005676,13.4897,91.85
308.0,0.003868,13.4847,91.9
309.0,0.002868,13.4797,91.95
310.0,0.001282,13.4747,92
311.0,-0.002385,13.4697,92.05
312.0,0.001847,13.4647,92.1
313.0,-0.000812,13.4597,92.15
314.0,-0.003222,13.4547,92.2
315.0,0.000982,13.4497,92.25
316.0,0.006479,13.4447,92.3
317.0,0.003413,13.4397,92.35
318.0,0.004813,13.4347,92.4
319.0,0.005086,13.4293,92.45
320.0,0.004461,13.4247,92.5
321.0,0.005558,13.4197,92.55
322.0,0.006695,13.4147,92.6
323.0,0.000784,13.4093,92.65
324.0,0.000974,13.4044,92.7
325.0,-0.001420,13.3994,92.75
326.0,0.000934,13.3944,92.8
327.0,-0.002884,13.3894,92.85
328.0,0.000016,13.3844,92.9
329.0,-0.000009,13.3794,92.95
330.0,0.002295,13.3744,93
331.0,0.001413,13.3691,93.05
332.0,0.001140,13.3642,93.1
333.0,0.001620,13.3593,93.15
334.0,0.002216,13.3542,93.2
335.0,0.003297,13.3491,93.25
336.0,0.002298,13.3442,93.3
337.0,0.005141,13.3393,93.35
338.0,0.003263,13.3341,93.4
339.0,0.001725,13.3290,93.45
340.0,0.000133,13.3241,93.5
341.0,-0.000550,13.3193,93.55
342.0,0.002496,13.3142,93.6
343.0,-0.000580,13.3091,93.65
344.0,0.002612,13.3043,93.7
345.0,-0.000222,13.2993,93.75
346.0,0.000612,13.2943,93.8
347.0,0.001120,13.2891,93.85
348.0,0.003524,13.2841,93.9
349.0,0.002778,13.2793,93.95
350.0,-0.004805,13.2743,94
351.0,0.002985,13.2689,94.05
352.0,0.001412,13.2639,94.1
353.0,0.005710,13.2591,94.15
354.0,0.003007,13.2540,94.2
355.0,0.001744,13.2489,94.25
356.0,-0.002030,13.2439,94.3
357.0,0.004277,13.2389,94.35
358.0,0.003431,13.2340,94.4
359.0,0.003545,13.2289,94.45
360.0,0.003565,13.2239,94.5
361.0,0.001229,13.2189,94.55
362.0,0.001984,13.2139,94.6
363.0,0.002158,13.2089,94.65
364.0,0.001652,13.2036,94.7
365.0,0.004859,13.1989,94.75
366.0,0.002914,13.1936,94.8
