Point No.,Normal Force [N],Gap [mm],Time [s]
1,2.080654,10.2887,67
2,2.079575,10.2887,67.01
3,2.079883,10.2887,67.01
4,2.080271,10.2887,67.02
5,2.081211,10.2887,67.02
6,2.076329,10.2887,67.03
7,2.085541,10.2887,67.03
8,2.074884,10.2893,67.04
9,2.058363,10.2893,67.04
10,2.048230,10.2918,67.05
11,2.039303,10.2918,67.05
12,2.039158,10.2943,67.06
13,1.997746,10.2943,67.06
14,2.015319,10.2993,67.07
15,1.938303,10.2993,67.07
16,1.961216,10.3037,67.08
17,1.886200,10.3036,67.08
18,1.957194,10.3087,67.09
19,1.842633,10.3086,67.09
20,1.895006,10.3136,67.1
21,1.796077,10.3136,67.1
22,1.883339,10.3192,67.11
23,1.743830,10.3192,67.11
24,1.821707,10.3236,67.12
25,1.719308,10.3235,67.12
26,1.810068,10.3286,67.13
27,1.677096,10.3285,67.13
28,1.764989,10.3335,67.14
29,1.638368,10.3335,67.14
30,1.738733,10.3391,67.15
31,1.601384,10.3391,67.15
32,1.699126,10.3435,67.16
33,1.574987,10.3434,67.16
34,1.672359,10.3485,67.17
35,1.528427,10.3484,67.17
36,1.627440,10.3535,67.18
37,1.490737,10.3534,67.18
38,1.595357,10.3591,67.19
39,1.455287,10.3590,67.19
40,1.557639,10.3634,67.2
41,1.429324,10.3633,67.2
42,1.522651,10.3684,67.21
43,1.389680,10.3683,67.21
44,1.479930,10.3734,67.22
45,1.351611,10.3733,67.22
46,1.456624,10.3790,67.23
47,1.316633,10.3789,67.23
48,1.422572,10.3833,67.24
49,1.295478,10.3833,67.24
50,1.384293,10.3883,67.25
51,1.265116,10.3882,67.25
52,1.350246,10.3933,67.26
53,1.230521,10.3932,67.26
54,1.329240,10.3989,67.27
55,1.198995,10.3988,67.27
56,1.291639,10.4033,67.28
57,1.173482,10.4032,67.28
58,1.258064,10.4082,67.29
59,1.140089,10.4082,67.29
60,1.220398,10.4132,67.3
61,1.109011,10.4132,67.3
62,1.203778,10.4188,67.31
63,1.073926,10.4188,67.31
64,1.173056,10.4232,67.32
65,1.060239,10.4231,67.32
66,1.141628,10.4288,67.33
67,1.030484,10.4287,67.33
68,1.110363,10.4332,67.34
69,1.000379,10.4331,67.34
70,1.095422,10.4388,67.35
71,0.968483,10.4387,67.35
72,1.065218,10.4431,67.36
73,0.954571,10.4431,67.36
74,1.027169,10.4487,67.37
75,0.919500,10.4487,67.37
76,0.995670,10.4531,67.38
77,0.892864,10.4530,67.38
78,0.978022,10.4587,67.39
79,0.867201,10.4586,67.39
80,0.955502,10.4631,67.4
81,0.852565,10.4630,67.4
82,0.921763,10.4687,67.41
83,0.826093,10.4686,67.41
84,0.893042,10.4730,67.42
85,0.802651,10.4730,67.42
86,0.873042,10.4786,67.43
87,0.777573,10.4786,67.43
88,0.850330,10.4830,67.44
89,0.762764,10.4830,67.44
90,0.814725,10.4886,67.45
91,0.731536,10.4886,67.45
92,0.791055,10.4930,67.46
93,0.712439,10.4929,67.46
94,0.776357,10.4986,67.47
95,0.688076,10.4985,67.47
