Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.000119,15.0205,1660
2.0,-0.000431,14.9704,1660
3.0,0.000130,14.9202,1661
4.0,-0.000401,14.8702,1661
5.0,0.000011,14.8201,1662
6.0,0.000101,14.7698,1662
7.0,-0.000343,14.7197,1663
8.0,-0.000002,14.6697,1663
9.0,-0.000321,14.6194,1664
10.0,-0.000371,14.5691,1664
11.0,0.000574,14.5189,1665
12.0,0.000463,14.4687,1665
13.0,-0.000950,14.4186,1666
14.0,-0.000882,14.3682,1666
15.0,-0.001099,14.3179,1667
16.0,-0.000441,14.2678,1667
17.0,-0.001107,14.2177,1668
18.0,-0.001721,14.1675,1668
19.0,-0.001352,14.1173,1669
20.0,-0.000825,14.0672,1669
21.0,-0.001977,14.0172,1670
22.0,-0.000149,13.9670,1670
23.0,-0.000490,13.9168,1671
24.0,0.000043,13.8667,1671
25.0,-0.000540,13.8167,1672
26.0,-0.000168,13.7666,1672
27.0,0.000242,13.7163,1673
28.0,-0.002197,13.6660,1673
29.0,-0.000232,13.6160,1674
30.0,-0.000925,13.5658,1674
31.0,-0.000401,13.5155,1675
32.0,-0.000248,13.4653,1675
33.0,-0.001396,13.4150,1676
34.0,-0.000864,13.3649,1676
35.0,-0.001892,13.3146,1677
36.0,-0.001198,13.2644,1677
37.0,-0.002297,13.2141,1678
38.0,-0.001272,13.1641,1678
39.0,-0.002272,13.1140,1679
40.0,-0.001320,13.0638,1679
41.0,-0.001290,13.0135,1680
42.0,-0.001458,12.9636,1680
43.0,-0.001278,12.9134,1681
44.0,-0.001601,12.8634,1681
45.0,-0.001097,12.8131,1682
46.0,-0.001631,12.7631,1682
47.0,-0.000721,12.7128,1683
48.0,-0.001610,12.6627,1683
49.0,-0.001563,12.6124,1684
50.0,-0.002489,12.5623,1684
51.0,-0.001509,12.5120,1685
52.0,-0.001991,12.4618,1685
53.0,-0.001972,12.4116,1686
54.0,-0.002563,12.3614,1686
55.0,-0.002868,12.3112,1687
56.0,-0.001963,12.2609,1687
57.0,-0.001674,12.2108,1688
58.0,-0.003449,12.1605,1688
59.0,-0.003881,12.1105,1689
60.0,-0.003288,12.0603,1689
61.0,-0.002789,12.0101,1690
62.0,0.015892,11.9601,1690
63.0,0.100628,11.9101,1691
64.0,0.241695,11.8601,1691
65.0,0.395485,11.8099,1692
66.0,0.579682,11.7598,1692
67.0,0.759702,11.7100,1693
68.0,0.920317,11.6598,1693
69.0,1.056012,11.6096,1694
70.0,1.172920,11.5595,1694
71.0,1.295903,11.5094,1695
72.0,1.442842,11.4593,1695
