Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,3.268034,10.5582,449.7
2.0,3.238941,10.5582,450.2
3.0,3.224736,10.5581,450.7
4.0,3.214059,10.5581,451.2
5.0,3.204887,10.5581,451.7
6.0,3.196599,10.5581,452.2
7.0,3.190752,10.5581,452.7
8.0,3.186503,10.5581,453.2
9.0,3.182668,10.5581,453.7
10.0,3.180383,10.5581,454.2
11.0,3.178082,10.5581,454.7
12.0,3.175567,10.5581,455.2
13.0,3.172833,10.5581,455.7
14.0,3.170799,10.5581,456.2
15.0,3.168380,10.5581,456.7
16.0,3.165773,10.5581,457.2
17.0,3.164172,10.5581,457.7
18.0,3.163306,10.5581,458.2
19.0,3.159912,10.5581,458.7
20.0,3.158261,10.5581,459.2
21.0,3.154665,10.5581,459.7
22.0,3.152921,10.5581,460.2
23.0,3.151820,10.5581,460.7
24.0,3.150917,10.5581,461.2
25.0,3.147074,10.5581,461.7
26.0,3.148265,10.5581,462.2
27.0,3.146537,10.5581,462.7
28.0,3.145773,10.5581,463.2
29.0,3.145621,10.5581,463.7
30.0,3.144431,10.5581,464.2
31.0,3.143326,10.5581,464.7
32.0,3.141386,10.5581,465.2
33.0,3.140752,10.5581,465.7
34.0,3.140582,10.5581,466.2
35.0,3.139217,10.5581,466.7
36.0,3.140468,10.5581,467.2
37.0,3.137886,10.5581,467.7
38.0,3.137480,10.5581,468.2
39.0,3.136695,10.5581,468.7
40.0,3.136248,10.5581,469.2
