Point No.,Normal Force [N],Gap [mm],Time [s]
1,3.290175,10.0776,99
2,3.294174,10.0776,99.01
3,3.289381,10.0776,99.01
4,3.286772,10.0776,99.02
5,3.289811,10.0776,99.02
6,3.288595,10.0776,99.03
7,3.298892,10.0776,99.03
8,3.275361,10.0782,99.04
9,3.274445,10.0782,99.04
10,3.263011,10.0794,99.05
11,3.245738,10.0794,99.05
12,3.236231,10.0832,99.06
13,3.195987,10.0831,99.06
14,3.195955,10.0881,99.07
15,3.145209,10.0881,99.07
16,3.164438,10.0937,99.08
17,3.118205,10.0937,99.08
18,3.121927,10.0981,99.09
19,3.061328,10.0981,99.09
20,3.071915,10.1031,99.1
21,3.035637,10.1030,99.1
22,3.026794,10.1080,99.11
23,2.996544,10.1080,99.11
24,2.978705,10.1136,99.12
25,2.967468,10.1136,99.12
26,2.931485,10.1180,99.13
27,2.914623,10.1180,99.13
28,2.889343,10.1230,99.14
29,2.887902,10.1230,99.14
30,2.795520,10.1279,99.15
31,2.851719,10.1279,99.15
32,2.753870,10.1329,99.16
33,2.809296,10.1329,99.16
34,2.716979,10.1379,99.17
35,2.762853,10.1379,99.17
36,2.683661,10.1428,99.18
37,2.732312,10.1429,99.18
38,2.642380,10.1478,99.19
39,2.689530,10.1478,99.19
40,2.591035,10.1534,99.2
41,2.664910,10.1534,99.2
42,2.559888,10.1578,99.21
43,2.624470,10.1578,99.21
44,2.519827,10.1627,99.22
45,2.594435,10.1628,99.22
46,2.482727,10.1677,99.23
47,2.551630,10.1678,99.23
48,2.436933,10.1727,99.24
49,2.518841,10.1727,99.24
50,2.407632,10.1777,99.25
51,2.474842,10.1777,99.25
52,2.378864,10.1827,99.26
53,2.449222,10.1827,99.26
54,2.341407,10.1876,99.27
55,2.412327,10.1877,99.27
56,2.301193,10.1926,99.28
57,2.381080,10.1927,99.28
58,2.270503,10.1976,99.29
59,2.334393,10.1976,99.29
60,2.234197,10.2026,99.3
61,2.310381,10.2026,99.3
62,2.198485,10.2075,99.31
63,2.279921,10.2076,99.31
64,2.156577,10.2125,99.32
65,2.245387,10.2126,99.32
66,2.128328,10.2175,99.33
67,2.195824,10.2175,99.33
68,2.099884,10.2225,99.34
69,2.178424,10.2225,99.34
70,2.066308,10.2275,99.35
71,2.144639,10.2275,99.35
72,2.033996,10.2325,99.36
73,2.116942,10.2325,99.36
74,2.011097,10.2374,99.37
75,2.068731,10.2375,99.37
76,1.991826,10.2424,99.38
77,2.051691,10.2425,99.38
78,1.954553,10.2474,99.39
79,2.020664,10.2474,99.39
80,1.915810,10.2524,99.4
81,2.001543,10.2524,99.4
82,1.884288,10.2574,99.41
83,1.961702,10.2574,99.41
84,1.858597,10.2623,99.42
85,1.939065,10.2624,99.42
86,1.824157,10.2667,99.43
87,1.905069,10.2667,99.43
88,1.783615,10.2723,99.44
89,1.874637,10.2724,99.44
90,1.752093,10.2773,99.45
91,1.831298,10.2773,99.45
92,1.728515,10.2823,99.46
93,1.808211,10.2823,99.46
94,1.689385,10.2866,99.47
95,1.770311,10.2867,99.47
96,1.646668,10.2922,99.48
97,1.745312,10.2923,99.48
98,1.617452,10.2972,99.49
99,1.704265,10.2973,99.49
100,1.589516,10.3022,99.5
101,1.683227,10.3022,99.5
102,1.553842,10.3065,99.51
103,1.639911,10.3066,99.51
104,1.522483,10.3121,99.52
