Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,3.659955,10.0447,1449
2.0,3.629591,10.0446,1449
3.0,3.610153,10.0446,1450
4.0,3.599127,10.0446,1450
5.0,3.588676,10.0446,1451
6.0,3.577531,10.0446,1451
7.0,3.569661,10.0446,1452
8.0,3.563491,10.0446,1452
9.0,3.558672,10.0446,1453
10.0,3.554632,10.0446,1453
11.0,3.551431,10.0446,1454
12.0,3.549570,10.0446,1454
13.0,3.546609,10.0446,1455
14.0,3.544885,10.0446,1455
15.0,3.542617,10.0446,1456
16.0,3.541541,10.0446,1456
17.0,3.539643,10.0446,1457
18.0,3.537657,10.0446,1457
19.0,3.535339,10.0446,1458
20.0,3.533941,10.0446,1458
21.0,3.531710,10.0446,1459
22.0,3.530096,10.0446,1459
23.0,3.529183,10.0446,1460
24.0,3.528075,10.0446,1460
25.0,3.526505,10.0446,1461
26.0,3.526018,10.0446,1461
27.0,3.524291,10.0446,1462
28.0,3.522849,10.0446,1462
29.0,3.521215,10.0446,1463
30.0,3.522372,10.0446,1463
31.0,3.520102,10.0446,1464
32.0,3.518959,10.0446,1464
33.0,3.517599,10.0446,1465
34.0,3.516792,10.0446,1465
35.0,3.516155,10.0446,1466
36.0,3.515493,10.0446,1466
37.0,3.515306,10.0446,1467
38.0,3.513780,10.0446,1467
39.0,3.512650,10.0446,1468
40.0,3.512294,10.0446,1468
