Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.007270,15.0197,3361
2.0,-0.007607,14.9695,3361
3.0,-0.007610,14.9195,3362
4.0,-0.007449,14.8694,3362
5.0,-0.007218,14.8193,3363
6.0,-0.008445,14.7690,3363
7.0,-0.008022,14.7188,3364
8.0,-0.007880,14.6688,3364
9.0,-0.007672,14.6185,3365
10.0,-0.007839,14.5683,3365
11.0,-0.007329,14.5180,3366
12.0,-0.007789,14.4680,3366
13.0,-0.008181,14.4176,3367
14.0,-0.008480,14.3675,3367
15.0,-0.007674,14.3172,3368
16.0,-0.007408,14.2671,3368
17.0,-0.007771,14.2169,3369
18.0,-0.007997,14.1667,3369
19.0,-0.008081,14.1165,3370
20.0,-0.007727,14.0665,3370
21.0,-0.008120,14.0163,3371
22.0,-0.007766,13.9662,3371
23.0,-0.007348,13.9160,3372
24.0,-0.007626,13.8660,3372
25.0,-0.007985,13.8159,3373
26.0,-0.008194,13.7657,3373
27.0,-0.008421,13.7155,3374
28.0,-0.008198,13.6654,3374
29.0,-0.008484,13.6153,3375
30.0,-0.007819,13.5649,3375
31.0,-0.008323,13.5146,3376
32.0,-0.008514,13.4644,3376
33.0,-0.008000,13.4143,3377
34.0,-0.008631,13.3640,3377
35.0,-0.008520,13.3137,3378
36.0,-0.008660,13.2636,3378
37.0,-0.008710,13.2135,3379
38.0,-0.008031,13.1633,3379
39.0,-0.008889,13.1131,3380
40.0,-0.007782,13.0629,3380
41.0,-0.008102,13.0129,3381
42.0,-0.008573,12.9628,3381
43.0,-0.008349,12.9126,3382
44.0,-0.008386,12.8624,3382
45.0,-0.008543,12.8124,3383
46.0,-0.008355,12.7623,3383
47.0,-0.008969,12.7121,3384
48.0,-0.008276,12.6618,3384
49.0,-0.008867,12.6116,3385
50.0,-0.009408,12.5615,3385
51.0,-0.008745,12.5112,3386
52.0,-0.009020,12.4609,3386
53.0,-0.008785,12.4106,3387
54.0,-0.009053,12.3606,3387
55.0,-0.009408,12.3104,3388
56.0,-0.009207,12.2602,3388
57.0,-0.009469,12.2099,3389
58.0,-0.010371,12.1599,3389
59.0,-0.010932,12.1097,3390
60.0,-0.011095,12.0595,3390
61.0,-0.011324,12.0093,3391
62.0,-0.001606,11.9593,3391
63.0,0.062217,11.9092,3392
64.0,0.193950,11.8593,3392
65.0,0.346535,11.8091,3393
66.0,0.517590,11.7590,3393
67.0,0.703542,11.7091,3394
68.0,0.863824,11.6589,3394
69.0,1.002262,11.6088,3395
70.0,1.115162,11.5586,3395
71.0,1.226896,11.5085,3396
72.0,1.370669,11.4584,3396
73.0,1.580551,11.4083,3397
74.0,1.859212,11.3582,3397
75.0,2.172208,11.3082,3398
76.0,2.489767,11.2582,3398
77.0,2.848230,11.2083,3399
78.0,3.221916,11.1582,3399
79.0,3.615270,11.1084,3400
