Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,-0.001051,15.0235,4386
2.0,-0.001432,14.9733,4386
3.0,-0.001154,14.9234,4387
4.0,-0.002098,14.8732,4387
5.0,-0.002412,14.8230,4388
6.0,-0.001230,14.7728,4388
7.0,-0.001516,14.7228,4389
8.0,-0.000885,14.6726,4389
9.0,-0.001824,14.6223,4390
10.0,-0.002231,14.5721,4390
11.0,-0.001883,14.5218,4391
12.0,-0.000979,14.4717,4391
13.0,-0.000711,14.4215,4392
14.0,-0.001014,14.3711,4392
15.0,-0.002398,14.3208,4393
16.0,-0.000992,14.2709,4393
17.0,-0.001775,14.2206,4394
18.0,-0.001750,14.1704,4394
19.0,-0.001858,14.1202,4395
20.0,-0.002392,14.0703,4395
21.0,-0.002727,14.0201,4396
22.0,-0.002074,13.9700,4396
23.0,-0.002549,13.9197,4397
24.0,-0.001763,13.8698,4397
25.0,-0.001986,13.8196,4398
26.0,-0.002764,13.7694,4398
27.0,-0.003532,13.7192,4399
28.0,-0.002046,13.6691,4399
29.0,-0.002365,13.6189,4400
30.0,-0.002259,13.5688,4400
31.0,-0.001996,13.5184,4401
32.0,-0.001763,13.4682,4401
33.0,-0.000892,13.4180,4402
34.0,-0.001816,13.3679,4402
35.0,-0.002084,13.3176,4403
36.0,-0.000979,13.2673,4403
37.0,-0.002428,13.2173,4404
38.0,-0.001227,13.1670,4404
39.0,-0.002503,13.1168,4405
40.0,-0.001629,13.0667,4405
41.0,-0.001536,13.0166,4406
42.0,-0.001943,12.9665,4406
43.0,-0.002251,12.9163,4407
44.0,-0.002606,12.8662,4407
45.0,-0.002126,12.8163,4408
46.0,-0.003066,12.7660,4408
47.0,-0.002859,12.7158,4409
48.0,-0.002611,12.6657,4409
49.0,-0.002227,12.6154,4410
50.0,-0.002981,12.5653,4410
51.0,-0.003248,12.5150,4411
52.0,-0.002547,12.4648,4411
53.0,-0.003398,12.4145,4412
54.0,-0.003205,12.3644,4412
55.0,-0.004291,12.3141,4413
56.0,-0.004717,12.2639,4413
57.0,-0.005270,12.2137,4414
58.0,-0.005710,12.1637,4414
59.0,-0.006200,12.1134,4415
60.0,-0.006111,12.0633,4415
61.0,-0.006200,12.0131,4416
62.0,0.001516,11.9631,4416
63.0,0.057004,11.9130,4417
64.0,0.189857,11.8629,4417
65.0,0.348377,11.8129,4418
66.0,0.527699,11.7630,4418
67.0,0.720523,11.7129,4419
68.0,0.894020,11.6628,4419
69.0,1.044781,11.6126,4420
70.0,1.161889,11.5624,4420
71.0,1.269962,11.5123,4421
72.0,1.391717,11.4622,4421
73.0,1.577933,11.4119,4422
74.0,1.827531,11.3619,4422
75.0,2.117174,11.3120,4423
76.0,2.391579,11.2619,4423
77.0,2.686387,11.2118,4424
78.0,2.968888,11.1618,4424
79.0,3.256562,11.1120,4425
80.0,3.576136,11.0620,4425
81.0,3.943062,11.0121,4426
