Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.635989,10.9215,1149
2.0,4.605498,10.9215,1150
3.0,4.586607,10.9215,1150
4.0,4.575621,10.9215,1151
5.0,4.566541,10.9214,1151
6.0,4.559423,10.9214,1152
7.0,4.551757,10.9214,1152
8.0,4.546693,10.9214,1153
9.0,4.541211,10.9214,1153
10.0,4.537636,10.9214,1154
11.0,4.534308,10.9214,1154
12.0,4.531207,10.9214,1155
13.0,4.528393,10.9214,1155
14.0,4.525761,10.9214,1156
15.0,4.524471,10.9214,1156
16.0,4.522776,10.9214,1157
17.0,4.520798,10.9214,1157
18.0,4.519269,10.9214,1158
19.0,4.517733,10.9214,1158
20.0,4.515891,10.9214,1159
21.0,4.514120,10.9214,1159
22.0,4.513285,10.9214,1160
23.0,4.510578,10.9214,1160
24.0,4.509420,10.9214,1161
25.0,4.509741,10.9214,1161
26.0,4.507924,10.9214,1162
27.0,4.505699,10.9214,1162
28.0,4.504578,10.9214,1163
29.0,4.505194,10.9214,1163
30.0,4.503285,10.9214,1164
31.0,4.502465,10.9214,1164
32.0,4.502168,10.9214,1165
33.0,4.501115,10.9214,1165
34.0,4.497946,10.9214,1166
35.0,4.497210,10.9214,1166
36.0,4.495366,10.9214,1167
37.0,4.494635,10.9214,1167
38.0,4.495339,10.9214,1168
39.0,4.493396,10.9214,1168
40.0,4.493256,10.9214,1169
