Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,3.991962,11.0411,742.3
2.0,3.990160,11.0419,742.3
3.0,3.962633,11.0487,742.3
4.0,3.803534,11.0656,742.4
5.0,3.675651,11.0788,742.4
6.0,3.610296,11.0855,742.4
7.0,3.453015,11.1037,742.4
8.0,3.391059,11.1099,742.5
9.0,3.239764,11.1282,742.5
10.0,3.179091,11.1352,742.5
11.0,3.035213,11.1528,742.5
12.0,2.979773,11.1595,742.6
13.0,2.839737,11.1779,742.6
14.0,2.783870,11.1850,742.6
15.0,2.647645,11.2026,742.6
16.0,2.596944,11.2092,742.7
17.0,2.462766,11.2277,742.7
18.0,2.412734,11.2343,742.7
19.0,2.284598,11.2524,742.7
20.0,2.240935,11.2590,742.8
21.0,2.125971,11.2773,742.8
22.0,2.077013,11.2839,742.8
23.0,1.991124,11.2964,742.8
24.0,1.862231,11.3138,742.9
25.0,1.811897,11.3213,742.9
26.0,1.684279,11.3387,742.9
27.0,1.634113,11.3453,742.9
28.0,1.507833,11.3640,743
29.0,1.459238,11.3711,743
30.0,1.333896,11.3885,743
31.0,1.285539,11.3960,743
32.0,1.168626,11.4134,743.1
33.0,1.121224,11.4209,743.1
34.0,0.999909,11.4381,743.1
35.0,0.951969,11.4458,743.1
36.0,0.837224,11.4632,743.2
37.0,0.793672,11.4707,743.2
38.0,0.677869,11.4876,743.2
39.0,0.632759,11.4956,743.2
40.0,0.508622,11.5130,743.3
41.0,0.466775,11.5205,743.3
42.0,0.367487,11.5379,743.3
43.0,0.331865,11.5454,743.3
44.0,0.237870,11.5623,743.4
45.0,0.200412,11.5688,743.4
46.0,0.113005,11.5878,743.4
47.0,0.076229,11.5953,743.4
48.0,-0.012949,11.6119,743.5
49.0,-0.041584,11.6185,743.5
50.0,-0.119999,11.6368,743.5
51.0,-0.156005,11.6443,743.5
52.0,-0.251281,11.6617,743.6
53.0,-0.285646,11.6684,743.6
54.0,-0.370718,11.6867,743.6
55.0,-0.403266,11.6933,743.6
56.0,-0.481378,11.7116,743.7
57.0,-0.512672,11.7182,743.7
58.0,-0.594512,11.7368,743.7
59.0,-0.623696,11.7433,743.7
60.0,-0.700878,11.7615,743.8
61.0,-0.731719,11.7681,743.8
62.0,-0.805678,11.7864,743.8
63.0,-0.834709,11.7930,743.8
64.0,-0.905351,11.8107,743.9
65.0,-0.934892,11.8179,743.9
66.0,-1.006129,11.8363,743.9
67.0,-1.033051,11.8424,743.9
68.0,-1.091488,11.8612,744
69.0,-1.115653,11.8679,744
70.0,-1.163567,11.8856,744
71.0,-1.184115,11.8922,744
72.0,-1.236463,11.9105,744.1
73.0,-1.257384,11.9172,744.1
74.0,-1.316673,11.9355,744.1
75.0,-1.334977,11.9427,744.1
76.0,-1.384162,11.9604,744.2
77.0,-1.400581,11.9671,744.2
78.0,-1.449457,11.9854,744.2
79.0,-1.470354,11.9920,744.2
80.0,-1.522101,12.0104,744.3
81.0,-1.543689,12.0170,744.3
82.0,-1.594458,12.0353,744.3
83.0,-1.608597,12.0420,744.3
84.0,-1.634464,12.0603,744.4
85.0,-1.654451,12.0669,744.4
86.0,-1.703678,12.0852,744.4
87.0,-1.722602,12.0919,744.4
88.0,-1.769438,12.1096,744.5
89.0,-1.789999,12.1168,744.5
90.0,-1.834248,12.1352,744.5
91.0,-1.848775,12.1418,744.5
92.0,-1.884093,12.1598,744.6
93.0,-1.891805,12.1662,744.6
94.0,-1.918688,12.1848,744.6
95.0,-1.931725,12.1918,744.6
96.0,-1.968273,12.2095,744.7
97.0,-1.974668,12.2228,744.7
98.0,-1.965545,12.2295,744.7
99.0,-1.964085,12.2478,744.7
100.0,-1.968985,12.2545,744.8
101.0,-1.985438,12.2729,744.8
102.0,-1.994435,12.2801,744.8
103.0,-2.028434,12.2978,744.8
104.0,-2.040181,12.3044,744.9
105.0,-2.034359,12.3228,744.9
