Point No.,Normal Force [N],Gap [mm],Time [s]
1,4.028020,11.0199,400.2
2,4.024452,11.0199,400.2
3,4.020823,11.0199,400.2
4,4.025279,11.0199,400.3
5,4.026935,11.0199,400.3
6,4.022759,11.0199,400.3
7,4.018461,11.0199,400.3
8,4.022516,11.0205,400.3
9,4.007650,11.0205,400.3
10,4.011844,11.0205,400.3
11,3.988773,11.0224,400.3
12,3.986846,11.0224,400.3
13,3.967725,11.0261,400.3
14,3.939874,11.0261,400.3
15,3.948669,11.0311,400.3
16,3.838569,11.0360,400.3
17,3.893842,11.0360,400.3
18,3.810372,11.0410,400.3
19,3.812037,11.0410,400.3
20,3.752682,11.0453,400.3
21,3.780851,11.0454,400.3
22,3.712013,11.0509,400.3
23,3.729067,11.0509,400.3
24,3.646724,11.0553,400.4
25,3.699509,11.0553,400.4
26,3.624199,11.0603,400.4
27,3.637943,11.0603,400.4
28,3.580098,11.0652,400.4
29,3.590971,11.0652,400.4
30,3.596400,11.0652,400.4
31,3.546061,11.0708,400.4
32,3.561665,11.0709,400.4
33,3.521969,11.0758,400.4
34,3.503736,11.0758,400.4
35,3.475736,11.0808,400.4
36,3.481979,11.0808,400.4
37,3.422633,11.0851,400.4
38,3.432439,11.0852,400.4
39,3.381104,11.0907,400.4
40,3.403245,11.0908,400.4
41,3.346898,11.0951,400.4
42,3.351663,11.0951,400.4
43,3.313931,11.1001,400.4
44,3.312663,11.1001,400.5
45,3.259790,11.1050,400.5
46,3.279887,11.1051,400.5
47,3.231401,11.1107,400.5
48,3.250250,11.1107,400.5
49,3.202590,11.1150,400.5
50,3.207931,11.1150,400.5
51,3.160543,11.1200,400.5
52,3.175605,11.1200,400.5
53,3.124461,11.1250,400.5
54,3.134987,11.1250,400.5
55,3.088468,11.1306,400.5
56,3.116269,11.1306,400.5
57,3.065943,11.1349,400.5
58,3.068801,11.1349,400.5
59,3.025546,11.1399,400.5
60,3.047449,11.1399,400.5
61,2.988282,11.1449,400.5
62,3.009838,11.1449,400.5
63,2.962964,11.1499,400.5
64,2.988763,11.1499,400.6
65,2.935764,11.1549,400.6
66,2.942913,11.1549,400.6
67,2.896231,11.1598,400.6
68,2.921310,11.1598,400.6
69,2.863222,11.1648,400.6
70,2.890185,11.1648,400.6
71,2.830788,11.1698,400.6
72,2.859939,11.1698,400.6
73,2.806416,11.1748,400.6
74,2.815015,11.1748,400.6
75,2.769843,11.1798,400.6
76,2.793351,11.1798,400.6
77,2.739958,11.1847,400.6
78,2.761955,11.1848,400.6
79,2.706327,11.1897,400.6
80,2.739359,11.1897,400.6
81,2.686514,11.1947,400.6
82,2.690666,11.1947,400.6
83,2.656512,11.1997,400.6
84,2.676549,11.1997,400.7
85,2.620281,11.2047,400.7
86,2.642277,11.2047,400.7
87,2.590769,11.2097,400.7
88,2.627155,11.2097,400.7
89,2.569909,11.2146,400.7
90,2.583844,11.2146,400.7
91,2.543311,11.2203,400.7
92,2.564503,11.2203,400.7
93,2.507145,11.2246,400.7
94,2.529268,11.2246,400.7
95,2.473646,11.2302,400.7
96,2.508665,11.2302,400.7
97,2.449147,11.2346,400.7
98,2.460893,11.2346,400.7
99,2.420950,11.2396,400.7
100,2.447505,11.2396,400.7
101,2.389030,11.2445,400.7
102,2.408291,11.2445,400.7
103,2.362694,11.2495,400.7
104,2.398069,11.2495,400.8
105,2.336263,11.2545,400.8
106,2.348525,11.2545,400.8
107,2.304545,11.2595,400.8
108,2.335955,11.2595,400.8
109,2.272200,11.2645,400.8
110,2.299060,11.2645,400.8
111,2.239233,11.2701,400.8
112,2.277788,11.2701,400.8
113,2.225055,11.2744,400.8
