Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,5.552631,10.8945,3134
2.0,5.518604,10.8945,3134
3.0,5.499579,10.8945,3135
4.0,5.485812,10.8945,3135
5.0,5.476934,10.8945,3136
6.0,5.470160,10.8945,3136
7.0,5.463318,10.8945,3137
8.0,5.457999,10.8945,3137
9.0,5.452846,10.8945,3138
10.0,5.447912,10.8945,3138
11.0,5.443219,10.8945,3139
12.0,5.438389,10.8945,3139
13.0,5.435491,10.8945,3140
14.0,5.432133,10.8945,3140
15.0,5.430173,10.8945,3141
16.0,5.428412,10.8945,3141
17.0,5.425910,10.8945,3142
18.0,5.424860,10.8945,3142
19.0,5.423457,10.8945,3143
20.0,5.422145,10.8945,3143
21.0,5.420409,10.8945,3144
22.0,5.418562,10.8944,3144
23.0,5.417904,10.8944,3145
24.0,5.416536,10.8944,3145
25.0,5.414813,10.8944,3146
26.0,5.413963,10.8944,3146
27.0,5.412214,10.8944,3147
28.0,5.411481,10.8944,3147
29.0,5.410546,10.8944,3148
30.0,5.409963,10.8944,3148
31.0,5.408576,10.8944,3149
32.0,5.407268,10.8944,3149
33.0,5.406380,10.8944,3150
34.0,5.406086,10.8944,3150
35.0,5.405044,10.8944,3151
36.0,5.404212,10.8944,3151
37.0,5.402287,10.8944,3152
38.0,5.402110,10.8944,3152
39.0,5.401516,10.8944,3153
40.0,5.400087,10.8944,3153
