Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,5.952703,10.8466,3373
2.0,5.933417,10.8488,3373
3.0,5.836154,10.8595,3373
4.0,5.684999,10.8704,3373
5.0,5.519977,10.8839,3373
6.0,5.351862,10.8961,3373
7.0,5.205455,10.9089,3373
8.0,5.054003,10.9209,3373
9.0,4.918449,10.9333,3373
10.0,4.774858,10.9457,3373
11.0,4.647756,10.9582,3373
12.0,4.509954,10.9707,3373
13.0,4.390747,10.9830,3373
14.0,4.262889,10.9954,3373
15.0,4.147848,11.0079,3373
16.0,4.035359,11.0203,3373
17.0,3.938726,11.0327,3373
18.0,3.829803,11.0452,3373
19.0,3.734582,11.0576,3373
20.0,3.623786,11.0701,3373
21.0,3.526536,11.0825,3373
22.0,3.470636,11.0887,3373
23.0,3.328641,11.1072,3373
24.0,3.234881,11.1190,3373
25.0,3.136896,11.1316,3373
26.0,3.049796,11.1435,3373
27.0,2.951679,11.1567,3373
28.0,2.863523,11.1684,3373
29.0,2.773860,11.1814,3373
30.0,2.685565,11.1930,3373
31.0,2.596660,11.2063,3373
32.0,2.511621,11.2184,3373
33.0,2.423411,11.2312,3374
34.0,2.340692,11.2428,3374
35.0,2.257144,11.2561,3374
36.0,2.184351,11.2680,3374
37.0,2.104558,11.2815,3374
38.0,2.017129,11.2926,3374
39.0,1.925700,11.3063,3374
40.0,1.839969,11.3178,3374
41.0,1.751320,11.3308,3374
42.0,1.668391,11.3424,3374
43.0,1.575152,11.3557,3374
44.0,1.492382,11.3673,3374
45.0,1.400819,11.3810,3374
46.0,1.318392,11.3922,3374
47.0,1.236110,11.4061,3374
48.0,1.154175,11.4173,3374
49.0,1.071450,11.4304,3374
50.0,0.991044,11.4420,3374
51.0,0.904103,11.4559,3374
52.0,0.829983,11.4669,3374
53.0,0.749317,11.4806,3374
54.0,0.671532,11.4919,3374
55.0,0.593703,11.5051,3374
56.0,0.509244,11.5168,3374
57.0,0.431322,11.5300,3374
58.0,0.364413,11.5417,3374
59.0,0.304422,11.5550,3374
60.0,0.243866,11.5661,3374
61.0,0.176027,11.5803,3374
62.0,0.113834,11.5915,3374
63.0,0.048063,11.6048,3374
64.0,-0.010339,11.6159,3374
65.0,-0.075503,11.6297,3374
66.0,-0.134256,11.6414,3374
67.0,-0.189868,11.6538,3374
68.0,-0.237614,11.6658,3374
69.0,-0.298151,11.6796,3374
70.0,-0.355711,11.6912,3374
71.0,-0.421564,11.7045,3374
72.0,-0.471428,11.7160,3374
73.0,-0.526561,11.7295,3375
74.0,-0.580528,11.7411,3375
75.0,-0.635603,11.7536,3375
76.0,-0.683639,11.7652,3375
77.0,-0.736012,11.7785,3375
78.0,-0.784029,11.7902,3375
79.0,-0.827241,11.8035,3375
80.0,-0.865402,11.8151,3375
81.0,-0.909949,11.8278,3375
82.0,-0.952083,11.8398,3375
83.0,-1.000314,11.8534,3375
84.0,-1.042596,11.8647,3375
85.0,-1.084622,11.8782,3375
86.0,-1.121375,11.8897,3375
87.0,-1.158241,11.9028,3375
88.0,-1.188622,11.9149,3375
89.0,-1.223311,11.9276,3375
90.0,-1.254429,11.9393,3375
91.0,-1.286763,11.9526,3375
92.0,-1.319001,11.9642,3375
93.0,-1.349232,11.9781,3375
94.0,-1.375076,11.9892,3375
95.0,-1.406153,12.0025,3375
96.0,-1.432290,12.0142,3375
97.0,-1.460879,12.0275,3375
98.0,-1.489691,12.0400,3375
99.0,-1.508017,12.0524,3375
100.0,-1.535316,12.0649,3375
101.0,-1.563625,12.0774,3375
102.0,-1.594325,12.0899,3375
103.0,-1.619748,12.1024,3375
104.0,-1.633975,12.1149,3375
