Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.26,14.530,4707
2.0,4.23,14.530,4708
3.0,4.22,14.530,4708
4.0,4.21,14.530,4709
5.0,4.21,14.530,4709
6.0,4.20,14.530,4710
7.0,4.19,14.530,4710
8.0,4.19,14.530,4711
9.0,4.18,14.530,4711
10.0,4.18,14.530,4712
11.0,4.18,14.530,4712
12.0,4.17,14.530,4713
13.0,4.17,14.530,4713
14.0,4.17,14.530,4714
15.0,4.17,14.530,4714
16.0,4.17,14.530,4715
17.0,4.16,14.530,4715
18.0,4.16,14.530,4716
19.0,4.16,14.530,4716
20.0,4.16,14.530,4717
21.0,4.16,14.530,4717
22.0,4.16,14.530,4718
23.0,4.16,14.530,4718
24.0,4.15,14.530,4719
25.0,4.15,14.530,4719
26.0,4.15,14.530,4720
27.0,4.15,14.530,4720
28.0,4.15,14.530,4721
29.0,4.15,14.530,4721
30.0,4.15,14.530,4722
31.0,4.15,14.530,4722
32.0,4.15,14.530,4723
33.0,4.14,14.530,4723
34.0,4.14,14.530,4724
35.0,4.14,14.530,4724
36.0,4.14,14.530,4725
37.0,4.14,14.530,4725
38.0,4.14,14.530,4726
39.0,4.14,14.530,4726
40.0,4.14,14.530,4727
