Point No.,Normal Force [N],Gap [mm],Time [s]
1,4.155329,11.2187,386.2310
2,4.155375,11.2187,386.2360
3,4.155553,11.2187,386.2410
4,4.155646,11.2187,386.2460
5,4.156030,11.2187,386.2510
6,4.155965,11.2187,386.2560
7,4.155123,11.2187,386.2610
8,4.155095,11.2187,386.2660
9,4.154997,11.2193,386.2700
10,4.152714,11.2193,386.2750
11,4.148642,11.2212,386.2800
12,4.137644,11.2212,386.2850
13,4.128941,11.2243,386.2900
14,4.110732,11.2243,386.2950
15,4.093852,11.2287,386.3000
16,4.071415,11.2287,386.3060
17,4.043623,11.2336,386.3110
18,4.028155,11.2336,386.3160
19,3.995530,11.2392,386.3210
20,3.979921,11.2392,386.3260
21,3.946733,11.2436,386.3310
22,3.929072,11.2436,386.3360
23,3.894768,11.2485,386.3410
24,3.878855,11.2485,386.3460
25,3.843591,11.2535,386.3510
26,3.826037,11.2535,386.3560
27,3.789947,11.2591,386.3610
28,3.774739,11.2591,386.3660
29,3.741380,11.2635,386.3710
30,3.724097,11.2634,386.3750
31,3.699799,11.2684,386.3800
32,3.672303,11.2684,386.3850
33,3.649423,11.2734,386.3900
34,3.623493,11.2734,386.3950
35,3.600332,11.2790,386.4000
36,3.576236,11.2790,386.4050
37,3.554609,11.2833,386.4100
38,3.528371,11.2833,386.4150
39,3.504690,11.2883,386.4200
40,3.480066,11.2883,386.4250
41,3.458840,11.2933,386.4300
42,3.433692,11.2933,386.4350
43,3.411345,11.2989,386.4400
44,3.388810,11.2989,386.4450
45,3.366813,11.3032,386.4500
46,3.340842,11.3032,386.4550
47,3.317868,11.3082,386.4600
48,3.293267,11.3082,386.4650
49,3.271345,11.3132,386.4700
50,3.246566,11.3132,386.4750
51,3.224270,11.3188,386.4800
52,3.201913,11.3188,386.4850
53,3.181501,11.3231,386.4900
54,3.157013,11.3231,386.4950
55,3.135015,11.3281,386.5000
56,3.111527,11.3281,386.5050
57,3.091751,11.3331,386.5100
58,3.068207,11.3331,386.5150
59,3.046884,11.3387,386.5200
60,3.024340,11.3387,386.5250
61,3.004167,11.3430,386.5300
62,2.980847,11.3430,386.5350
63,2.960459,11.3480,386.5400
64,2.938939,11.3480,386.5450
65,2.919046,11.3530,386.5500
66,2.895081,11.3530,386.5550
67,2.873327,11.3586,386.5600
68,2.850630,11.3586,386.5650
69,2.830521,11.3629,386.5700
70,2.808398,11.3629,386.5750
71,2.788333,11.3679,386.5800
72,2.766570,11.3679,386.5850
73,2.747497,11.3729,386.5900
74,2.724307,11.3729,386.5950
75,2.704223,11.3785,386.6000
76,2.682637,11.3785,386.6050
77,2.663895,11.3828,386.6100
78,2.641581,11.3828,386.6150
79,2.621908,11.3878,386.6200
80,2.600599,11.3878,386.6250
81,2.581917,11.3928,386.6300
82,2.558667,11.3928,386.6350
83,2.538204,11.3984,386.6400
84,2.515633,11.3984,386.6450
