Point No.,Normal Force [N],Gap [mm],Time [s]
1,4.152388,11.2168,123.0910
2,4.153150,11.2168,123.0960
3,4.152416,11.2168,123.1010
4,4.151672,11.2168,123.1060
5,4.151283,11.2168,123.1110
6,4.150769,11.2168,123.1160
7,4.150157,11.2174,123.1210
8,4.150414,11.2174,123.1260
9,4.150634,11.2174,123.1300
10,4.148193,11.2174,123.1350
11,4.143639,11.2199,123.1400
12,4.130947,11.2199,123.1450
13,4.121800,11.2231,123.1500
14,4.100758,11.2230,123.1550
15,4.083863,11.2274,123.1600
16,4.059331,11.2274,123.1660
17,4.027913,11.2330,123.1710
18,4.012462,11.2330,123.1760
19,3.982114,11.2373,123.1810
20,3.965855,11.2373,123.1860
21,3.932991,11.2423,123.1910
22,3.916657,11.2423,123.1960
23,3.883105,11.2473,123.2010
24,3.865724,11.2473,123.2060
25,3.828586,11.2529,123.2110
26,3.813000,11.2529,123.2160
27,3.777634,11.2572,123.2210
28,3.760435,11.2572,123.2260
29,3.724999,11.2622,123.2310
30,3.710021,11.2622,123.2350
31,3.687323,11.2672,123.2400
32,3.659355,11.2672,123.2450
33,3.634216,11.2728,123.2500
34,3.608894,11.2728,123.2550
35,3.586135,11.2771,123.2600
36,3.560889,11.2771,123.2650
37,3.537933,11.2821,123.2700
38,3.512925,11.2821,123.2750
39,3.489928,11.2871,123.2800
40,3.464896,11.2870,123.2850
41,3.441118,11.2927,123.2900
42,3.418223,11.2926,123.2950
43,3.396306,11.2970,123.3000
44,3.372481,11.2970,123.3050
45,3.348618,11.3020,123.3100
46,3.323783,11.3020,123.3150
47,3.301581,11.3069,123.3200
48,3.276362,11.3069,123.3250
49,3.252574,11.3125,123.3300
50,3.229063,11.3125,123.3350
51,3.207650,11.3169,123.3400
52,3.184461,11.3169,123.3450
53,3.162469,11.3219,123.3500
54,3.140271,11.3219,123.3550
55,3.119748,11.3268,123.3600
56,3.096559,11.3268,123.3650
57,3.073982,11.3324,123.3700
58,3.050882,11.3324,123.3750
59,3.028731,11.3368,123.3800
60,3.005686,11.3368,123.3850
61,2.984802,11.3418,123.3900
62,2.964849,11.3417,123.3950
63,2.944920,11.3467,123.4000
64,2.922455,11.3467,123.4050
65,2.900281,11.3523,123.4100
66,2.877377,11.3523,123.4150
67,2.856441,11.3567,123.4200
68,2.833565,11.3567,123.4250
69,2.812434,11.3617,123.4300
70,2.791410,11.3616,123.4350
71,2.771456,11.3666,123.4400
72,2.748889,11.3666,123.4450
73,2.727786,11.3722,123.4500
74,2.706210,11.3722,123.4550
75,2.685378,11.3766,123.4600
76,2.662333,11.3766,123.4650
77,2.641852,11.3816,123.4700
78,2.621366,11.3815,123.4750
79,2.601637,11.3865,123.4800
80,2.578780,11.3865,123.4850
81,2.557858,11.3921,123.4900
82,2.536269,11.3921,123.4950
83,2.517175,11.3965,123.5000
84,2.496736,11.3965,123.5050
85,2.477026,11.4015,123.5100
86,2.455160,11.4014,123.5150
87,2.435689,11.4064,123.5200
88,2.412032,11.4064,123.5250
89,2.391924,11.4120,123.5300
90,2.371775,11.4120,123.5350
91,2.354903,11.4164,123.5400
92,2.334543,11.4164,123.5450
93,2.316731,11.4214,123.5500
94,2.296834,11.4214,123.5550
95,2.279275,11.4263,123.5600
96,2.258018,11.4263,123.5650
97,2.239926,11.4319,123.5700
98,2.220342,11.4319,123.5750
99,2.204097,11.4363,123.5800
100,2.184204,11.4363,123.5850
101,2.167075,11.4413,123.5900
102,2.148356,11.4413,123.5950
103,2.131728,11.4463,123.6000
104,2.111626,11.4462,123.6050
105,2.093827,11.4519,123.6100
106,2.074838,11.4518,123.6150
107,2.057863,11.4562,123.6200
108,2.035506,11.4562,123.6250
109,2.015945,11.4612,123.6300
110,1.994267,11.4612,123.6350
111,1.976283,11.4662,123.6400
112,1.954253,11.4662,123.6450
113,1.935848,11.4718,123.6500
114,1.914941,11.4718,123.6550
115,1.897101,11.4761,123.6600
116,1.874576,11.4761,123.6650
117,1.855862,11.4817,123.6700
118,1.834445,11.4817,123.6750
119,1.817452,11.4861,123.6800
120,1.795076,11.4861,123.6850
121,1.776241,11.4917,123.6900
