Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,0.003629,14.9916,131.8210
2.0,0.003619,14.9414,132.3210
3.0,0.003887,14.8914,132.8210
4.0,0.003521,14.8412,133.3210
5.0,0.003809,14.7911,133.8210
6.0,0.003937,14.7411,134.3210
7.0,0.003802,14.6908,134.8210
8.0,0.003279,14.6407,135.3210
9.0,0.003700,14.5905,135.8210
10.0,0.003381,14.5403,136.3210
11.0,0.003780,14.4901,136.8210
12.0,0.004185,14.4398,137.3210
13.0,0.004163,14.3895,137.8210
14.0,0.004616,14.3394,138.3210
15.0,0.005463,14.2893,138.8210
16.0,0.004029,14.2390,139.3210
17.0,0.004373,14.1886,139.8210
18.0,0.003983,14.1386,140.3210
19.0,0.004323,14.0885,140.8210
20.0,0.003537,14.0383,141.3210
21.0,0.004434,13.9881,141.8210
22.0,0.004325,13.9379,142.3210
23.0,0.004173,13.8880,142.8210
24.0,0.003825,13.8378,143.3210
25.0,0.004550,13.7877,143.8210
26.0,0.003893,13.7375,144.3210
27.0,0.003755,13.6875,144.8210
28.0,0.004187,13.6373,145.3210
29.0,0.003634,13.5871,145.8210
30.0,0.004113,13.5368,146.3210
31.0,0.004142,13.4865,146.8210
32.0,0.003942,13.4365,147.3210
33.0,0.004232,13.3862,147.8210
34.0,0.004620,13.3358,148.3210
35.0,0.004634,13.2856,148.8210
36.0,0.004602,13.2356,149.3210
37.0,0.004415,13.1854,149.8210
38.0,0.004722,13.1351,150.3210
39.0,0.004008,13.0849,150.8210
40.0,0.004193,13.0349,151.3210
41.0,0.004744,12.9848,151.8210
42.0,0.004687,12.9346,152.3210
43.0,0.004426,12.8844,152.8210
44.0,0.004592,12.8344,153.3210
45.0,0.004200,12.7843,153.8210
46.0,0.003857,12.7341,154.3210
47.0,0.003867,12.6839,154.8210
48.0,0.003717,12.6338,155.3210
49.0,0.004436,12.5837,155.8210
50.0,0.003787,12.5334,156.3210
51.0,0.004531,12.4831,156.8210
52.0,0.004768,12.4329,157.3210
53.0,0.004847,12.3828,157.8210
54.0,0.007337,12.3324,158.3210
55.0,0.011267,12.2823,158.8210
56.0,0.017176,12.2320,159.3210
57.0,0.033286,12.1820,159.8210
58.0,0.061732,12.1318,160.3210
59.0,0.092452,12.0817,160.8210
60.0,0.144878,12.0315,161.3210
61.0,0.212504,11.9815,161.8210
62.0,0.300186,11.9314,162.3210
63.0,0.407920,11.8813,162.8210
64.0,0.558065,11.8312,163.3210
65.0,0.711606,11.7813,163.8210
66.0,0.876892,11.7312,164.3210
67.0,1.065442,11.6811,164.8210
68.0,1.277912,11.6310,165.3210
69.0,1.534923,11.5812,165.8210
70.0,1.828324,11.5311,166.3210
71.0,2.154595,11.4810,166.8210
72.0,2.482779,11.4309,167.3210
73.0,2.860956,11.3810,167.8210
74.0,3.252380,11.3310,168.3210
75.0,3.663812,11.2809,168.8210
