Point No.,Normal Force [N],Gap [mm],Time [s]
1.0,4.433103,11.1920,38.4960
2.0,4.404319,11.1920,38.9960
3.0,4.393783,11.1920,39.4960
4.0,4.383230,11.1920,39.9960
5.0,4.373932,11.1920,40.4960
6.0,4.366204,11.1920,40.9960
7.0,4.359204,11.1920,41.4960
8.0,4.353599,11.1920,41.9960
9.0,4.350133,11.1920,42.4960
10.0,4.346533,11.1919,42.9960
11.0,4.344141,11.1919,43.4960
12.0,4.341731,11.1919,43.9960
13.0,4.338657,11.1919,44.4960
14.0,4.335151,11.1919,44.9960
15.0,4.332802,11.1919,45.4960
16.0,4.330348,11.1919,45.9960
17.0,4.328114,11.1919,46.4960
18.0,4.326028,11.1919,46.9960
19.0,4.323165,11.1919,47.4960
20.0,4.321715,11.1919,47.9960
21.0,4.319558,11.1919,48.4960
22.0,4.316221,11.1919,48.9960
23.0,4.314827,11.1919,49.4960
24.0,4.314291,11.1919,49.9960
25.0,4.312462,11.1919,50.4960
26.0,4.310028,11.1919,50.9960
27.0,4.308909,11.1919,51.4960
28.0,4.306643,11.1919,51.9960
29.0,4.305572,11.1919,52.4960
30.0,4.304203,11.1919,52.9960
31.0,4.301916,11.1919,53.4960
32.0,4.301386,11.1919,53.9960
33.0,4.299899,11.1919,54.4960
34.0,4.299470,11.1919,54.9960
35.0,4.298413,11.1919,55.4960
36.0,4.296440,11.1919,55.9960
37.0,4.296618,11.1919,56.4960
38.0,4.296127,11.1919,56.9960
39.0,4.294867,11.1919,57.4960
40.0,4.293972,11.1919,57.9960
